,name,bar_code,eco_score,categories,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,quantity,packaging,additives,nova_score,ingredients_origins,markets,generic_name,manufacturing,allergens,link,palm_ingredients,origin_detail
0,Chipolatas oignons,2660291018177,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']","['FR 14.167.318 CE', 'Colombelles (Calvados, France)']",['France'],[],[],23.5 g,en quantité élevée,8.2 g,en quantité élevée,1 g,en faible quantité,1.6 g,en quantité élevée,?,,272,+14%,1138 kj(272 kcal),+14%,"23,5",+24%,"8,2",+14%,1,-15%,1,+58%,"13,9",-10%,"1,6",-11%,"0,64",-11%,18,+8%,D,+8%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,
1,Konbu royal bio,3444730420207,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cuisse de dinde,2209220003145,,,,['France'],[],[],,,,,,,,,?,,164,,686 kj(164 kcal),,"9,4",,"2,7",,"0,5",,"0,5",,20,,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Chocolat au lait avec brownie, fudge, guimauve et biscuit - Hema",8718537848003,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,['France'],[],[],29.6 g,en quantité élevée,17.9 g,en quantité élevée,53.7 g,en quantité élevée,0.2 g,en faible quantité,?,,527,-5%,2205 kj(527 kcal),-5%,"29,6",-14%,"17,9",-9%,"58,2",+12%,"53,7",+10%,"6,1",-15%,"0,2",-14%,"0,08",-14%,26,+2%,E,+2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['Hema'],,,,,,,,,,,,,
4,Tomates farcies,2689752042056,,,"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",['France'],[],[],,,,,,,,,?,,138,,577 kj(138 kcal),,"11,1",,"4,2",,"4,3",,"2,7",,"5,6",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pasta snack pot mushrooms ciuperci - Knorr,8584057005390,,,,['France'],[],[],,,,,,,,,?,,96,,402 kj(96 kcal),,"2,5",,"1,5",,15,,"0,8",,"2,8",,"0,75",,"0,3",,,,,,,,,,,,,['Knorr'],,,,,,,,,,,,,
6,Qb fruit pesca morbido snack di frutta a cubetti,8057737400018,,,,['France'],[],[],,,,,,,,,?,,354,,1481 kj(354 kcal),,"1,2",,"0,7",,80,,63,,"1,8",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,
7,Noix de pécan vrac,0290358030242,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Booster+,080006243862001,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HAPPY Nuts,3595930890250,,,,['France'],[],[],,,,,,,,,?,,610,,2552 kj(610 kcal),,48,,"9,1",,25,,"8,8",,18,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
