,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,labels,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,traceability_code,brand_owner,additives,allergens,nova_score,packaging,generic_name,manufacturing,ingredients_origins,link,palm_ingredients
0,5776879011625,5776879011625,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Herbamare original - A.Vogel,7610313419265,['France'],[],[],?,?,?,?,?,['A.Vogel'],['Sans additifs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Crevette,0200250070710,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,mi ABC Mi Cup Seafood flavour,8992388121052,['France'],[],[],?,460,22,55,12,,,1925 kj(460 kcal),11,4,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Legumi e cereali,8054187022289,['France'],[],[],?,78,1,"9,6","4,1",,,326 kj(78 kcal),"0,1","2,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sojasun,14631221,['France'],[],[],?,?,?,?,?,['Sojasun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Courge muscade tranchée,0212242007611,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,décorations sucre,8718781587178,['France'],[],[],?,402,"4,9","89,5",0,,,1682 kj(402 kcal),"4,9","55,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cocktail de Fruits - Freshona,20486921,['France'],[],[],?,64,"0,1","14,8","0,3",['Freshona'],,268 kj(64 kcal),0,"13,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Turrón de chocolate crujiente negro -,8433329085267,['France'],[],[],?,509,29,51,7,,,2130 kj(509 kcal),13,40,"0,16","0,064",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Turrón de chocolat', 'Turrón au chocolat avec riz soufflé']",29 g,en quantité élevée,13 g,en quantité élevée,40 g,en quantité élevée,0.16 g,en faible quantité,,-2%,-1%,+4%,-5%,-11%,-12%,+16%,-18%,-18%,24,-1%,E,-1%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
10,Entremet nutella,3662517056795,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Rhodiola rosea,9120064051266,['France'],[],[],?,0,0,0,0,,['en:gluten-free'],0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Boisson jus de fruit,53240033,['France'],[],[],?,34,0,"8,5","0,5",,,142 kj(34 kcal),0,"8,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jambon serrano,8426572071026,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,01365276,01365276,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Boudin blanc nature,2274727017780,['France'],[],[],?,269,"24,2",4,"8,7",,,1125 kj(269 kcal),"8,67",3,"2,26","0,904",D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",24.2 g,en quantité élevée,8.67 g,en quantité élevée,3 g,en faible quantité,2.26 g,en quantité élevée,,+11%,+10%,+20%,+11%,-7%,+52%,-16%,+52%,+52%,21,+31%,E,+31%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,
16,Tapenade - Sur le Sentier des Bergers - 90g,3760183040091,['France'],[],[],?,252,"25,1","3,6","1,4",['Sur le Sentier des Bergers'],,1054 kj(252 kcal),"3,6","3,6",1,"0,4",C,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",25.1 g,en quantité élevée,3.6 g,en quantité modérée,3.6 g,en faible quantité,1 g,en quantité modérée,,+14%,+14%,+16%,+11%,+63%,+835%,-14%,-65%,-65%,10,-26%,C,-26%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,90 g,,,,,,,,,,,,
17,Guignolet Kirsch,3123021026150,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
