,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,ingredients_origins,manufacturing,markets,allergens,nova_score,quantity,packaging,brand_owner,additives,link,palm_ingredients
0,Nescafé,7613038215327,['Nescafé'],['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Trompette de la mort - Mon Marché Plaisir,3250392308353,['Mon Marché Plaisir'],['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Lukumi,5205130236472,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Filet de poulet,2448090062450,,['France'],[],[],?,108,"1,8",1,23,"0,13","0,052",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Nutriscore'],1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,,-18%,452 kj(108 kcal),-17%,-38%,"0,5",-33%,+109%,0,-100%,+1%,-83%,-83%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
4,Saumon fumé français,3760218550267,,['France'],[],[],?,?,?,?,?,0,0,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,,,,0 g,en faible quantité,,,,,,,,,,,,-100%,-100%,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['FR 56.234.002 CE', 'Saint-Pierre-Quiberon (Morbihan, France)']",,,,,,,,,,,,
5,Beaufort été - Monoprix Gourmet,2200268039233,['Monoprix Gourmet'],['France'],"['LAIT cru de vache - sel - ferments ', 'dont LAIT', ' - présure animale']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1689,407,33,"1,5",26,"1,1","0,44",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",['AOP'],33 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,+2%,+1%,1689 kj(407 kcal),+1%,+3%,22,+7%,+63%,0,-100%,-2%,-4%,-4%,14,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['FR 74.011.060 CE', 'Annecy-le-Vieux (Haute-Savoie, France)']",Fromage au lait cru de vache à pâte pressée cuite,['Savoie'],['Savoie'],['Monoprix'],['Lait'],3,,,,,,
6,Fruits séchés - Daco Bello - 500g,3270720017566,['Daco Bello'],['France'],[],[],?,284,"0,6",64,"2,6","0,07","0,028",,,,,,,,,,,,,,1188 kj(284 kcal),,,"0,2",,,51,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,
7,Olives noires dénoyautées  aux herbes de Provence - Philia,3520832130661,['Philia'],['France'],[],[],?,346,"35,2","1,1","1,9","5,95","2,38",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives dénoyautées', 'Olives noires dénoyautées']",,35.2 g,en quantité élevée,3.74 g,en quantité modérée,0.6 g,en faible quantité,5.95 g,en quantité élevée,,+60%,1448 kj(346 kcal),+61%,+67%,"3,74",+34%,-55%,"0,6",+99%,+52%,+66%,+66%,17,+39%,D,+39%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,,,
8,Jambon traditionnel - Saint Alby,2205882002014,['Saint Alby'],['France'],[],[],?,125,"4,5",1,20,"1,9","0,76",,,,,,,,,,,,,,523 kj(125 kcal),,,"1,5",,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mini kouign chocolat - 60g,3760035032021,,['France'],[],[],?,469,"25,3","54,2","4,9","0,9","0,36",,,,,,,,,,,,,,1962 kj(469 kcal),,,"17,5",,,"24,7",,,,,,,,,,,,,,,,,,,,,,,60 g,,,,,
10,Câpres Fines - Crespo,3076821111352,['Crespo'],['France'],"['Câpres', 'eau', 'vinaigre,sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,29,"0,3","3,3","2,2","2,25","0,9",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Pickles', ""Pickles d'origine végétale"", 'Câpres au vinaigre']",,0.3 g,en faible quantité,0.11 g,en faible quantité,0.4 g,en faible quantité,2.25 g,en quantité élevée,,-6%,121 kj(29 kcal),-7%,-45%,"0,11",+7%,+2%,"0,4",-33%,+1%,-61%,-61%,8,-0%,C,-0%,,,,,,,,,,,,,,3,,,,,,
