,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,packaging,categories,ingredients_origins,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,link,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,manufacturing,allergens,traceability_code,origin_detail,producer_info,palm_ingredients
0,Cairanne - Pierre Amadieu,3384333101106,['Pierre Amadieu'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Petits feuilletés Emmental - Michel et Augustin,370123900686,['Michel et Augustin'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,arome vanille - vahine - 200ml,05035348,['Vahine'],['France'],[],[],?,?,?,?,?,200ml,['Plastique'],"['Additifs alimentaires', 'Arômes']",['Belgique'],['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Les assortiments - Les Chocolats de Balata,3770001648378,['Les Chocolats de Balata'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Chewgum tredent mixed berries flavor,6621214751928,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Acacia - MIEL DE TOURAINE,3760264971047,['MIEL DE TOURAINE'],['France'],[],[],?,?,?,?,?,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Proseco - VALDOBBIADENNE,8011143005243,['VALDOBBIADENNE'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Brochettes Seiche/Chorrizo - LesMiniBrochettes,2416890033659,['LesMiniBrochettes'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LADOIX - Bourgogne,463640952752,['Bourgogne'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cracotte - Lu,0041880087217,['Lu'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Beurre - Auchan,3779538417891,['Auchan'],['France'],[],[],?,?,?,?,?,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Cafe - Auchan,0141018189018,['Auchan'],['France'],[],[],?,?,?,?,?,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chocolat noir spécial dessert ECO+ - ECO+ Leclerc - 200g,345097002409904,['ECO+ Leclerc'],['France'],"['pate de cacao\rsucre\remulsifiant E322 ', 'tournesol', '\rE476 arome\rCacao 50% minimum']",[],2141,513,28,54,"6,9",200 g,"[""papier et feuille d'aluminium""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,['Leclerc'],-6%,-7%,-23%,+17%,-5%,,,,,,,,,Chocolat noir,www.ecoplus.leclerc,['E322 - Lécithines'],3,28 g,en quantité élevée,17 g,en quantité élevée,50 g,en quantité élevée,0.023 g,en faible quantité,2141 kj(513 kcal),-7%,17,-19%,50,+22%,"0,023",-83%,"0,009",-83%,21,-11%,E,-11%,,,,,,,
13,purée de poire - gaec du val alpin,3700876984295,['gaec du val alpin'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Noix de cajou toastée curry vrac - Biocoop,0201126018430,['Biocoop'],['France'],[],[],?,?,?,?,?,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,,,,,E,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:Bio'],,,,,,
15,hyperthyroclam - laboratoire Bimont - 50g,3760201802151,['laboratoire Bimont'],['France'],[],[],?,?,?,?,?,50g,['Plastique'],['Complémentaire clinicasie'],['Asie'],['santé naturelle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],['France'],,,,,
16,Pain aux céréales tranché - GENIUS,01191858,['GENIUS'],['France'],"['Eau', 'fécule de tapioca', 'farine de riz', 'graines ', '11%', ' : graines de tournesol', ' graines de millet', 'graines de lin', ' graines de pavot ', ' féculent de pomme de terre', 'huiles végétales : huile de colza', 'huile de tournesol', 'levure enveloppes de psyllium en poudre', 'humectant: glycérol végétal ', ' mélasse noire', ""stabilisant : hydroxypropyl-méthyl-cellulose : blanc d'oeuf déshydraté"", 'farine de maïs', 'sel iodé : sel iodate de potassium ', ' amidon de maïs fermenté amidon de maïs', 'amidon de riz']",['Non végétalien'],?,291,"10,2","39,7",6,,,,,,,,,,,,,,,,,,,,,"['E422 - Glycérol', 'E464 - Hydroxypropylméthylcellulose']",4,,,,,,,,,1218 kj(291 kcal),,"0,9",,"1,8",,"0,89",,"0,356",,,,,,,,,,,,
17,Crousti Etoiles Choco - Bjorg,3329820799445,['Bjorg'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Coquillettes,01181050,,['France'],[],[],?,359,"1,5",79,"6,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502 kj(359 kcal),,"0,3",,"0,6",,,,,,,,,,,,,,,,
19,01102777,01102777,,['France'],[],[],?,205,?,38,"6,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858 kj(205 kcal),,,,,,"0,93",,"0,372",,,,,,,,,,,,
20,saumon bio fumé congelé - picard,32701604802,['Picard'],['France'],[],[],?,?,?,?,?,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,['Picard'],,,,,,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
