,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,producer_info,manufacturing,traceability_code,allergens,link,origin_detail,palm_ingredients,brand_owner
0,Bâtonnets pâtes de fruits - Jacquot - 1kg e *,3264750423503,C,Assortiment de pâtes de fruits arômatisées,1 kg e *,"['Carton', 'Plastique', 'Sachet en plastique', 'Boîte en carton']",['Jacquot'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",['Fabriqué en France'],['Bi1'],['France'],"['Pulpe de pomme ', '50%', '*', 'sucre', 'sirop de glucose', 'gélifiant : pectine', 'acidifiant : acide citrique', 'arômes', 'colorants naturels extrait de paprika - complexes cuivre-chlorophyllines - curcumine - anthocyanes,\r*Pourcentage à la mise en œuvre,']","['E440 - Pectines', 'E330 - Acide citrique', 'E160c - Extrait de paprika', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E100 - Curcumine', 'E163 - Anthocyanes']",[],4,0.1 g,en faible quantité,0 g,en faible quantité,69 g,en quantité élevée,0.15 g,en faible quantité,?,,336,+7%,1406 kj(336 kcal),+7%,"0,1",-71%,0,-100%,83,+9%,69,+4%,"0,1",-85%,"0,15",+25%,"0,06",+25%,9,+9%,C,+9%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,
1,Crousty Chicken Long Filet's - Le gaulois - 400g,3266980784614,B,"Aiguillettes de poulet traité en salaison, panées et cuites. Crousty Chicken Long Filets Doux",400 g,"['Carton', 'Plastiqeu', 'Frais']",['Le gaulois'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Poulets panés']","['Viande Française', 'Sans huile de palme', 'Sans conservateurs', 'Nutriscore', 'Nutriscore B', 'Volaille-francaise']",,['France'],"['Ingrédients ', 'à la mise en œuvre', ' :Aiguillettes de poulet : 64 %', 'panure 19 % ', 'eau', 'farine de BLÉ', 'cornflakes ', 'maïs', 'sucre', 'sel', ""extrait de malt d'ORGE"", 'sel', 'levure', 'eau', 'dextrose de blé', 'fécule de pomme de terre', 'sel', 'arôme naturel', 'gélifiant : carraghénanes', ' Huile de tournesol', 'Peut contenir des traces de laitMalgré toute la vigilance apportée à la fabrication de ce produit', ""nous ne pouvons vous garantir l'absence totale de tout petits morceaux d'os""]","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,7 g,en quantité modérée,0.9 g,en faible quantité,1.2 g,en faible quantité,1.1 g,en quantité modérée,773,-16%,184,-17%,773 kj(184 kcal),-17%,7,-37%,"0,9",-57%,12,-25%,"1,2",-6%,18,+32%,"1,1",-7%,"0,44",-7%,1,-74%,B,-74%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['France'],LDC DPE - Le Clos du bois - 72300 Sablé/Sarthe,['France'],"['EMB 72264', 'Sablé-sur-Sarthe (Sarthe, France)']","['Gluten', 'Lait']",,,,
2,Biscottes a la farine complète et graines de lin - Le Moulin du Pivert - 270g,3268350120688,A,Biscottes à la farine complète et graines de lin,270 g,"['Boîte', 'Carton']",['Le Moulin du Pivert'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'en:wholemeal-rusk', 'en:zwieback']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-025-NA', 'FR-BIO-01', 'en:palm-oil-free']",['Biocoop'],['France'],"['farine de blé T150* 83%', 'graines de lin 5%', ""huile d'olive extra vierge* 4%"", 'levure', ""fibres d'avoine*"", 'gluten de blé*', 'sel']",,['Sans huile de palme'],4,7.9 g,en quantité modérée,1.2 g,en faible quantité,0.3 g,en faible quantité,1.4 g,en quantité modérée,1622,-0%,388,+0%,1622 kj(388 kcal),+0%,"7,9",+26%,"1,2",+18%,72,+11%,"0,3",-93%,"13,4",+2%,"1,4",+10%,"0,56",+10%,6,+35%,C,+35%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,,,,"['Gluten', 'Avoine']",,,,
3,L'Ortolan Familial - Fromagerie Milleret - 330g,3272320012231,C,Fromage à pâte molle au lait de vache pasteurisé,330 g,"['Frais', 'Papier']",['Fromagerie Milleret'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Fromages pasteurisés', 'Fromages industriels']","['Végétarien', 'Sans colorants', 'Sans conservateurs', 'en:Vegetarian Society', 'Fabrique-en-franche-comte-lait-du-terroir']","['Auchan', 'Magasins U', 'Casino', 'intermarché', 'Carrefour', 'magasin u']",['France'],"['Lait de vache pasteurisé,sel et ferments lactiques']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,28 g,en quantité élevée,18.9 g,en quantité élevée,0.2 g,en faible quantité,1.07 g,en quantité modérée,?,,341,+9%,1427 kj(341 kcal),+11%,28,+8%,"18,9",+5%,"0,22",-85%,"0,2",-82%,"18,67",+7%,"1,07",-22%,"0,428",-22%,13,-8%,D,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Franche-Comté'],,"['Ets Milleret Centrale Laitière Notre Dame de Leffond - 12 Route de Choye BP 5', '70700 Charcenne', 'Haute-Saône', 'Franche-Comté', 'France']","['FR 70.130.001 CE', 'Charcenne (Haute-Saône, France)']",['Lait'],https://www.fromagerie-milleret.com/fromage/ortolan-original/,,,
4,Baby Carottes - Florette - 250g,3280220872015,B,Carotte prêt à consommer,250 g,"['Sac', 'Plastique']",['Florette'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Carottes', 'Légumes frais', 'Carottes fraîches']","['Sans conservateurs', 'Nutriscore', 'Nutriscore A']",,"['France', 'États-Unis']",['Carotte'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0.3 g,en faible quantité,0.05 g,en faible quantité,5.4 g,en quantité modérée,0.1 g,en faible quantité,?,,37,+6%,155 kj(37 kcal),+8%,"0,3",-57%,"0,05",+42%,"6,5",-4%,"5,4",+34%,"0,8",+4%,"0,1",+30%,"0,04",+30%,-4,,A,,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,,,,,
5,Pommes Fraises SSA - Charles & Alice - 400g (4 * 100g),3297760097044,B,Spécialité de pommes-fraises sans sucres ajoutés à teneur garantie en vitamine C. - Pommes Fraises,400g (4 * 100 g),"['Plastique', 'Carton']",['Charles & Alice'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes fraise']","['Point Vert', 'Nouvelle recette', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs', 'Sans édulcorants', 'Fraises 100\xa0% France']",['Carrefour market'],['France'],"['Purée de pommes 81,6%', 'purée de fraises 18 %', 'jus de concentré de carotte pourpre', 'arômes naturels', 'vitamine C']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité modérée,0.01 g,en faible quantité,?,,48,-21%,201 kj(48 kcal),-22%,"0,5",+47%,"0,1",+10%,11,-19%,11,-11%,"0,5",+33%,"0,01",+122%,"0,004",+122%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,['France'],,['France'],,,,,,
6,P'tit yop - Yoplait - 180g,3329778164286,D,dessert lacté au chocolat,180g,"['Bouteille plastique', 'Carton']",['Yoplait'],"['Boissons', 'Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Desserts lactés', 'Boissons fermentées', 'Boissons lactées fermentées', 'Boissons sans alcool', 'Yaourts', 'Desserts au chocolat', 'Yaourts à boire', 'Desserts lactés au chocolat', 'Boissons avec sucre ajouté']","['Source de calcium', 'Lait Français', 'Sans colorants']","['Super u', 'Auchan']",['France'],"['Lait écrémé - Sucre 6,7% - Crème - Poudre de lait écrémé - Cacao 1,5% - Chocolat 1,25% ', 'Pâte de cacao', 'Sucre', 'Arôme', 'Emulsifiant : Lécithine de soja', "" - Amidon transformé de mais - Epaississant : Carraghénanes - Correcteur d'acidité : Carbonates de sodium""]","['E322i - Lécithine', 'E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1.5 g,en quantité modérée,1.5 g,en quantité modérée,11.6 g,en quantité élevée,0.23 g,en quantité modérée,?,,84,-45%,351 kj(84 kcal),-45%,"1,5",-76%,"1,5",-62%,"13,3",-29%,"11,6",-30%,"3,9",+2%,"0,23",+49%,"0,092",+49%,20,+196%,E,+196%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,"['France', 'Non indiqué']",,['France'],"['FR 89.263.001 CE', 'Monéteau (Yonne, France)']","['Lait', 'Soja']",https://www.yoplait.fr/produits/yop-180g/,,,
7,Lentilles cuisinées aux petits légumes - Jardin bio logique - 400g,3478820023757,A,Lentilles cuisinées aux petits légumes Bio,400 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Jardin bio logique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Plats préparés', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes secs', 'Lentilles', 'Plats préparés en conserve', 'Lentilles préparées']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']","['Carrefour', 'Magasins U', 'Intermarché']",['France'],"['Eau', 'lentilles sèches trempées 38%', 'légumes en morceaux 12% ', 'carottes', 'poireaux', 'oignons', 'sel marin', ""purée d'ail"", 'poivre noir', 'thym']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.9 g,en faible quantité,0.2 g,en faible quantité,0.7 g,en faible quantité,0.71 g,en quantité modérée,?,,76,-20%,318 kj(76 kcal),-21%,"0,9",-45%,"0,2",-37%,"13,8",+17%,"0,7",-18%,4,-39%,"0,71",-5%,"0,284",-5%,-6,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,['France'],,,,,,
8,Filets de cabillaud façon Fish&Chips - Cité Marine - 220g (2pièces de 110g environ),3492500052073,E,,220 g (2 pièces de 110 g environ),"['Plastique', 'Barquette', 'Frais']",['Cité Marine'],"['Produits de la mer', 'Poissons', 'Plats préparés', 'Filets de poissons', 'Préparations de poisson', 'Produits panés', 'Morues', 'Réfrigérés', 'Poissons panés', 'Plats préparés réfrigérés', 'Poissons panés de cabillaud', 'Filets de cabillaud']","['Fabriqué en France', 'Sans conservateurs', 'Nutriscore', 'Nutriscore B', 'Pêche durable', 'Pêche durable MSC']","['Carrefour market', 'Carrefour']",['France'],"['Filets de cabillaud 65 %', 'pâte à beignet 35 %', ': eau', 'farine de blé', 'huile végétale ', 'tournesol', 'colza', 'farine de maïs', 'amidon de blé', 'amidon modifié de maïs', 'gluten de blé', 'sel', 'E450 - E500', 'poudre de lait écrémé']","['E14XX - Amidons modifiés', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Non végétalien', 'Non végétarien']",4,10.8 g,en quantité modérée,1.04 g,en faible quantité,0.9 g,en faible quantité,1.12 g,en quantité modérée,727,+1%,200,+5%,727 kj(200 kcal),-7%,"10,8",+32%,"1,04",+24%,"12,8",-21%,"0,9",-23%,"12,4",-2%,"1,12",+75%,"0,448",+75%,1,,B,,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,,['France'],"['FR 56.094.004 CE', 'Kervignac (Morbihan, France)', 'MSC-C-50004']","['Poisson', 'Gluten', 'Lait']",,,,
9,Abricots moelleux - Maître Prunille - 250g,3502490001545,D,"Abricots secs entiers, dénautés, réhydratés à 45% d'humidité maximum",250 g,['Plastique'],['Maître Prunille'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs', 'Aliments-a-base-de-plantes-seches']",['Riche en fibres'],['Carrefour'],['France'],"['Abricots de Turquie', 'antioxydant : anhydre sulfureux']",,[],1,0.3 g,en faible quantité,0.1 g,en faible quantité,32 g,en quantité élevée,0.07 g,en faible quantité,?,,193,-41%,808 kj(193 kcal),-41%,"0,3",-96%,"0,1",-92%,42,-14%,32,-14%,2,-64%,"0,07",-66%,"0,028",-66%,-1,-138%,A,-138%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,['Turquie'],,,,,,,,
