,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,labels,ingredients_origins,manufacturing,traceability_code,link,producer_info,palm_ingredients,origin_detail,brand_owner
0,Huile de tournesol - Top Budget - 1L,3410280010311,D,Huile de tournesol raffinée,1L,"['Plastique', 'Bouteille']","['Top Budget', 'Intermarché']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['intermarché'],['France'],['Huile de tournesol raffinée 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,100 g,en quantité élevée,12 g,en quantité élevée,0.5 g,en faible quantité,0.01 g,en faible quantité,3700,+2%,900,+3%,3700 kj(900 kcal),+2%,100,+3%,12,+13%,"< 0,5",+112513%,"< 0,5",+53491%,"< 0,5",+102993%,"< 0,01",+21222%,"0,004",+21222%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,,,
1,Chocolat Noir - Top Budget - 500g,3410280023243,E,Tablettes de chocolat,500 g,['Plastique'],['Top Budget'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['Intermarché'],['France'],"['Sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithines de soja ', 'extrait de vanille', ' Cacao : 43% minimum']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,23 g,en quantité élevée,14 g,en quantité élevée,59 g,en quantité élevée,0.02 g,en faible quantité,2000,-12%,?,,2000 kj(478 kcal),-14%,23,-42%,14,-39%,59,+53%,59,+86%,"5,4",-30%,"0,02",-57%,"0,008",-57%,20,-6%,E,-6%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['E322i - Lécithine'],"['Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Soja']",,,,,,,,,
2,20 Petits Beurres au Sel de Guérande (80 % MG) - Paysan Breton - 200g (20x 10g),3412290011050,D,Beurre demi-sel,200 g (20 x 10 g),['Frais'],['Paysan Breton'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']","['Monoprix', 'Magasins U']",['France'],"['Beurre', 'sel de Guérande ', '3 % max']",['Non végétalien'],2,80 g,en quantité élevée,57 g,en quantité élevée,0.7 g,en faible quantité,2.1 g,en quantité élevée,?,,726,+1%,3038 kj(726 kcal),+1%,80,+1%,57,+5%,"0,7",-6%,"0,7",+14%,"0,8",+18%,"2,1",+2%,"0,84",+2%,28,+6%,E,+6%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,['Lait'],['en:produced-in-bretagne'],"['France', '44350 Guérande', 'Loire-Atlantique', 'Pays de la Loire', 'Sel de Guérande']","['UCLAB Industrie (Union des Coopératives Laitières Bretonnes) [Filiale Laïta] - ZI de Lanrinou - 29800 Pencran', 'Finistère', 'Bretagne', 'France']","['FR 29.156.090 CE', 'Pencran (Finistère, France)']",http://www.paysanbreton.fr/fr/produits/les-beurres,,,,
3,Chokinoa - Céréales au chocolat bio - Grillon D'or - 250g,3421557500923,,,250 g,"['Film', 'Plastique']","[""Grillon D'or""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,['France'],"['Riz', 'quinoa 22,8%', 'chocolat en poudre 19,3% ', 'sucre de canne non raffiné', 'poudre de cacao 6,2%', 'sucre de canne non raffiné']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,3 g,en quantité modérée,0.8 g,en faible quantité,19 g,en quantité élevée,0.03 g,en faible quantité,?,,373,+7%,1561 kj(373 kcal),+7%,3,-47%,"0,8",-49%,75,+28%,19,+234%,"9,3",-2%,"0,03",-90%,"0,012",-90%,-2,-223%,A,-223%,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'Fabriqué en France']",,,,,,,,
4,Financiers aux Amandes pur beurre - Bio soleil - 125g,3423720002463,D,,125g,"['Plastique', 'Carton']",['Bio soleil'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux aux amandes', 'Financiers']",,['France'],"['Sucre de canne roux* ', 'sucre de canne*', 'fécule de pomme de terre*', 'beurre* ', '23%', 'blanc d’œuf*', 'amandes ', '17%', 'farine de blé T65*', 'arôme naturel de vanille* ', 'alcool*', 'vanille*', ""arôme naturel d'amande* "", 'amande*', "" *Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,29 g,en quantité élevée,13 g,en quantité élevée,30 g,en quantité élevée,0.07 g,en faible quantité,?,,446,+2%,1866 kj(446 kcal),+2%,29,+26%,13,+61%,38,-18%,30,+2%,"6,6",-19%,"0,07",-77%,"0,028",-77%,20,+12%,E,+12%,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']","['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France', 'en:palm-oil-free', 'AB Agriculture Biologique']",,['France'],,,,,,
5,Palets 3 Fruits - Bio Soleil - 165g,3423720014046,C,Biscuits aux fruits à la farine d'épeautre,165 g,"['Carton', 'Plastique']",['Bio Soleil'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Biscuits aux fruits']",,['France'],"['Farine d’épeautre* ', '41%', ' ', ' sirop de blé* ', ' fruits* ', '20%', ' ', 'raisins* [raisin sultanine*', 'huile de tournesol*]', 'figues*', 'abricots*', '[abricot*', 'farine de riz*]', ' ', ' huile de coco désodorisée* ', ' huile de tournesol oléique désodorisée* ', 'antioxydant : extrait de romarin*', ' ', ' poudre à lever : bicarbonate d’ammonium', ' \xa0\r*Ingrédients issus de l’agriculture biologique']",['Sans huile de palme'],3,18 g,en quantité modérée,12 g,en quantité élevée,28 g,en quantité élevée,0.0125 g,en faible quantité,?,,437,-1%,1828 kj(437 kcal),-1%,18,+10%,12,+29%,60,-7%,28,-10%,"5,6",-2%,"0,012",-97%,"0,005",-97%,16,-9%,D,-9%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['E392 - Extrait de romarin', ""E503ii - Carbonate acide d'ammonium""]",['Gluten'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'Fabriqué en France', 'Sans œufs', 'Sans lait', 'en:palm-oil-free', 'AB Agriculture Biologique']",,['France'],,,,,,
6,Lait Bio de Bretagne - Bridel - 1L,3428200303863,C,Lait pasteurisé demi-écrémé pasteurisation haute issu de l'agriculture biologique,1 L,"['Bouteille', 'Plastique']",['Bridel'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT', 'Laits pasteurisés', 'Laits demi-écrémés biologiques']","['Carrefour', 'Magasins U']",['France'],"[""Lait pasteurisé demi-écrémé pasteurisation haute issu de l'agriculture biologique""]",[],,1.5 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.11 g,en faible quantité,?,,46,-19%,192 kj(46 kcal),-17%,"1,5",-37%,1,-31%,"4,8",+1%,"4,8",+8%,"3,2",-2%,"0,11",+11%,"0,044",+11%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,['Lait'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Point Vert', 'en:produced-in-bretagne', 'Garantie IPLC']",,"['Bretagne', 'France']","['FR 35.131.001 CE', 'Hermitage (Ille-et-Vilaine, France)']",,,,,
7,Caffe Latte - lactel - 220ml,3428274170033,,,220 ml,['Bouteille'],['Lactel'],"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Boissons au café', 'Boissons lactées au café']",,['France'],"['lait ', '94%', ' ', 'dont lait entier ', '48%', 'lait demi-écrémé ', '46%', 'sucre ', '4%', 'arôme naturel de café', 'café en poudre ', '0,5%', 'cacao maigre ', '0,3%', ' colorant: caramel ordinaire stabilisants: gomme gellane et citrate de potassium', 'arôme']",['Non végétalien'],4,2.5 g,en quantité modérée,1.5 g,en quantité modérée,8.5 g,en quantité élevée,0.1 g,en faible quantité,?,,70,-64%,293 kj(70 kcal),-62%,"2,5",-58%,"1,5",-66%,"8,8",-69%,"8,5",-60%,"3,1",-44%,"0,1",-74%,"0,04",-74%,1,-93%,B,-93%,,,,,,,,"['E150a - Caramel E150a', 'E418 - Gomme gellane']",['Lait'],,,,,,,,,
8,Yaourt Brebis Nature - Bernard gaborit,3438860001702,,,,,['Bernard gaborit'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",,['France'],"[""Lait frais demi écrémé de brebis* Ferments lactiques *Ingrédients issus de l'agriculture biologique""]",[],,2.44 g,en faible quantité,1.82 g,en quantité modérée,2.44 g,en faible quantité,0.07 g,en faible quantité,?,,60,-43%,251 kj(60 kcal),-43%,"2,44",-52%,"1,82",-45%,"3,96",-58%,"2,44",-70%,"5,58",+15%,"0,07",-35%,"0,028",-35%,-2,-177%,A,-177%,,,,,,,,,['Lait'],['Bio'],,,,,,,,
9,2 X 125G Riz Au Lait Chevre - Bernard Gaborit - 250g (2 * 125g),3438860001801,A,Riz Au Lait de Chèvre,250 g (2 * 125 g),"['Frais', 'Carton', 'Pots', 'Plastique', 'Opercule']",['Bernard Gaborit'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Puddings', 'Riz au lait']",['Noz'],['France'],"[""Lait entier de chèvre  *Riz long de Camargue ‘Sucre de canne non rafﬁné *Extrait de vanille bio de Madagascar  Sel de Guérande  * Ingrédients issus de l'agriculture biologique""]",[],,3.24 g,en quantité modérée,2.27 g,en quantité modérée,9.84 g,en quantité modérée,0.3 g,en quantité modérée,?,,114,-21%,477 kj(114 kcal),-20%,"3,24",-14%,"2,27",-0%,"17,45",-23%,"9,84",-27%,"3,76",+10%,"0,3",+133%,"0,12",+133%,4,-1%,C,-1%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,,['Lait'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Bio-Cohérence', 'en:lait-francais-french-milk']",,"['France', 'Maine et Loire']","['FR 49.192.009 CE', 'Maulévrier (Maine-et-Loire, France)']",http://www.bernardgaborit.fr,,,,
