,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,traceability_code,link,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,manufacturing,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,palm_ingredients,brand_owner,origin_detail,producer_info
0,Filet de saumon - Auchan - 250g,3254567933500,E,250g,['barquette plastique'],['Auchan'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Saumons', 'Filets de saumon']","['Sans OGM', 'Filière responsable', 'Mr goodfish']",['Ecosse'],"['FR 40.075.002 CE', 'Castets (Landes, France)']",http://www.auchan.fr,['Auchan'],['France'],['FILET DE SAUMON SANS ARÊTE  ELevé en Ecosse'],[],?,,?,,?,,?,,?,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P'tite Fraiz Saveur Fraise  200g - Leader Price - 200g,3263852413214,,200 g,,"['Leader Price', 'Leaderprice']",,,,"['EMB 19007', 'Altillac (Corrèze, France)']",,['Leader Price'],['France'],"['Sucre - sirop de glucose - eau - amidons-gélatine-acidifiant : acide citrique - arôme-colorants: curcumine', 'carmins', 'carotenoides', 'anthocyanes', ' Amidon de blé']","['Non végétalien', 'Non végétarien']",?,,344,,0,,84,,"1,8",,,,,,,,,"['E330 - Acide citrique', 'E100 - Curcumine', 'E160 - Caroténoïdes', 'E163 - Anthocyanes']",4,1439 kj(344 kcal),0,78,"4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,
2,Pizza Bolognaise - Auchan - 390g,3596710464531,D,390 g,"['Carton', 'Surgele']",['Auchan'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas à la bolognaise', 'Pizzas surgelées']","['Nutriscore', 'Viande-francaise', 'Nutriscore B', 'Viande-bovine-francaise']",,"['EMB 69194C', ""Saint-Didier-au-Mont-d'Or (Rhône, France)""]",,['Auchan'],['France'],"['Farine de blé', 'purée de tomates', 'viande de bœuf cuite ', 'origine France', ' 12,5%', 'eau', 'edam ', 'lait', ' 5,1%', 'mozzarella ', 'lait', ' 5,1%', 'huile de colza', 'oignons frits 2,3% ', 'oignons', 'huile de tournesol', 'oignons rôtis ', 'oignons', 'huile de tournesol', 'carottes 0,7%', 'sel', 'levure', 'épices', 'amidons', 'amidon de blé', 'plantes aromatiques', 'sucre', 'dextrose', 'jus de légumes concentré ', 'champignons', 'tomates', 'carottes', 'oignons', 'poivrons', 'ail', 'ail', 'huile de tournesol']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,211,+0%,"7,1",+1%,26,-2%,"9,6",-1%,84.7%,5.8%,1.9%,2.3%,1.1%,4.2%,38,,4,883 kj(211 kcal),"2,4","3,6","< 0,95","0,38",['Allemagne'],"['Gluten', 'Lait']",7.1 g,en quantité modérée,2.4 g,en quantité modérée,3.6 g,en faible quantité,0.95 g,en quantité modérée,-1%,-16%,+1%,-3%,-3%,1,-63%,B,-63%,,,,,
3,Bebida de avena - Consum Eco,8414807541642,B,,,['Consum Eco'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', ""Boissons à l'avoine""]",['Bio'],,,,,"['France', 'Espagne']","['Agua', 'avena ', 'gluten', ' ecológica ', '14%', 'estabilizante ', 'goma gellan', ' y sal']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,46,-4%,"0,8",-38%,"8,3",+6%,"1,4",+83%,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,['E418 - Gomme gellane'],4,192 kj(46 kcal),"0,1","6,3","0,07","0,028",,['Gluten'],0.8 g,en faible quantité,0.1 g,en faible quantité,6.3 g,en quantité élevée,0.07 g,en faible quantité,-4%,-52%,+22%,-26%,-26%,1,+87%,B,+87%,,,,,
4,Amaretto - armilar,20111373,E,,,['Armilar'],"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",,,,,,"['France', 'Espagne']",[],[],?,,?,,?,,?,,?,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,FARINE DE SARASIN BIO -  - 500g,3580281010105,A,500g,['Sac papier'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', 'Farines de sarrasin']","['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique', 'Agriculture France']",['France'],"['EMB 56242A', 'Séglien (Morbihan, France)']",,['Grand Frais'],['France'],['Farine de sarrasin biologique 100% origine France'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,342,-2%,"2,8",+1%,63,-6%,12,+3%,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,1,1431 kj(342 kcal),"0,6","1,2",0,0,['Bretagne'],,2.8 g,en faible quantité,0.6 g,en faible quantité,1.2 g,en faible quantité,0 g,en faible quantité,-3%,+13%,-11%,-100%,-100%,-6,,A,,Farine de sarrasin Bio,,,,
6,Flavdrops - 50ML - Toffee - MyProtein,5055534306512,,,,['MyProtein'],"['Additifs alimentaires', 'Arômes']",,,,,,"['France', 'Espagne']",[],[],?,,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,,0 kj(0 kcal),0,0,0,0,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-100%,-100%,-100%,-100%,-100%,,,,,,,,,
7,Tomaten ketchup - Kraft - 750ml,8715700115900,B,750ml,['Flasche'],['Kraft'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,,,,,"['France', 'Allemagne', 'Suisse']","['Purée de tomates mi-réduite 65%', 'sucre', 'vinaigre', 'amidon modifié', 'sel', 'oignon', 'epices', ""extraits d'epices"", 'Peut contenir des traces de céleri', 'Bien agiter avant utilisation,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",438,+2%,103,-3%,"0,1",-59%,24,+6%,"1,1",-15%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,['E14XX - Amidons modifiés'],4,438 kj(103 kcal),0,20,"2,4","0,96",,,0.1 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,2.4 g,en quantité élevée,-0%,-100%,+2%,+21%,+21%,15,+24%,D,+24%,,,,,
8,Vitalday - Gullon,8410376053197,B,,,['Gullon'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz au chocolat noir']",,,,,,"['France', 'Espagne']",[],[],?,,70,-85%,"2,9",-87%,"9,4",-85%,1,-85%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,293 kj(70 kcal),"1,9","3,1","0,1","0,04",,,2.9 g,en faible quantité,1.9 g,en quantité modérée,3.1 g,en faible quantité,0.1 g,en faible quantité,-85%,-86%,-86%,+69%,+69%,1,-94%,B,-94%,,,,,
9,Activia saveurs vanille,6130646002954,,,"['Frais', 'Pot']",['Activia'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,,,,"['Algérie', 'France']",[],[],?,,90,-2%,"2,4",-27%,"13,9",+26%,"3,2",-15%,,,,,,,,,,377 kj(90 kcal),"0,1",5,"0,1","0,04",,,2.4 g,en faible quantité,0.1 g,en faible quantité,5 g,en quantité modérée,0.1 g,en faible quantité,-2%,-95%,-50%,-13%,-13%,1,-67%,B,-67%,,,,,
