,name,bar_code,eco_score,quantity,brand,categories,labels,ingredients_origins,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,link,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,markets,allergens,manufacturing,palm_ingredients,producer_info,origin_detail
0,Miel d’acacia bio - Le manoir des abeilles - 250g,3335440123901,B,250 g,['Le manoir des abeilles'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['Bio'],['Hongrie'],"['EMB 50410B', 'Pontorson (Manche, France)']",['France'],[],[],?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,350G Confiture Extra De Myrtilles - Prosain - 350g,3335880001425,C,350 g,['Prosain'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],"['Myrtilles*', 'sucre de canne* non raffiné', 'agent gélifiant : pectine de fruits', ""\r*Ingrédients issus de l'agriculture biologique"", '\rPréparée avec 60 g de fruits pour 100 g', ' Teneur totale en sucres : 61 g pour 100 g']",[],?,,250,+14%,"0,5",+92%,61,+14%,"0,5",+28%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,Confiture extra de myrtilles sauvages biologique,"['Bocal', 'Verre', 'Couvercle', 'Métal']",http://www.prosain.fr/fr/confitures-et-marmelades/134-confiture-extra-de-myrtilles-sauvages.html,['E440 - Pectines'],4,0.5 g,en faible quantité,0.1 g,en faible quantité,57 g,en quantité élevée,0.025 g,en faible quantité,1046 kj(250 kcal),+14%,"0,1",+126%,57,+12%,"0,025",+50%,"0,01",+50%,12,+30%,D,+30%,,,,,,
2,"Crevettes entières - Delpierre - 0,400kg",3336370031687,D,"0,400 kg",['Delpierre'],"['Produits de la mer', 'Crustacés', 'Crevettes']",['Sans colorants'],['Équateur'],"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)', 'ASC-C-01079']",['France'],"['Crevettes', 'sel', 'antioxydant : E223 ', 'sulfites', 'acidifiant : E330']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,86,-19%,"1,1",-50%,"0,5",-54%,19,+4%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,Crevettes entières cuites réfrigérées,"['Barquette', 'Plastique', 'Frais']",,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",3,1.1 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,360 kj(86 kcal),-18%,"0,4",-13%,"0,5",+43%,2,+36%,"0,8",+36%,4,+61%,C,+61%,['Simply Market'],"['Crustacés', 'Anhydride sulfureux et sulfites']",,,,
3,Queues de crevettes à la provençale - à poêler - Delpierre - 200,3336374403060,D,200,['Delpierre'],"['Produits de la mer', 'Crustacés', 'Crevettes', 'Queues de crevettes']",,,"['FR 44.150.001 CE', 'Saint-Aignan-Grandlieu (Loire-Atlantique, France)']","['Afghanistan', 'France']","['Crevettes 83%', 'préparation à la provençale 15% ', 'beurre ', 'lait', ' 72%', 'purée de tomate', 'poivron vert', 'tomate', 'poivron rouge', 'oignon', ""huile d'olive vierge extra"", 'ail', 'basilic', 'sel', 'origan', 'romarin', 'thym', 'poivre noir', 'huile de tournesol', 'mix provençal ', 'poivron', 'plantes aromatiques dont herbes de Provence', 'maltodextrine', 'sel', 'sel', 'conservateurs: E202', 'antioxydant: E223 ', 'sulfites', 'acidifiant: E330']","['Non végétalien', 'Non végétarien']",?,,94,-4%,"1,3",-25%,"0,9",+75%,20,+5%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,"Queues de crevettes cuites réfrigérées, préparation provençale",['Conserve'],,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",3,1.3 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en faible quantité,2.2 g,en quantité élevée,393 kj(94 kcal),-4%,"0,3",-29%,"0,8",+277%,"2,2",+49%,"0,88",+49%,5,+122%,C,+122%,,"['Crustacés', 'Lait', 'Anhydride sulfureux et sulfites']",['Transformé en France'],,,
4,Association de 4 huiles vierges 100% Bio - Cauvin - 75cl,3336590063765,C,75 cl,['Cauvin'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', ""Mélanges d'huiles""]","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",['Agriculture UE / non UE'],,['France'],"['Colza ', '65%', 'Tournesol ', '25%', 'Olive ', '5%', 'Tournesol oléique ', '4', '3%', ' et arôme naturel de citron ', '0', '7%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3700,+2%,?,,100,+2%,0,,0,,85.4%,5.5%,3.9%,3.4%,1.7%,0.0%,50,4 huiles vierges 100% Bio,"['Bouteille', 'Verre', 'Bouchon', 'Métal']",http://www.huilecauvin.com,,4,100 g,en quantité élevée,9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3700 kj(884 kcal),+1%,9,-5%,0,,0,,0,,8,-19%,C,-19%,['Carrefour'],,,,,
5,Vinaigre de Cidre Bio - Cauvin - 25cl,3336591033255,A,25 cl,['Cauvin'],"['Vinaigres', 'Vinaigres de cidre']","['Bio', 'Bio européen', 'FR-BIO-01']",['France'],,['France'],['Vinaigre de Cidre 5% Biologique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",45,,15,,"0,105",,"1,5",,"0,147",,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,Vinaigre de Cidre,"['Bouteille', 'Verre']",http://www.huilecauvin.com/produit.php?idp=46,,2,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,['France'],,,
6,Sirop pêche - Bigallet,3336770000955,B,,['Bigallet'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de pêche']",['Sans conservateurs'],,,['France'],[],[],?,,363,+41%,0,-100%,87,+27%,0,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,1519 kj(363 kcal),+37%,0,-100%,82,+26%,,,,,,,,,,,,,,
7,Galettes de blé noir - Galettes Bertel,3337040000132,B,,['Galettes Bertel'],"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']","['Bio', 'Bio européen', 'FR-BIO-01']",,,['France'],"['Etalées à la main Fibres Protéines {arine de blé noir ', '47%', '*', 'eau', 'sel de Guérande', "" * Issus de l'Agriculture Biologique"", ' A consejver au froid entre 4 et 60C', ' Sortir le sachet du froid', '15mn avant consommation', ' Produit fabriqué dans un atelier utilisant gluten', 'lait', 'Œufs', ' Poids net']",[],?,,150,-15%,"1,2",-69%,"28,5",+4%,"5,4",-21%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,,['Plastique'],,,,1.2 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,1.3 g,en quantité modérée,628 kj(150 kcal),-15%,"0,2",-87%,"0,2",-72%,"1,3",-2%,"0,52",-2%,1,-81%,B,-81%,,"['Œufs', 'Lait']",,,,
8,"2 Galettes Garnies Jambon supérieur, Œuf Poché et Emmental Français - Bertel - 300g (2 * 150g)",3337040000804,B,300 g (2 * 150 g),['Bertel'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Crêpes et galettes', 'Plats au porc', 'Réfrigérés', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés', 'Galettes', 'Galettes de blé noir', 'Galettes garnies']","['Viande-francaise', 'Point Vert', 'en:produced-in-bretagne', 'Viande-porcine-francaise']",['France'],"['FR 22.197.002 CE', ""Pleudihen-sur-Rance (Côtes-d'Armor, France)""]",['France'],"['Galette 53 % : farine de blé noir 69%', 'eau', 'sel de Guérande', ' Garniture 47% : Oeuf poché français 54%*', 'jambon supérieur français 18', '6%* ', 'jambon de porc', 'eau', 'sel', 'dextrose de blé', 'sirop de glucose de blé', 'arômes', 'antioxydant E316', 'conservateur E250', 'emmental français 14%*', 'sauce ', 'eau', 'crème fraîche', 'amidon modifié de pomme de terre', 'lactose', 'dextrose de blé', 'farine de blé', 'sel', 'lait écrémé', 'protéines de lait', 'acidifiant E270', 'épaississants guar et xanthane', 'muscade', 'oignons', 'poivre', 'conservateur E202', ' * - Exprimés sur la garniture']","['Non végétalien', 'Non végétarien']",?,,164,-8%,"5,3",-33%,"17,6",+2%,"10,8",+25%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,"2 Galettes Garnies Jambon supérieur, Œuf Poché et Emmental Français","['Barquette', 'Plastique', 'Sous atmosphère protectrice', 'Frais']",http://www.galettes-bertel-pleudihen-sur-rance.fr/nouvellepage2,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,5.3 g,en quantité modérée,2.5 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,686 kj(164 kcal),-8%,"2,5",-44%,"0,5",-50%,"1,1",-8%,"0,44",-8%,2,-73%,B,-73%,['Carrefour'],"['Œufs', 'Gluten', 'Lait', 'Emmental français', 'Emmental français']","['France', 'Bretagne', ""Côtes d'Armor"", 'Pleudihen sur Rance']",,,
9,Sauce 6 légumes aux herbes de Provence bio - Les Mets de Provence - 190g,3337730904122,,190 g,['Les Mets de Provence'],"['Epicerie', 'Sauces', 'Sauces aux légumes']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,['France'],"['Carottes', 'Courgettes', 'Concentré de tomate', 'Tomates', 'Eau', 'Aubergines', 'Huile de tournesol', 'Poivrons verts', 'Poivrons rouges', 'Basilic', 'Sucre', 'Sel de mer non raffiné', 'Oignons', 'Jus concentré de citron', 'Ail', 'Céleri', 'Bouquet provençal ', '0,4 %', 'Persil', 'Poivre', 'Paprika']",[],334,-5%,?,,"5,7",+4%,"6,3",-8%,1,-39%,,,,,,,,Sauce préparée aux légumes,"['Bocal', 'Verre']",,,3,5.7 g,en quantité modérée,0.6 g,en faible quantité,4.9 g,en faible quantité,1.3 g,en quantité modérée,334 kj(80 kcal),-15%,"0,6",-23%,"4,9",-3%,"1,3",+23%,"0,52",+23%,6,+212%,C,+212%,['Auchan'],['Céleri'],,,,
