,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,quantity,packaging,categories,labels,manufacturing,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,markets,ingredients_origins,generic_name,link,origin_detail,brand_owner,producer_info
0,Flan Chocolat,0209771042640,['France'],[],[],?,211,883 kj(211 kcal),"8,8","5,3",29,20,"3,4","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FunghIGPorcini secchi,8003383002083,['France'],[],[],?,312,1305 kj(312 kcal),"4,7","0,7",28,0,30,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Artichauts des Pouilles & pointe de citron - L'atelier Blini,3292070010233,['France'],[],[],?,196,820 kj(196 kcal),"14,4","1,6","9,2","1,6","4,2","1,3","0,52","[""L'atelier Blini""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pizza Orientale - Casa Leonardo - 510g,3572174879555,['France'],"['pulpe de tomates 19', '2%', 'mozzarella ', 'lait', 'ferments lactiques', 'sel', 'présure', ' 17', '5%', 'saucisson piquant ', 'porc', 'graisse de porc', 'sel nitrité', 'sel', 'nitrite de sodium E250', 'dextrose', 'poivre', 'ail', 'gingembre', 'muscade', 'sirop de glucose', 'paprika', 'piment', 'extrait de romarin E392', 'ascorbate de sodium E301', 'arôme naturel', ' 7%', 'poivrons 7%', 'olives noires ', 'olives', 'eau', 'sel E270', ' 2', '1%', 'sel', 'origan', 'pâte ', 'farine de blé tendre type 0', 'eau', 'semoule de blé dur', 'sel', ""huile d'olive vierge extra"", 'levure', ' 47', '2%']","['Non végétalien', 'Non végétarien']",?,195,816 kj(195 kcal),"7,4","3,8",23,"2,3","9,3","1,6","0,64",['Casa Leonardo'],510 g,['Plastique'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",['Fabriqué en Italie'],['Italie'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E392 - Extrait de romarin']",['Lait'],4,7.4 g,en quantité modérée,3.8 g,en quantité modérée,2.3 g,en faible quantité,1.6 g,en quantité élevée,,-15%,-15%,-12%,-3%,-14%,-22%,-10%,+28%,+28%,11,+42%,D,+42%,,,,,,,,,,,,,,,,
4,torku,8680181085052,['France'],[],[],?,283,1184 kj(283 kcal),0,0,69,45,14,19,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Salade de fruit mix color familial,0291407055698,['France'],[],[],?,43,180 kj(43 kcal),"0,39","0,03","10,38","9,59","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fromage blanc au lait de brebis - La Bergerie,07935862,['France'],[],[],?,101,423 kj(101 kcal),"6,8","4,6","4,7","4,7","5,3","0,07","0,028",['La Bergerie'],,"['Pot', 'Plastique']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de brebis']","['Bio', 'Lait Français']",,,,,6.8 g,en quantité modérée,4.6 g,en quantité modérée,4.7 g,en faible quantité,0.07 g,en faible quantité,,+7%,+8%,+33%,+34%,-10%,+19%,-16%,-32%,-32%,3,+222%,C,+222%,C,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,
7,Probios Farina Di Riso Impalpabile,8018699017294,['France'],[],[],?,352,1473 kj(352 kcal),"1,2","0,4","78,4","0,9","6,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Bio Mini Honigwaffeln, Dennree",4021851637852,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Buche façon panna cotta framboise,3257987140954,['France'],[],[],?,162,678 kj(162 kcal),"3,9","2,8",30,24,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Torta impérial de almendra,0815847002236,['France'],[],[],?,473,1979 kj(473 kcal),31,2,44,3,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Teasco,3770016724005,['France'],[],[],?,30,126 kj(30 kcal),"0,5",0,"7,5","7,5","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,tablette chocolat au lait cacahuète,83435492,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gros Sel Nature Et Progrès-boite - Le guérandais - 1kg,3445850002106,['France'],[],[],?,?,,?,,?,,?,,,['Le guérandais'],1 kg,,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels de Guérande']",['Récolté à la main'],,,,,,,,,,,,,,,,,,,,,,,,,,,B,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,
14,La notte decaffeinato,8003012004051,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Vache àboire,0002000012069,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Olives cuisinées à la mexicaine,2609809014379,['France'],[],[],?,181,757 kj(181 kcal),18,"3,2","3,2","0,5","0,6","5,5","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AFTER SPORT,3770018385013,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Mon canard chocolat noir cacahuete,3760098354986,['France'],[],[],?,577,2414 kj(577 kcal),"42,5","21,1",32,"29,8",12,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Frollino con crema alla nocciola,8001860199134,['France'],[],[],?,487,2038 kj(487 kcal),23,"2,5",63,30,"5,8","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Confiture mirabelle,3245310064251,['France'],[],[],?,241,1008 kj(241 kcal),"0,1",0,59,52,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,La Tartinette,0628078303443,['France'],[],[],?,210,879 kj(210 kcal),13,"1,5",24,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Thé vert de Chine mangue bergamote,3701173503127,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Wafers, Cappuccino",8008620052654,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Caviar n3,3760282610195,['France'],[],[],?,262,1096 kj(262 kcal),"17,8","6,8","0,8","0,8",26,"2,97","1,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 33.051.003 CE', 'Biganos (Gironde, France)']",,,,,,,
25,Beurrerie BRIOCHES,3278310990022,['France'],[],[],?,744,3113 kj(744 kcal),82,54,"0,7","0,5","0,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Nesquik petit,3023290048467,['France'],[],[],?,171,715 kj(171 kcal),"6,9","4,5","22,5","18,5","4,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,La carolle de Marguerite Cacao et eclats de chocolat,3664335003883,['France'],[],[],?,514,2151 kj(514 kcal),26,21,61,31,"7,2","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Puree de fruit,5600961114607,['France'],[],[],?,60,251 kj(60 kcal),0,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,La véritable gaufre de Liège au sucre perlé,2071050000003,['France'],[],[],?,405,1695 kj(405 kcal),19,"9,1",51,24,7,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Olympio muscat de Samos 15,5°",3257980723161,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Abricot de Provence,3546940801033,['France'],[],[],?,236,987 kj(236 kcal),"0,1",0,57,56,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Nesquik,5634987213396,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Avena out drink avoine sans gluten,8032625803416,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Carrefour,356007097011,['France'],[],[],?,?,,?,,?,,?,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
35,Vinaigre à la pulpe de Cassis,3700600301367,['France'],[],[],?,87,364 kj(87 kcal),"0,3",0,"17,4","15,9","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
