,name,bar_code,brand,labels,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,traceability_code,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,allergens,ingredients_origins,palm_ingredients,link,brand_owner,origin_detail,producer_info
0,"Infusion Après Repas réglisse, menthe et fenouil bio - Monoprix",3350031936043,['Monoprix'],"['Bio', 'Bio européen', 'FR-BIO-01']",['Monoprix'],['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2","0,1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nectar gourmand abricot origine provence - Monoprix - 1L,3350033099395,"['Monoprix', 'Monoprix Gourmet']",,['Monoprix'],['France'],"[""Eau - purée d'abricot 43% - sucre - antioxydant: acide ascorbique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,54,226 kj(54 kcal),"0,8",0,11,11,"0,5",0,0,D,Nectar d'abricots à base de purée - teneur en fruits minimum 43%,1 L,"['bouteille plastique', 'bouchon plastique', 'à recycler']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'abricot""]","['EMB 34183A', 'Nissan-lez-Enserune (Hérault, France)']",['E300 - Acide ascorbique'],3,0.8 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,,+2%,+2%,+315%,-100%,-11%,-7%,+34%,-100%,-100%,14,-8%,E,-8%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,
2,Sirop grenadine - Monoprix - 70cl,3350033184138,['Monoprix'],,['Monoprix'],['France'],"['sucre', 'eau', 'sirop de glucose-fructose', 'jus de fraise à base de concentrés 4,4%', 'jus de sureau à base de concentré 3,2%', 'jus de citron à base de concentré 3%', 'acidifiant : acide citrique', 'jus de framboise à base de concentré', 'jus de cassis à base de concentré', 'arômes']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,327,1368 kj(327 kcal),0,0,81,81,0,0,0,A,,70 cl,['Bouteille'],"['Boissons', 'Sirops', 'Boissons édulcorées', 'Sirops aromatisés', 'Sirops de grenadine', 'Boissons avec sucre ajouté']","['EMB 73179', 'Motte-Servolex (Savoie, France)']",['E330 - Acide citrique'],4,,,,,,,,,,+39%,+27%,-100%,-100%,+34%,+38%,-100%,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
3,Confiture allégée Reines Claudes - Monoprix - 340g,3350033247079,['Monoprix'],"['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",['Monoprix'],['France'],"['Reines-claudes', 'sucre', 'gélifiant: pectines de fruits', 'acidifiant: acide citrique', 'antioxydant: acide ascorbique', '\rPréparée avec 50 g de fruits pour 100 g de produit fini']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,168,703 kj(168 kcal),0,0,42,41,0,0,0,D,Confiture extra de Reines-Claudes allégée en sucres,340 g,"['Bocal', 'Verre', 'Métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de Reine-Claude', 'Confiture de fruits allégée en sucres']","['EMB 19121', 'Lubersac (Corrèze, France)']","['E440 - Pectines', 'E330 - Acide citrique', 'E300 - Acide ascorbique']",4,0 g,en faible quantité,0 g,en faible quantité,41 g,en quantité élevée,0 g,en faible quantité,,-23%,-22%,-100%,-100%,-21%,-21%,-100%,-100%,-100%,10,-1%,C,-1%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['France'],,,,,,,
4,Risotto aux cèpes au riz carnaroli d'Italie - Monoprix Gourmet - 250g,3350033412750,['Monoprix Gourmet'],,['Monoprix'],['France'],"['riz carnaroli 90,8% - bouillon ', 'sel', 'fécule de pomme extrait de levure', 'maltodextrine,oignon,carotte', 'céleri persil', 'huile de tournesol', 'arômes naturels', ' cèpes 2,8% - oignon arôme naturel - ail - céleri - persil', ' les informations en gros sont destinées aux personnes intolérantes ou allergiques']",[],1473,339,1473 kj(339 kcal),"1,4","0,3",73,2,8,"1,8","0,72",B,,250 g,"['Sachet', 'étui carton']","['Plats préparés', 'Plats à base de riz', 'Risottos', 'Risottos aux légumes', 'Risottos aux champignons']",,,4,1.4 g,en faible quantité,0.3 g,en faible quantité,2 g,en faible quantité,1.8 g,en quantité élevée,+109%,+37%,+48%,-55%,-77%,+69%,+49%,+37%,+104%,+104%,9,+105%,C,+105%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,,['Céleri'],,,,,,
5,Graines de sésame - Monoprix - 200g,3350033500457,"['Monoprix', 'Monoprix bio!']","['Bio', 'Bio européen', 'LU-BIO-04', 'AB Agriculture Biologique']",['Monoprix'],['France'],"['Graines de sésame pelées', ""issues de l'agriculture biologique"", ' Traces de céréales contenant du gluten', ""d'œuf"", 'de lait', 'de soja et de fruits à coque']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,656,2745 kj(656 kcal),59,"9,5","0,7","0,7",25,"0,11","0,044",D,,200 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Sésame']",,,1,59 g,en quantité élevée,9.5 g,en quantité élevée,0.7 g,en faible quantité,0.11 g,en faible quantité,,+13%,+13%,+21%,+33%,-94%,+13%,+33%,+124%,+124%,12,+10%,D,+10%,87.1%,0.0%,3.8%,5.0%,2.6%,1.6%,30,"['Luxembourg', 'Moulins de Kleinbettingen']",,,,,,,
6,Mini galettes de riz et graines de chia - Monoprix - 44g,3350033500471,['Monoprix'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Monoprix'],['France'],[],[],?,388,1623 kj(388 kcal),"3,5","0,8",78,"0,7","8,5","0,1","0,04",B,,44 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']",,,,3.5 g,en quantité modérée,0.8 g,en faible quantité,0.7 g,en faible quantité,0.1 g,en faible quantité,,-10%,-10%,-70%,-87%,+10%,-94%,+15%,-45%,-45%,-1,-112%,A,-112%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,,,
7,"Pate feuilletee artisanale HUSSON, bloc de - Biscuiterie Husson",3354111151104,['Biscuiterie Husson'],['Point Vert'],,['France'],"['Gabricalion - artisanale matières grasses hydrogénées cc', ""gils d'utilisation : Sortir la pâte du réfrigérateur 10 minutes avant de l'étaler "", 'sur un plan de travail fariné', 'placez-la ensuite sur* plaque ou dans un moule', ' Laissez-la reposer 15 minutes environ et piquez-la éventuellement ', ""à l'aide d'une fourchette"", 'D$sez la garniture sucrée ou salée selon votre choix', ' Préchauffer votre four ', 'th', '7', ' 10 minutes', ' Enfournez votre préparation pepdant 40 à 45 minutes à 2000 ', 'four traditionnel', 'ou 30 à 35 minutes ', 'chaleur tournante', ' vospouvez également réaliser : pâté lorrain', 'mille-feuille', ""galette des rois et bien d'autres pâtisseries"", ' Conservation entre 00 et 60C']",[],?,378,1582 kj(378 kcal),"23,1","11,7","36,7","2,3","5,3","0,4","0,16",C,Pâte Feuilletée avec de la matière grasse végétale,,['Film en plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",,,,23.1 g,en quantité élevée,11.7 g,en quantité élevée,2.3 g,en faible quantité,0.4 g,en quantité modérée,,-1%,-1%,+6%,+4%,-5%,+52%,-9%,-60%,-60%,14,-15%,D,-15%,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,,,,,,,,
8,Confiture extra fraise-fraise des bois - Matin des Pyrénées - 370g,3361770005174,"['Matin des Pyrénées', 'Copyr']",,['Monoprix'],['France'],"['Fruits ', 'fraise 75%', 'fraise des bois 25%', 'sucre', 'gélifiant : pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,235,983 kj(235 kcal),"0,1",0,57,56,"0,4","0,04","0,016",C,,370 g,"['bocal en verre', 'couvercle en métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,['E440 - Pectines'],4,0.1 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,0.04 g,en faible quantité,,+8%,+8%,-59%,-100%,+7%,+10%,-10%,+76%,+76%,11,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,['Union Européenne et Non Union Européenne'],,,,,
9,Oignons frits - Marque coq - 150g,3364699338903,['Marque coq'],,,['France'],"['OIGNONS 90 %', 'HUILE DE Palme 10%']","['Huile de palme', 'Végétalien', 'Végétarien']",?,160,669 kj(160 kcal),16,0,3,0,1,"0,03","0,012",E,,150 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons frits']",,,1,16 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0.03 g,en faible quantité,,-72%,-72%,-62%,-100%,-93%,-100%,-83%,-97%,-97%,-4,-130%,A,-130%,35.2%,59.0%,2.2%,1.7%,1.6%,0.3%,26,,,,['Huile de palme'],,,,
