,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,traceability_code,additives,allergens,link,palm_ingredients,brand_owner
0,Compote De Pomme avec morceaux,5400101178885,['France'],[],[],?,68,285 kj(68 kcal),0,0,16,15,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gaufre fruits des bois - Carrefour - 320g e,5400101205116,"['Belgique', 'France']",[],[],?,275,1151 kj(275 kcal),"9,4","4,9",42,15,"4,5",B,Gaufres Fruits des Bois Décongelées,320 g e,"['Plastique', 'décongelé']",['Carrefour'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres fourrées']","['Ne pas recongeler', 'Point Vert', 'Fabriqué en Belgique', 'Décongelé']","['Belgique', 'Union européenne']",['Belgique'],['Carrefour'],9.4 g,en quantité modérée,4.9 g,en quantité modérée,15 g,en quantité élevée,0.7 g,en quantité modérée,,-38%,-38%,-47%,-44%,-34%,-59%,-7%,"0,7",+15%,"0,28",+15%,13,-40%,D,-40%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,,,,,
2,Vinaigre de vin rouge - Carrefour,5400101213104,['France'],[],[],?,31,130 kj(31 kcal),"0,1","0,06","0,3","0,09","0,3",B,,,,['Carrefour'],"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",,,,['Carrefour'],0.1 g,en faible quantité,0.06 g,en faible quantité,0.09 g,en faible quantité,0.009 g,en faible quantité,,+121%,+117%,-24%,+145%,-52%,-80%,+66%,"0,009",-77%,"0,004",-77%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,
3,Chips Ribble Sel - Carrefour - 200g e,5400101242579,"['Belgique', 'France']","['Pommes de terre', 'huile de tournesol 35 %', 'sel 1,4 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,554,2318 kj(554 kcal),35,3,52,"< 0,5","5,8",B,,200 g e,"['Sachet', 'Plastique']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol"", 'Chips ondulées']","[""À l'huile de tournesol""]",,,['Carrefour'],35 g,en quantité élevée,3 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,+8%,+8%,+19%,+5%,+0%,-72%,-6%,"1,4",+8%,"0,56",+8%,10,-6%,C,-6%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,3,,,,,,
4,Oeufs de poules élevées en plein air Medium - Carrefour - 12oeufs,5400101256644,"['Belgique', 'France']",[],[],?,151,632 kj(151 kcal),12,4,0,0,0,C,,12 oeufs,['Carton'],['Carrefour'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",,,,['Carrefour'],12 g,en quantité modérée,4 g,en quantité modérée,0 g,en faible quantité,0.35 g,en quantité modérée,,+9%,+9%,+21%,+63%,-100%,-100%,-100%,"0,35",+29%,"0,14",+29%,5,,C,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,
5,Poivre noir en grains bio - Carrefour,5400101259744,['France'],[],[],?,4,17 kj(4 kcal),0,0,2,0,0,B,,,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']","['Bio', 'Bio européen', 'Agriculture non UE', 'BE-BIO-01', 'AB Agriculture Biologique']",['en:BELGIQUE'],['BELGIQUE'],['Carrefour'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-73%,-72%,-100%,-100%,-9%,-100%,-100%,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,['I.S.F.I. (INTERNATIONAL SPICE AND FOOD'],,,,,
6,Sauce 4 Fromaggi - Carrefour - 180g,5400101261051,['France'],[],[],?,157,657 kj(157 kcal),12,"7,9","6,2","3,8","5,5",,,180g,,['Carrefour'],,['Fabriqué en Belgique'],,,['Carrefour'],,,,,,,,,,,,,,,,,10,,4,,,,,,,,,,,,,,,,,,,
7,Palets Bretons - Delhaize,5400111054094,"['Belgique', 'France']","['Farine de blé', 'beurre 33%', 'sucre', 'jaune d’œufs', 'lait entier', 'sel', 'poudre à lever ', 'carbonates de sodium', 'dorure ', 'lait écrémé', 'Contient gluten', 'oeufs et lait,']","['Sans huile de palme', 'Non végétalien']",?,521,2180 kj(521 kcal),29,19,60,20,"6,2",C,,,,['Delhaize'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",,,,['Delhaize'],29 g,en quantité élevée,19 g,en quantité élevée,20 g,en quantité élevée,1 g,en quantité modérée,,+5%,+5%,+14%,+16%,-1%,-23%,+5%,1,+14%,"0,4",+14%,23,-5%,E,-5%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,3,,['E500 - Carbonates de sodium'],"['Œufs', 'Gluten', 'Lait']",,,
8,Siciliana - Delhaize - 350g,5400111113470,"['Belgique', 'France']","['Pulpe de tomate 54% ', 'tomate', 'acide citrique', 'aubergines 15%', 'concentré de tomate 9%', ""huile d'olive"", 'eau', 'oignon', 'fromage Parmigiano Reggiano AOP 2% ', 'lait', 'sel', 'présure', 'sel', 'sucre', 'basilic', ""correcteur d'acidité "", 'acide Jactique', 'arôme']",['Non végétalien'],?,95,397 kj(95 kcal),"6,9","1,4","6,1",5,"1,8",,,350 g,['Glass'],['Delhaize'],"['Epicerie', 'Sauces', 'Sauces pour pâtes']",,,,['Delhaize'],6.9 g,en quantité modérée,1.4 g,en faible quantité,5 g,en quantité modérée,1.3 g,en quantité modérée,,-30%,-29%,-25%,-19%,-7%,+6%,-46%,"1,3",+2%,"0,52",+2%,-3,-159%,A,-159%,,,,,,,,4,,['E330 - Acide citrique'],['Lait'],,,
9,Haricots verts extra fins - Delhaize - 600g,5400111270814,"['Belgique', 'France']",['Haricots verts extra fins 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,24,100 kj(24 kcal),"0,2",0,"3,8","1,9","1,9",B,,600g,,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumineuses surgelées', 'Légumes surgelés', 'Haricots verts', 'Haricots verts surgelés']",,,,['Delhaize'],0.2 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0 g,en faible quantité,,-31%,-30%,-33%,-100%,-11%,+24%,-2%,0,-100%,0,-100%,-10,,A,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,1,,,,,,
