,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,packaging,eco_score,generic_name,quantity,categories,labels,ingredients_origins,manufacturing,link,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand_owner,origin_detail,producer_info,traceability_code,additives,palm_ingredients
0,Bob the snail,4820162520316,['France'],[],[],?,212,887 kj(212 kcal),"1,8","0,2","46,7",0,"2,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Bratensaft, für 2,75l - Maggi",4005500037590,['France'],[],[],?,30,126 kj(30 kcal),"1,4","0,8","3,1","2,2",1,"1,1","0,44",['Maggi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SAUMON FRAIS FUME -,0291858119451,['France'],[],[],1080,260,1080 kj(260 kcal),20,"2,4",0,0,20,"2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Friandises de chien au boeuf,4250078974819,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fruits bars,5708413030526,['France'],[],[],?,321,1343 kj(321 kcal),"4,5","2,1","0,4","0,4",21,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Monster Mule,5060751212843,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,4",0,"0,38","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MmmMmm,5425002289935,['France'],[],[],?,463,1937 kj(463 kcal),"26,2","12,4","49,5","22,2","6,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Julie numéro 259,3780551206003,['France'],[],[],?,5,21 kj(5 kcal),0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sablé pour beurre cœur coco,2006050017508,['France'],[],[],?,477,1996 kj(477 kcal),22,14,64,30,"4,9","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pain polka,3940250007909,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Wasabi,8801045450384,['France'],[],[],?,259,1084 kj(259 kcal),"11,5","1,5","45,4","7,6","3,8","3,8","1,52",,"['Bouchon en plastique', 'Boîte en carton', 'Opercule en aluminium']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Quenelle artisanale Morue & Piment d'Espelette - Giraudet - 80g,,['France'],"['OEUFS frais', 'MORUE ', '20%', 'semoule de BLE dur', 'eau', 'LAIT frais écrémé', 'BEURRE de Bresse AOP', ""huile d'olives"", 'sel', 'piment d’Espelette ', '0', '15%']","['Non végétalien', 'Non végétarien']",?,202.9,849 kj(202 kcal),"11,9","4,1",15,"0,4","9,9","1,2","0,48",['Giraudet'],"['Frais', 'boîte carton']",C,Quenelle artisanale fraîche pur beurre moulée à la cuillère à la Morue et au Piment d'Espelette,80 g,"['Produits de la mer', 'Poissons', 'Plats préparés', 'Frais', 'Préparations de poisson', 'Plats préparés au poisson', 'Plats préparés frais', 'Quenelles', 'Quenelles de poisson', 'Quenelle de poisson']","['Fabriqué en France', 'Beurre de Bresse AOP']",['France'],['France'],https://giraudet.fr/quenelles-fraiches/artisanales/morue-espelette,['Giraudet'],"['Œufs', 'Poisson', 'Gluten', 'Lait']",3,11.9 g,en quantité modérée,4.1 g,en quantité modérée,0.4 g,en faible quantité,1.2 g,en quantité modérée,,+6%,+7%,-2%,-20%,+19%,-48%,+38%,+14%,+14%,11,+27%,D,+27%,87.5%,4.7%,2.3%,4.3%,1.0%,0.3%,35,,,,,,
12,Cha Fresh Limao,5604321028498,['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,2",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sauvion blanc,3176780036359,['France'],[],[],?,0,0 kj(0 kcal),0,0,30,10,0,1,"0,4",,['Bottle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Acide folique CCD,3400930126103,['France'],[],[],?,250,1046 kj(250 kcal),5,2,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Quenelle artisanale Petit Epeautre & Cranberries - Giraudet - 80g,,['France'],"['OEUFS frais', 'farine de petit EPEAUTRE ', '12', '8%', 'BEURRE de Bresse AOP', 'eau', 'semoule de BLE dur', 'baies de cranberries ', '9%', 'LAIT frais écrémé', 'sel']",['Non végétalien'],?,210.8,882 kj(210 kcal),5,"1,3","33,8","6,4","9,4","1,3","0,52",['Giraudet'],"['boîte carton', 'Frais']",B,Quenelle artisanale fraîche pur beurre moulée à la cuillère à la farine de petit épeautre et aux cranberries,80 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Frais', 'Produits artisanaux', 'Plats préparés frais', 'Quenelles', 'Quenelles nature']","['Fabriqué en France', 'Fabrication artisanale', 'Beurre de Bresse AOP']","['France', 'Non indiqué']",['France'],https://giraudet.fr/quenelles-fraiches/artisanales/cranberries,['Giraudet'],"['Œufs', 'Gluten', 'Lait']",3,5 g,en quantité modérée,1.3 g,en faible quantité,6.4 g,en quantité modérée,1.3 g,en quantité modérée,,-6%,-5%,-65%,-69%,+111%,+670%,+40%,+24%,+24%,4,-49%,C,-49%,76.7%,10.9%,5.4%,4.0%,2.4%,0.6%,65,,,,,,
16,Siebenschluh Bratenschmalz,4002223001709,['France'],[],[],?,899,3761 kj(899 kcal),"99,1","46,2",0,0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Madeleines,1178655411843,['France'],[],[],?,441,1845 kj(441 kcal),22,"2,3",55,23,"5,8","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Saucisson Pur Porc,2203742038319,['France'],[],[],?,436,1824 kj(436 kcal),"36,6","19,3","1,5","0,5","25,2","4,68","1,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sucre en sachets,5601082036663,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Soupe potimarron châtaigne,3760020059217,['France'],[],[],?,77,322 kj(77 kcal),"0,84","0,22","1,87","0,62","0,51","0,152","0,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sauce sésame,3364699244587,['France'],[],[],?,618,2586 kj(618 kcal),64,0,11,"1,5","0,6","1,3","0,52",,,,,,"['Epicerie', 'Sauces', 'en:Sesame sauces', 'Sauce au sésame']",,,,,,,,64 g,en quantité élevée,0 g,en faible quantité,1.5 g,en faible quantité,1.3 g,en quantité modérée,,+160%,+162%,+254%,-100%,+11%,-77%,-78%,-46%,-46%,12,+3%,D,+3%,,,,,,,,,,,,,
22,bipmoji,8714786294271,['France'],[],[],?,541,2264 kj(541 kcal),31,"19,2","59,6","58,8","5,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Pain au lait fleur d’oranger,,['France'],[],[],?,353,1477 kj(353 kcal),10,"5,2",54,11,"9,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Smoofi,3770009551557,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Croc'mou,3770009551564,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Dots,0298028016404,['France'],[],[],?,426,1782 kj(426 kcal),28,14,36,11,"5,2","1,31","0,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,mon petit dej nutrition bio cranberry - Aline & Olivier - 5sachets de 4biscuits (190g),3760094310672,['France'],"['Farine de riz*', ""poudre d'amande*"", 'sucre de canne non raffiné*', 'canneberge* ', '9%', ' ', 'canneberges*', 'sucre de canne*', 'huile de tournesol*', 'huile de tournesol*', 'amidon de maïs*', ""flocon d'avoine*"", 'farine de lin*', 'graine de tournesol* ', '5%', 'graine de lin* ', '5%', 'sucre de coco* ', '4%', 'farine de banane verte* ', '3%', 'poudre à lever sans gluten* ', 'fécule de pomme de terre*', 'bicarbonate de sodium', 'acide tartrique']",[],1782,426,1782 kj(426 kcal),"18,4",2,"56,6","21,2","8,4","0,18","0,072",['Aline & Olivier'],"['étui carton FSC', 'sachet individuel papier', 'Etui en carton']",,biscuit de petit déjeuner aux cranberries,5 sachets de 4 biscuits (190 g),['Biscuit petit déjeuner'],"['Bio', 'Nutriscore', 'Nutriscore A']",,['13103 SAINT ETIENNE DU GRES'],https://alineetolivier.fr/collections/biscuits-de-gouter-1/products/biscuits-petit-dejeuner-bio-muesli-a-o,"['INTERMARCHE', 'CARREFOUR', 'MAGASINS U', 'MONOPRIX', 'AUCHAN']","['Gluten', 'Fruits à coque']",3,18.4 g,en quantité modérée,2 g,en quantité modérée,21.2 g,en quantité élevée,0.18 g,en faible quantité,,,,,,,,,,,0,,B,,,,,,,,,A&O Nutrition BIO,FRANCE,A&O Nutrition BIO,['DDM'],"['E500ii - Carbonate acide de sodium', 'E334 - Acide L-tartrique']",
28,Farina poco raffinata per pane e focaccia,8009355002006,['France'],[],[],?,361,1510 kj(361 kcal),"2,1","0,6",72,"2,1","12,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Jus de tomate Marmande,3760121215437,['France'],[],[],?,17,71 kj(17 kcal),0,0,"3,4","3,4","0,9",,,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",,,,,,,,0 g,en faible quantité,0 g,en faible quantité,3.4 g,en quantité modérée,,,,-15%,-13%,-100%,-100%,-8%,+6%,+20%,,,,,,,,,,,,,,,,,,,
30,Petit biscotti secchi,8023797033206,['France'],[],[],?,438,1833 kj(438 kcal),11,"1,7",76,23,"7,8","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Chasse aux oeufs,7613287101778,['France'],[],[],?,532,2226 kj(532 kcal),"29,5","17,5",57,"55,4","8,9","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Glace cornetto à l’italienne vanille et caramel salé,8711327489325,['France'],[],[],?,261,1092 kj(261 kcal),12,"9,7",35,26,"2,9","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Nescafé cappuccino intenso,3126774677358,['France'],[],[],?,27,113 kj(27 kcal),1,"0,8","3,4","1,9","0,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Confettura extra fragola,8023797014922,['France'],[],[],?,186,778 kj(186 kcal),"0,3",0,44,43,"0,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Huile de Noix,3701397914013,['France'],[],[],?,900,3766 kj(900 kcal),100,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Filets d’anchois,3324321262068,['France'],[],[],?,191,799 kj(191 kcal),"10,39","2,2","0,6",0,24,16,"6,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Noix d’Entrecote,2903130004826,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Cooa de bieuf,2431570040413,['France'],[],[],?,359,1502 kj(359 kcal),"30,6","12,1","0,7","0,5","29,6","6,9","2,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Mandorle sgusciate,8006940007200,['France'],[],[],?,25,105 kj(25 kcal),"0,2",0,5,5,"0,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Émincé de porc mariné cru,3368270506774,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 72.253.002 CE', 'Roézé-sur-Sarthe (Sarthe, France)']",,
41,Sauce vinaigrette au citron,3013160000893,['France'],[],[],?,464,1941 kj(464 kcal),51,"5,5",0,0,0,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Harissa,3564040051103,['France'],[],[],?,110,460 kj(110 kcal),8,7,7,1,"2,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,pieds de mouton - 250g,3760162140033,['France'],['Champignons'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,['Plastique'],,,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Viandes', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Viandes de mouton', 'Pied de mouton']",,['Portugal'],,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 63003W', 'Ambert (Puy-de-Dôme, France)']",,
44,Surströmming,7317230382886,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sauce vinaigrette de cidre & au miel,3013160000909,['France'],[],[],?,491,2054 kj(491 kcal),51,"3,7","7,7","6,9",0,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Champagne roger-constant - lemaire,3555710000019,['France'],[],[],?,?,,?,0,?,0,?,,,['Lemaire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
