,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,additives,eco_score,quantity,packaging,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,generic_name,markets,traceability_code,ingredients_origins,link,brand_owner,origin_detail,producer_info
0,Bouillie bio pour bébé - Holle,7640104952930,['Holle'],"['Aliments pour bébé', 'Dès 4 mois', 'Céréales pour bébé']","['Bio', 'Bio-dynamie', 'Demeter', 'Agriculture UE']",['France'],"['farine complète de froment*', 'vitamine B1']",['Sans huile de palme'],1,?,,388,+9%,1623 kj(388 kcal),+23%,"2,2",-3%,"0,6",-18%,"69,6",+10%,"1,6",-88%,"11,4",+54%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"No-muh, rezent/piquant - Vegusto",7640144054038,['Vegusto'],,"['Végétarien', 'Végétalien']",['France'],"['Attejnalivo zu Kase / Véo}taljen AD', ' Zutaten: Wasser', 'ntcht gehaflete pflanzltche Ole und fette ', 'Kokos - Kartottelstarke', 'Hefe', 'Reismehl', 'NussmUS ', '100 % Stetnsaz Aroma Gewurze', 'Bindemjttel ', 'Carraghenan', ' Milchsàure ', 'vegetabii', ' eau', ' huiles et graisses végétales non hydre ', 'noixde coco ftwile de tournesol', ' fécule de pommes de terre', 'levure', 'farine de riz', 'beurre de noix', ' sel gemme', ' arôme ', 'végétal', 'épices', 'liant ', 'carraghénane', ' ', 'végétai', ' h#züüifssea: Die braunen Punkte slammen von Mahgeln/SteinsalZ4 Mandeln/amandes 48h']","['Végétalien', 'Végétarien']",4,?,,294,,1230 kj(294 kcal),,20,,"12,9",,"21,8",,"0,24",,7,,"2,125",,"0,85",,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Optimys Heidelbeeren Wild Bio 180 g - Optimys Superfood,7640149390520,['Optimys Superfood'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,?,,372,,1556 kj(372 kcal),,"2,75",,"0,1",,"78,1",,"60,6",,"1,75",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jus de pomme - Opaline - 25cl,7640158540008,['Opaline'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,"['France', 'Suisse']","['pommes 100%', 'citron 0,1%', 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,190,0%,44,-4%,190 kj(44 kcal),-1%,0,-100%,0,-100%,11,+1%,11,+7%,"0,5",+135%,"0,03",+175%,"0,012",+175%,['E300 - Acide ascorbique'],B,25 cl,['Bouteille en verre'],0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.03 g,en faible quantité,5,+21%,C,+21%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,
4,Sauce tomate au basilic - Solleone,7640164482224,['Solleone'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates au basilic']","['Bio', 'Bio européen', 'IT-BIO-008']",['France'],"['Pulpe de de tomate 54%', 'Purée de tomate 27%', 'Céleri', 'Carotte', 'Oignon', ""Huile d'olive extra Basilic 1,3%"", 'Sel']",[],3,?,,59,-9%,247 kj(59 kcal),-7%,"3,5",+17%,"0,6",+38%,"4,9",-20%,"3,4",-31%,"1,2",-24%,"1,375",+61%,"0,55",+61%,,B,,,3.5 g,en quantité modérée,0.6 g,en faible quantité,3.4 g,en faible quantité,1.38 g,en quantité modérée,0,-100%,B,-100%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,['Céleri'],,,,,,,,,,
5,Marana Chocolat noir,7751304215241,,,,['France'],[],[],,?,,644,,2694 kj(644 kcal),,"51,86",,"31,67",,"35,54",,"20,86",,"8,87",,"0,015",,"0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Crema de dulce de leche - San Ignacio - 450g,7790244000401,['San Ignacio'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,"['Argentine', 'France', 'Espagne']","['Leche', 'azúcar blanco', 'glucosa de maiz', 'bicarbonato de sodio', 'sorbato de potasio', 'aromatizante: vainilla']",['Non végétalien'],4,?,,320,+8%,1339 kj(320 kcal),+8%,6,+8%,4,+23%,60,+9%,60,+18%,5,-23%,"0,115",-66%,"0,046",-66%,"['E500ii - Carbonate acide de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",B,450 g,['Vidrio'],6 g,en quantité modérée,4 g,en quantité modérée,60 g,en quantité élevée,0.115 g,en faible quantité,16,-4%,D,-4%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,['Lait'],['Argentina'],,,,,,,,,
7,Tuareg Coco - Costa,7802215502262,['Costa'],,,['France'],"['Farina de blé', 'sucre', 'Huile de Paime Fractionée', 'Huile Vegétale ', 'Soja', 'Palmiste', 'Soja Interesterifie', 'Palmiste Interestrie', 'Amidon de Mais', 'Sirop Fructose', 'Coco Rapé', 'Sérumi', 'Lait', 'Sel', 'agent de Levure ', 'Bicarbonate de Sodium', 'arôme artificiel', 'émulsifiant ', 'Lécithine de Soja', 'agent de Levure ', ""Bicarbonate d'ammonium"", 'antioxydant BHT', 'Antioxydant acide citrique']","['Huile de palme', 'Non végétalien']",4,?,,510,,2134 kj(510 kcal),,"24,8",,"13,2",,"68,5",,"31,7",,"3,4",,"0,15",,"0,06",,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium"", 'E321 - Butylhydroxytoluène', 'E330 - Acide citrique']",,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Soja']",,['Huile de palme'],,,,,,,,
8,Pacari Biodynamic Raw Chocolate 70% Cacao 50G,7862109270073,['Pacari'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['Kascher'],['France'],[],[],,?,,558,+0%,2335 kj(558 kcal),+1%,41,+4%,26,+13%,30,-22%,27,-15%,"9,8",+28%,"0,23",+393%,"0,092",+393%,,E,,,41 g,en quantité élevée,26 g,en quantité élevée,27 g,en quantité élevée,0.23 g,en faible quantité,17,-20%,D,-20%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,
9,Di Leo Bisc. fattinc. delicato GR. 700 - DiLeo - 700g,8000015002572,['DiLeo'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs']",['Sans huile de palme'],"['France', 'Italie']","['INGREDIENTI: farina di frumento di tipo 1', 'zucchero', 'olio di mais', 'uova fresche pastorizzate', 'gocce di cioccolato 4,5% ', 'zucchero', 'pasta di cacao', 'burro di cacao', 'emulsionante: lecitina di girasole', ' aroma naturale di vaniglia', 'latte fresco pastorizzato italiano alta qualità', 'farina di avena 3%', 'farina di orzo 3%', 'agenti lievitanti: carbonato acido di ammonio', 'carbonato acido di sodio', ' emulsionante: lecitina di soia', ' aromi naturali']",['Non végétalien'],4,?,,478,+6%,2000 kj(478 kcal),+6%,"16,8",+3%,"3,5",-43%,"72,4",+9%,"27,7",-13%,8,+9%,"0,08",-83%,"0,032",-83%,"[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium']",C,700 g,['Carta'],16.8 g,en quantité modérée,3.5 g,en quantité modérée,27.7 g,en quantité élevée,0.08 g,en faible quantité,12,-29%,D,-29%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['Di Leo Pietro S.p.A. s.s. 271km.  51', '260 Z.I.  Jesse - 75100 Matera']",,,,,,,,,
