,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,packaging,markets,quantity,additives,palm_ingredients,allergens,nova_score,ingredients_origins,manufacturing,generic_name,link,brand_owner,producer_info
0,Andouille de Guemene,2699484066848,E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",['France'],[],[],18 g,en quantité modérée,9.7 g,en quantité élevée,0 g,en faible quantité,2.6 g,en quantité élevée,?,,248,-1%,1038 kj(248 kcal),-0%,18,-11%,"9,7",-4%,"0,6",+60%,0,-100%,20,+22%,"2,6",+9%,"1,04",+9%,22,+2%,E,+2%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,,,,,,,
1,Chaussons aux pommes,3276559574485,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,,,,,,,,,,
2,Mélange de noix biologiques,3100000000003,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'BE-BIO-01', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,
3,Moutarde a la truffe - Le Comptoir de Mathilde,3700961306865,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Le Comptoir de Mathilde'],,,,,,,,,,,,,,
4,Soupe thai - Karine & Jeff,3760052239588,,,['France'],[],[],,,,,,,,,?,,27,,113 kj(27 kcal),,"1,3",,"0,9",,"1,9",,"1,4",,"1,2",,"0,47",,"0,188",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Karine & Jeff'],,,,,,,,,,,,,,
5,Beignet Choco-Noisette,2012345221000,D,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.1%,13.7%,3.6%,3.5%,1.9%,0.0%,52,,,,,,,,,,,,,,,,
6,Confiture poire gingembre bio,3554741010080,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,"['EMB 17179', 'Gonds (Charente-Maritime, France)']",,,,,,,,,,,,,
7,BTTR,3770015725027,,,['France'],[],[],,,,,,,,,?,,128,,536 kj(128 kcal),,0,,0,,32,,32,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Andouilles de guemene,0211197029716,E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",['France'],[],[],,,,,,,2.7 g,en quantité élevée,?,,?,,,,?,,,,?,,,,?,,"2,7",+13%,"1,08",+13%,,,,,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,['Film en plastique'],,,,,,,,,,,,
9,Amandes décortiquées,2600112027292,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],49 g,en quantité élevée,4 g,en quantité modérée,4 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,49,-5%,4,-0%,22,+68%,4,+2%,21,-6%,0,-100%,0,-100%,-7,,A,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,,,
