,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,allergens,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,traceability_code,brand_owner,markets,palm_ingredients,origin_detail,producer_info
0,Korean ginseng tea - Korea,8802355000146,['Korea'],['France'],"['Le THÉ AU G!NSENG CORÉEN est un produit alimentaire fabnque sous la forme de granule ', 'ou en paJdre', "" pour répondre aux goûts de rutilisateur Il est fa±qué à pamr d'extraf de ginseng"", ' Ingrédients', ' 10% de concentré de ginseng ', 'ongine Coree', ' - ', 'plus de de contenu solide', ""Gnsénoslde Rgl + Rbl 5 mg'g"", ""r lactose 10 glucose 80 % Recommandation de stockage ' Éviter la lumere solaire directe et rhumid"", 'té', "" Conserver dans un endroit frais avec une bonne ventJlatjon ou un ré'nçerateur Posologte : Mettre un sachet de thé dans un verre d'eau froide ou chaude et remuez bien"", ' Ajouter du sucre ou du mel si vous le souhaftez • Avertissement veuillez vérifier votre apport quotidien lorsque vous prenez des médicaments ', 'trartement du dtabete', 'medtcaments antcoagutants', "" Informat'ons dordre fonctionnel Ce produit peut contnbuer a amefiorervotre système immunttatre et est un excellent anti-fatigue"", ' Contact ', ' Maténau ', ""femballage tnténeur : PE de lot 610105-604 Date d'expgratson "", '2020-05-03 : KOREA GINSENG MFG', ' co LTD', '358 Cheongoh•ro', ' Cheongbuk•myeon', ' Pyeongtaek•sl', ' Gyeongry-do Korea http Illwww oktnsam', 'com Valeurs nutritives Portion : 1 w', 'het de thé ', '3 g', ' I portjon par tasse : 30 rots']","['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition']",[],4,?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Buckheat Noodles - Bonduelle,8804970000129,['Bonduelle'],['France'],"['Maïs doux en grains sans OCM ', 'eau', 'se', ' Contient des sucres naturellement présents']",,[],,?,350,1464 kj(350 kcal),"1,7","0,6",76,"2,5",10,"2,3","0,92",['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mushroom & Tofu Udon,8805957017246,,['France'],[],,[],,?,140,586 kj(140 kcal),"0,7","0,1",28,"2,9","4,3","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chips d'algues teriyaki,8805957018878,,['France'],[],,[],,?,494,2067 kj(494 kcal),34,"4,7","31,3","5,1",26,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sparkling Mango,8809005028970,,['France'],[],,[],,?,0.175,1 kj(0 kcal),0,0,44,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ALOE VERA - OKF - 500ml,8809041427669,['OKF'],"['France', 'Espagne']",[],,[],,?,0,0 kj(0 kcal),0,0,0,0,0,0,0,['Sans conservateurs'],500ml,"['Boissons', 'Boissons édulcorées']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,
6,Nouilles Udon 200G - fine - 200g,8809059292952,['Fine'],"['France', 'Japon']","['Farine de blé', 'sel', 'eau', 'amidon modifié de tapioca', 'E1442', ""régulateur d'acidité "", 'eau', 'E270', 'E260', 'E325', 'E355']","['E1442 - Phosphate de diamidon hydroxypropyle', 'E270 - Acide lactique', 'E260 - Acide acétique', 'E325 - Lactate de sodium', 'E355 - Acide adipique']",[],4,?,?,,?,,?,,?,,,,200 g,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté']",,,,,,,,,,,,,,,,,,,,,,,['Plastique'],['Japon'],['Japon'],['Gluten'],,,,,,,,,,,,,,,,
7,Jus Aloe Vera Lychee - A+ HoSan - 500ml,8809059294581,['A+ HoSan'],['France'],"['citt E327', '831', 'Emulsfier: E459', 'get!an cfriwe lacute de ', 'E32T', 'e ', 'E459', 'C ', 'E418', ' A de géférerte sur Bea 1859', 'c bt ie / en be,wen', '830', 'CanXat tE32Th NatrumciÙat ', 'E331', ',']","['E330 - Acide citrique', 'E327 - Lactate de calcium', 'E331 - Citrates de sodium', 'E459 - Béta-cyclodextrine', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E418 - Gomme gellane']",[],4,?,44,184 kj(44 kcal),0,0,11,"8,7",0,0,0,['Halal'],500ml,"['Boissons', 'es:Procesadas']",0 g,en faible quantité,0 g,en faible quantité,8.7 g,en quantité élevée,0 g,en faible quantité,,-21%,-24%,-100%,-100%,-3%,-8%,-100%,-100%,-100%,13,+70%,E,+70%,['Plastico'],['es:korea'],['Korea'],,http://www.koreanproducts.net,,,,,,,,,,,,,,,
8,Riz jasmin -,8847100380319,,['France'],[],,[],,?,341,1427 kj(341 kcal),"0,5","0,2",77,0,7,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés']",0.5 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,,,,+2%,+1%,-52%,-18%,+7%,-100%,-6%,,,,,,,,,,,,C,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,
9,Thai Tom Ka Gewürzpaste 400 g = Lobo Thailand,8850030190590,,['France'],[],,[],,?,280,1172 kj(280 kcal),25,10,"0,5","0,4",13,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
