,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,traceability_code,quantity,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,additives,allergens,nova_score,manufacturing,ingredients_origins,generic_name,link,origin_detail,brand_owner,palm_ingredients
0,Melon gourmand -,3569881102458,['Melons confits'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,71 g,en quantité élevée,0.65 g,en quantité modérée,?,360,1506 kj(360 kcal),0,0,88,71,0,"0,65","0,26",16,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cookie pistache,0295251022967,,['France'],[],[],,,,,,,,,?,509,2130 kj(509 kcal),32,15,44,28,10,"0,35","0,14",,,"['FR 75.107.007 CE', 'Paris 7e  Arrondissement (Paris, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Biologico farina riso - 500g,8009852021043,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales']",['France'],[],[],1.1 g,en faible quantité,0.24 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,?,354,1481 kj(354 kcal),"1,1","0,24",79,"0,3","6,5","0,1","0,04",0,B,,500 g,"['Bio', 'Bio européen', 'Sans gluten', 'IT-BIO-009']",,+2%,+2%,-37%,-22%,+13%,-79%,-38%,+228%,+228%,,,,,,,,,,,,,,,,,,,,,,,
3,Confiture extra coing - Les fermes de Gally - 375g,3770003257479,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de coings']",['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,54.3 g,en quantité élevée,2.75 g,en quantité élevée,?,236,987 kj(236 kcal),"0,2",0,"57,1","54,3","0,1","2,75","1,1",21,E,,375 g,,,+6%,+6%,-10%,-100%,+5%,+5%,-59%,+11311%,+11311%,+108%,+108%,B,['Les fermes de Gally'],38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,
4,Fusilli aux fromages,3250392945619,,['France'],[],[],,,,,,,,,?,713,2983 kj(713 kcal),"8,5","5,9","14,1","0,9","8,6","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Yssinbleu royal,2345532023461,,['France'],[],[],,,,,,,,,?,319,1335 kj(319 kcal),25,15,"2,4","0,1",21,"1,3","0,52",,,"['FR 43.007.001 CE', 'Araules (Haute-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Le béret Basque,3540190009157,,['France'],[],[],,,,,,,,,?,381,1594 kj(381 kcal),27,"9,9",44,31,29,"5,3","2,12",,,"['FR 64.484.001 CE', 'Saint-Jean-le-Vieux (Pyrénées-Atlantiques, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Jambon en dés,2299008045467,,['France'],[],[],,,,,,,,,?,119,498 kj(119 kcal),4,"1,4","0,6","0,6",21,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pizza tradizionale Margherita,8003000510304,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas margherita']",['France'],[],[],6.8 g,en quantité modérée,3.1 g,en quantité modérée,3.2 g,en faible quantité,1.2 g,en quantité modérée,?,232,971 kj(232 kcal),"6,8","3,1",32,"3,2",10,"1,2","0,48",5,C,,,,,+2%,+2%,-9%,-12%,+10%,+19%,+6%,-6%,-6%,-30%,-30%,B,,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,,,,,,,,,,,,
9,Sushi daily verde thon mayo,3760199056581,,['France'],[],[],,,,,,,,,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
