,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,palm_ingredients,brand_owner,origin_detail,producer_info
0,Macarons aux Amandes Sans Gluten - Monoprix - 120g,3350033237926,D,Macarons aux amandes,120 g,"['Carton', 'Plastique']","['Monoprix', 'Bien Vivre']","['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Produits sans gluten', 'Pâtisseries', 'Macarons', 'Macarons aux amandes']","['en:gluten-free', 'Point Vert', 'Afdiag', 'Triman']",['France'],"['EMB 26317', 'Saint-Maurice-sur-Eygues (Drôme, France)']",http://www.monoprix.fr,['Monoprix'],['France'],"['Sucre', ' Amandes 40%', ' blanc d’œuf', ' miel de Provence I', 'G', 'P', ' extrait de vanille']","['Œufs', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,24 g,en quantité élevée,2 g,en quantité modérée,48 g,en quantité élevée,0.1 g,en faible quantité,?,,469,+55%,1962 kj(469 kcal),+57%,24,+369%,2,+80%,49,-3%,48,+1596%,12,+51%,"0,1",-84%,"0,04",-84%,12,+845%,D,+845%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,
1,Confiture extra abricots - Monoprix - 370g,3350033253094,B,,370 g,,['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,"['EMB 19121', 'Lubersac (Corrèze, France)']",,['Monoprix'],['France'],"['Sucre-abricots 50%-acidifiant citrique-gélifiant: pectines', ' Preparée avec 50 g de fruits pour 100 g de prodirt']",,[],4,0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,1029,+12%,238,+9%,1029 kj(238 kcal),+12%,0,-100%,0,-100%,59,+11%,59,+17%,"0,5",-0%,0,-100%,0,-100%,12,+33%,D,+33%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,['E440 - Pectines'],,,,,
2,Penne à base de maïs et riz sans gluten - Monoprix - 500g,3350033271104,,,500 g,['Boîte en carton'],['Monoprix'],,['en:gluten-free'],,,,['Monoprix'],['France'],[],,[],,,,,,,,,,?,,355,,1485 kj(355 kcal),,1,,"0,2",,80,,0,,"6,6",,0,,0,,,,,,,,,,,,,,,,,,
3,Sel de table fin - Monoprix P'tit Prix - 500g,3350033298460,B,,500g,,"[""Monoprix P'tit Prix"", 'Monoprix']","['Epicerie', 'Condiments', 'Sels', 'Sels de table']",,,,,['Monoprix'],['France'],['Sel - antiagglomérant : E536'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,?,,0,,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,100,+43%,40,+43%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,['E536 - Ferrocyanure de potassium'],,,,,
4,Infusion *légèrté - Monoprix - 30g,3350033307285,A,,30 g,"['Sachet', 'Etui', 'Carton']",['Monoprix'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Boissons sans alcool', 'Thés en sachets']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['EMB 43089A', 'Espaly-Saint-Marcel (Haute-Loire, France)']",,['Monoprix'],['France'],[],,[],,,,,,,,,,?,,1,-75%,4 kj(1 kcal),-64%,0,-100%,0,-100%,"0,2",-69%,"0,2",-12%,0,-100%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Agriculture biologique'],,,,
5,Petits oignons croquants au vinaigre - Monoprix - 350g (égoutté : 190g) 370ml,3350033312159,,,350 g (égoutté : 190 g) 370 ml,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Petits oignons']",,,,,['Monoprix'],['France'],"['oignons 58,5%', 'eau', ""vinaigre d'alcool 13,3%"", 'sel', 'conservateur : disulfite de sodium']",['Anhydride sulfureux et sulfites'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",,,,,
6,Lasagne Saumon Poireaux - Monoprix - 300g,3350033317628,D,,300 g,,['Monoprix'],"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Lasagnes préparées', 'Lasagnes au poisson', 'Plats au saumon', 'Lasagnes au saumon']",,,,,['Monoprix'],['France'],"['eau', 'semoule de blé dur', 'saumon 10,6% - poireaux 10,1%-farine de blé - crème-huile tournesol emmental râpé 3,3% ', 'lait de vache,??? ', 'ferments lactiques', 'coagulant', 'antiagglomérant : amidon de pomme de terre', "" carottes 2,8% - lait écrémé en poudre - mélange d'oeuf salé "", ""blanc d'oeuf"", 'oeuf entier sel', ' - jus de citron à base de concentré ', 'eau', 'concentré de jus de citron', 'antioxydant: acide ascorbique conservateur: anhydride sulfureux', ' - amidon transformé de pomme de terre - sel - vin blanc - ciboulette - poivre de Cayenne-aneth-macis-poivre']","['Œufs', 'Poisson', 'Lait']","['Non végétalien', 'Non végétarien']",4,6.4 g,en quantité modérée,2.1 g,en quantité modérée,2.3 g,en faible quantité,0.8 g,en quantité modérée,?,,136,-4%,569 kj(136 kcal),-2%,"6,4",-1%,"2,1",-24%,13,+8%,"2,3",+8%,"6,3",-7%,"0,8",+9%,"0,32",+9%,3,+20%,C,+20%,79.3%,12.2%,2.8%,3.0%,1.6%,1.1%,48,"['E300 - Acide ascorbique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",,,,,
7,"Crispy bacon fumé au bois de hêtre, consommer chaud ou froid - Monoprix",3350033340534,,,,,['Monoprix'],,,,,,['Monoprix'],['France'],[],,[],,,,,,,,,,?,,446,,1866 kj(446 kcal),,31,,13,,0,,0,,41,,"4,7",,"1,88",,,,,,,,,,,,,,,,,,
8,Salade chou carotte coriandre assaisonnée sauce aigre douce - Dailymonop - 150g,3350033346963,,,150g,,['Dailymonop'],,,,,,,['France'],"['Chou blanc 34% - chou vert 17% - carotte 17% - sauce aigre-douce 17% [huile de tournesol', 'jus de lime à base de concentré 3,1%', 'miel 2,5%', 'huile de sésame', 'vinaigre de riz 1,2% ', 'riz', 'eau', 'sel', 'sucre', 'ail', 'piment', 'feuilles hachées de combava', ""correcteur d'acidité : acide acétique"", 'épaississant : gomme xanthane', 'conservateur : disulfite de potassium', 'huile essentielle de lime] - coriandre 4,3% - oignon vert - graines de sésame - gingembre - piment - menthe', ' Fabriqué dans un atelier qui utilise du gluten', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']",['Graines de sésame'],['Non végétalien'],4,,,,,,,,,?,,110,,460 kj(110 kcal),,"8,2",,"1,1",,"5,7",,"5,1",,"1,6",,"1,11",,"0,444",,,,,,,,,,,,,"['E260 - Acide acétique', 'E415 - Gomme xanthane', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,,,,
9,Pain Poilâne,3350033360976,,,,,"['Poilâne', 'Poilâna']",,,,,,,['France'],"['Ingrédients : Farine de BLÉ', 'eau,sel de Guérande', ' Allergènes : contient GLUTEN', ' Traces éventuelles de FRUITS À COQUE']",['Gluten'],[],,,,,,,,,,?,,262,,1096 kj(262 kcal),,"0,9",,"0,1",,"54,4",,"1,8",,"9,1",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,
