,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,additives,palm_ingredients,allergens,nova_score,quantity,generic_name,packaging,traceability_code,markets,ingredients_origins,manufacturing,link,producer_info
0,Mini palmiers -,27013236,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']",['France'],[],[],28 g,en quantité élevée,17 g,en quantité élevée,29 g,en quantité élevée,0.7 g,en quantité modérée,?,,525,+2%,2197 kj(525 kcal),+2%,28,+3%,17,+8%,61,+1%,29,+32%,"5,2",-13%,"0,7",-31%,"0,28",-31%,25,+8%,E,+8%,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,,,,,,,,,,,,,,,
1,Carottes congelées - All Season,27013359,,,['France'],"['Carottes*', "" *Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,29,,121 kj(29 kcal),,"0,5",,"0,1",,"4,5",,"4,3",,"0,7",,"0,1",,"0,04",,,,,,,,,,,,,['All Season'],['Bio'],,,,,,,,,,,,,
2,Ciabatta,27017142,,,['France'],[],[],,,,,,,,,?,,247,,1033 kj(247 kcal),,"1,5",,"0,7",,48,,"2,4",,"8,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mini biscuits Minions,27017302,,,['France'],"['farine de blé', 'sucre', 'huiles végétales ', 'palme', 'colza', 'lait entier en poudre', 'poudres à lever ', ""carbonates d'ammonium' Carbonates de sodium"", 'diphosphates', 'sel', 'arôme naturel', 'émulsifiant ', ""acide diacétyltartrique d'esters de mono et diglycérides"", 'Peut contenir des traces de: oeufs', 'fruits à coque', 'arachides', 'sésame et soja', ""Conserver à l'abri de la chaleur et de l'humidité,""]","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,442,,1849 kj(442 kcal),,12,,"4,5",,74,,23,,"8,4",,"0,7",,"0,28",,,,,,,,,,,,,['Minions'],,"[""E503 - Carbonates d'ammonium"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",['Huile de palme'],['Gluten'],4,,,,,,,,,
4,Soupe tomaat basilicum - Nestlé,27020227,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,"0,5",,"0,2",,"5,3",,2,,"0,8",,"1,2",,"0,48",,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,,,
5,Speculoos - Gala - 300grammes,27039663,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Spéculoos']",['France'],[],[],14 g,en quantité modérée,5.9 g,en quantité élevée,1.5 g,en faible quantité,0.75 g,en quantité modérée,?,,405,-15%,1695 kj(405 kcal),-15%,14,-26%,"5,9",-34%,62,-11%,"1,5",-96%,"7,2",+27%,"0,75",+5%,"0,3",+5%,13,-42%,D,-42%,83.0%,9.8%,3.2%,2.0%,1.9%,0.0%,53,['Gala'],,,,,,300 grammes,,,,,,,,
6,Salami séché à l'air -,27044452,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis']",['France'],[],[],27 g,en quantité élevée,12 g,en quantité élevée,1 g,en faible quantité,3.8 g,en quantité élevée,?,,331,-14%,1385 kj(331 kcal),-15%,27,-17%,12,-8%,1,-35%,1,+33%,21,+3%,"3,8",+0%,"1,52",+0%,24,+1%,E,+1%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,['Bio'],,,,,,,,,,,,,
7,Miel d'Acacia -,27044889,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,79 g,en quantité élevée,0 g,en faible quantité,?,,320,+30%,1339 kj(320 kcal),+30%,"0,5",+229%,0,-100%,79,+9%,79,+23%,"0,5",+45%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,
8,Sablé Pur Beurre avec un Fourrage Pomme - Gala,27045350,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",['France'],"['Farine de blé', 'fourrage pomme 22 %', 'purée de pomme 53% ', 'soit 11,7% sur produit fini', 'sirop de glucose-fructose', 'stabilisant:glycérol', 'sucre', 'beurre', 'caramel aromatique ', 'sucre', 'eau', 'acidifiants: citrates de sodium - acide citrique', 'arôme', 'beurre pâtissier 21', '7%', 'sucre', 'œufs 3,7 % ', 'plein air', 'poudres à lever : carbonates de sodium', 'diphosphates', ""carbonates d'ammonium"", 'sel', 'lait écrémé en poudre', 'arôme']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,['Gala'],,"['E422 - Glycérol', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E503 - Carbonates d'ammonium""]",,"['Œufs', 'Gluten', 'Lait']",4,,Sablé Pur Beurre avec un Fourrage Pomme,"['Carton', 'Plastique']",,,,,,
9,Emmental light - Mont Merveille,27048955,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés']",['France'],"['lait ', 'pasteurisé', 'sel', 'ferments - lactiques', 'antiagglomérant: cellulose en poudre,']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",15 g,en quantité modérée,8.2 g,en quantité élevée,0 g,en faible quantité,1.27 g,en quantité modérée,?,,256,-32%,1071 kj(256 kcal),-31%,15,-48%,"8,2",-58%,0,-100%,0,-100%,31,+13%,"1,275",+28%,"0,51",+28%,11,-15%,D,-15%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Mont Merveille'],"['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse']",['E460ii - Cellulose en poudre'],,['Lait'],4,,,,,,,,,
