,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,quantity,brand,categories,markets,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,nova_score,traceability_code,generic_name,additives,allergens,ingredients_origins,manufacturing,origin_detail,producer_info,link,palm_ingredients,brand_owner
0,3296180000641,3296180000641,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Auchan - 43,75g",3596710307418,['France'],[],[],?,?,?,?,?,B,"43,75 g",['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",['Auchan'],,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Coffee Creamer Coffeeta Classic 200G 1 / 6 1.3KG / Box - 200g,5900910000204,['France'],[],[],?,507,24,71,"1,8",,200 g,,,,,,,,,,,,,,,,2121 kj(507 kcal),24,20,"0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Vergani - Mostarda Frutta (fruit Chutney),8002325105004,['France'],[],[],?,297,"0,1","73,3","0,3",,,,,,,,,,,,,,,,,,1243 kj(297 kcal),0,"60,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Farine de petit épeautre,3329480016736,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cube de legumes - Vivi Verde,8001120904492,['France'],[],[],?,149,"4,4","21,8","2,9",,,['Vivi Verde'],,,,,,,,,,,,,,,623 kj(149 kcal),"0,4",20,"51,4","20,56","['Bio', 'Bio européen', 'IT-BIO-009']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Earl grey loose tea,00735438,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Les Papillotes Praliné,3110845050546,['France'],[],[],?,521,28,60,"4,3",,,,,,,,,,,,,,,,,,2180 kj(521 kcal),14,58,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Melange a sauce BBQ,0066701000596,['France'],[],[],?,33.333333333333,1,"6,667","0,333",B,,,"['Epicerie', 'Sauces', 'Sauces barbecue']",,,-79%,+4%,-79%,-63%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,139 kj(33 kcal),0,0,"1,667","0,667",,1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.67 g,en quantité élevée,-79%,-100%,-100%,-17%,-17%,7,-52%,C,-52%,,,,,,,,,,,,,
9,Paprika - Kotányi - 100g,9001414009208,"['Autriche', 'France']",['rote paprika'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,B,100 g,['Kotányi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres moulus']",,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,,,,,,,,,,,,,['plastic bag'],1,,,,,,,,,,,
10,Filet americain preparé du chef -,2415027004159,['France'],[],[],?,219,17,"1,3",16,,,,"['Viandes', 'Préparations de viande', 'Préparations de viande hachée']",,,-0%,+6%,-46%,+5%,,,,,,,,916 kj(219 kcal),"2,9","0,6","0,9","0,36",,17 g,en quantité modérée,2.9 g,en quantité modérée,0.6 g,en faible quantité,0.9 g,en quantité modérée,+0%,-54%,-19%,-25%,-25%,2,-83%,B,-83%,,,,,,,,,,,,,
