,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,brand,categories,labels,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,traceability_code,markets,ingredients_origins,generic_name,manufacturing,link,additives,palm_ingredients,brand_owner
0,Pomme pote pomme abricot,2021792400074,['France'],[],[],?,67,280 kj(67 kcal),"0,5","0,2",14,13,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chocolat lait 38% - Limouzi Saveurs,3760268983763,['France'],"['Chocolat Lait ', '38% de cacao', ' ', 'sucre de canne*', 'beurre de cacao*', 'poudre de lait*', 'pâte de cacao*']",['Non végétalien'],?,577,2414 kj(577 kcal),40,24,48,47,"6,2",D,['Limouzi Saveurs'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",['Lait'],3,40 g,en quantité élevée,24 g,en quantité élevée,47 g,en quantité élevée,0 g,en faible quantité,,+4%,+5%,+16%,+22%,-8%,-4%,-14%,0,-100%,0,-100%,27,+6%,E,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,,,
2,Pulpe de banane,7862118142644,['France'],[],[],?,99,414 kj(99 kcal),0,0,23,16,"0,9",,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
3,Céline Féline Libido & Désir,3701026303973,['France'],[],[],?,?,,?,,?,,?,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tomates séchées de la plaine de MANISA - Direct Producteurs Fruits Secs,3760159012329,['France'],[],[],?,298,1247 kj(298 kcal),"2,67","0,38","50,18","33,83","12,7",,['Direct Producteurs Fruits Secs'],,,,,,,,,,,,,,,,,,,,,"9,93",,"3,972",,,,,,,,,,,,,,,,,,,,,,,
5,Tomates séchées à l'ail des ours - Baionade,3760084452566,['France'],[],[],?,273,1142 kj(273 kcal),"22,8","2,5","11,66","9,75","3,82",,['Baionade'],,,,,,,,,,,,,,,,,,,,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,
6,Eau minérale Thonon,3560238920022,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4314124334122,4314124334122,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,artichauts,8002597003688,['France'],[],[],?,170,711 kj(170 kcal),"15,1","1,7","3,9","0,7","2,4",,,,,,,,,,,,,,,,,,,,,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,
9,Trèsor maya,3701013200766,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
