,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,palm_ingredients,producer_info,origin_detail
0,Yaourt au lait entier Saveur Citron - Casino - 500g (4x 125g),3222472101970,A,"Yaourt au lait entier, sucré, aromatisé citron",500 g (4 x 125 g),"['Frais', 'Opercules et pots plastique à jeter', 'Étui carton à recycler']","['Casino', 'Groupe Casino']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Frais', 'Yaourts', 'Yaourts aromatisés', 'Yaourts sucrés', 'Yaourts entiers']","['Triman', 'Info-Tri Point Vert']","['Novandie (Filiale Groupe Andros) - Route de Roinville - 28700 Auneau', 'Eure-et-Loir', 'Centre-Val de Loire', 'France']","['FR 28.015.011 CE', 'Auneau (Eure-et-Loir, France)', 'EMB 28015', 'Auneau (Eure-et-Loir, France)']",http://www.casinodrive.fr/ecommerce/affichageDetailProduit/WE80205/F-47220-yaourts/P-76924-casino-yaourt-citron-au-lait-entier,"['Banque alimentaire', 'Casino']",['France'],"['Lait entier 90 %', 'sucre 9,5 %', 'lait écrémé en poudre et/ou lait écrémé concentré', 'arôme citron', 'ferments lactiques']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2.9 g,en faible quantité,2 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,381,+2%,?,,381 kj(91 kcal),0%,"2,9",-19%,2,-13%,13,+19%,12,+17%,"3,1",-11%,"0,1",-10%,"0,04",-10%,3,+20%,C,+20%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,
1,Céleri Remoulade - Casino - 300g,3222472108320,B,Céleri rave râpé en sauce,300 g,"['Frais', 'Plastique', 'Barquette']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Frais', 'Plats préparés frais', ""Plats préparés d'origine végétale"", 'Légumes préparés', 'Céleris Rémoulade']","['Experimentation Etiquetage Nutritionnel 2016', 'Point Vert', 'Sans conservateurs', 'Nutriscore', 'Expérimentation Nutriscore', 'Expérimentation Nutriscore A', 'Nutriscore A']",['France'],"['EMB 22389B', ""Yffiniac (Côtes-d'Armor, France)""]",,['Casino'],['France'],"['Céleri rave râpé 73% - eau - huile de colza - vinaigre d’alcool - crème fraîche - moutarde de Dijon ', ""eau - graines de moutarde - Vinaigre d'alcool - sel"", "" - sel - sucre - jaune d'œuf - fécule de manioc -  amidon transformé de pomme de terre - épaississants : gomme guar"", 'gomme xanthane - poivre']","['Œufs', 'Lait', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,6.1 g,en quantité modérée,0.9 g,en faible quantité,2.9 g,en faible quantité,0.92 g,en quantité modérée,328,-34%,79,-39%,328 kj(79 kcal),-40%,"6,1",-47%,"0,9",-9%,"4,1",+25%,"2,9",+67%,"0,8",-34%,"0,92",-9%,"0,368",-9%,0,-100%,B,-100%,68.7%,4.1%,11.5%,9.5%,4.9%,1.3%,91,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']",,,,
2,Café moulu Pur Arabica Scilior - Arôme intense et généreux - Casino - 250g,3222472110958,,Café moulu,250 g,,['Casino'],,,,,,['Casino'],['France'],['Café arabica 100%'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
3,Pur Brésil - 100% arabica - Equilibré et doux - Casino - 250g,3222472110972,,Café moulu,250 g,,['Casino'],,,,,,['Casino'],['France'],['Café arabica du Brésil 100%'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
4,Pur Colombie - 100% arabica - Fruité et acidulé - Casino - 250g,3222472111009,E,Café moulu,250 g,,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",,,,,['Casino'],['France'],['Café arabica de Colombie 100%'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,
5,Artichauts grillés marinés à l'huile d'olive - Casino - 280g,3222472111085,C,,280g,"['Bocal', 'Verre']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Artichauts', 'Artichauts en conserve']",,,,,['Casino'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,26.8%,7.3%,6.0%,4.3%,2.1%,56,,,,,
6,Panettone pur beurre recette italienne - Casino - 500g,3222472111122,C,Brioche pur beurre aux raisins secs et aux écorces d'orange confites (6%),500 g,['Carton'],['Casino'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,['Casino'],['France'],"['Farine de blé - eau - raisins secs 13,9% - sucre - beurre concentré 10,7% - levain ', 'farine de blé - eau', "" - jaune d'oeufs - écorces d'oranges 3,2% - sirop de glucose-fructose - émulsifiant: mono - et diglycérides d'acides gras - sirop de glucose - sel - arômes "", 'contient alcool', ' - protéines de lait - lait écrémé en poudre - huile de coton', ' traces de fruits à coque et de soja']","['Œufs', 'Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,12 g,en quantité modérée,7.5 g,en quantité élevée,24 g,en quantité élevée,0.39 g,en quantité modérée,1469,-5%,349,-7%,1469 kj(349 kcal),-6%,12,-20%,"7,5",-17%,54,+5%,24,-7%,"6,3",-8%,"0,39",-12%,"0,156",-12%,17,-9%,D,-9%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,
7,Confiture Extra Abricots - Casino - 370g,3222472111269,D,,370 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,"['EMB 46029A', 'Biars-sur-Cère (Lot, France)', 'EMB 46129', 'Gréalou (Lot, France)']",,['Casino'],['France'],"['abricots', 'sucre', 'sucre roux de canne', 'acidifiant : acide citrique', 'gélifiant : pectines de fruits']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,238,+7%,996 kj(238 kcal),+7%,0,-100%,0,-100%,59,+10%,59,+15%,"0,5",-3%,0,-100%,0,-100%,11,+18%,D,+18%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['E330 - Acide citrique', 'E440 - Pectines']",,,,
8,Confiture extra Fraise - Casino - 750g,3222472111283,D,Confiture extra de Fraises,750 g,"['Pot', 'Verre', 'Couvercle', 'Métal']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,['Casino'],['France'],"['Sucre - fraises - gélifiant : pectines - acidifiant : acide citrique', ' Préparée avec 50g de fruits pour 100g']",,[],4,0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,1037,+13%,?,,1037 kj(248 kcal),+14%,0,-100%,0,-100%,61,+15%,59,+16%,"< 0,5",+13%,0,-100%,0,-100%,8,-8%,C,-8%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['E440 - Pectines', 'E330 - Acide citrique']",,,,
9,Gelée extra de Mûres - Casino - 370g,3222472111320,C,,370 g,"['Bocal verre', 'capsule métal']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de mûres']",,,,,['Casino'],['France'],"['sucre - jus de mûres à base de concentré - gélifiant : pectines - acidifiant : acide citrique', ' Préparée avec 50 g de jus de mûres pour 100 g de produit fini']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.5 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,247,+2%,1033 kj(247 kcal),+1%,"0,5",+47%,0,-100%,60,+1%,59,+3%,"0,6",+35%,0,-100%,0,-100%,12,+3%,D,+3%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['E440 - Pectines', 'E330 - Acide citrique']",,,,
