,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,markets,additives,ingredients_origins,manufacturing,link,allergens,nova_score,generic_name,origin_detail,brand_owner,palm_ingredients,producer_info
0,Black garlic ail noir,5060199660008,['France'],[],[],?,231,967 kj(231 kcal),0,0,44,32,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Radis Bio - Top Légumes,760118128207,['France'],[],[],?,?,,?,,?,,?,,,['Top Légumes'],"['Bio', 'Bio européen', 'FR-BIO-16']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,La quiche lorraine - Franprix - 400g,3263858052615,['France'],[],[],?,254,1063 kj(254 kcal),16,"9,1",18,"1,7","9,2","0,97","0,388",['Franprix'],"['Nutriscore', 'Nutriscore D']",D,400 g,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",16 g,en quantité modérée,9.1 g,en quantité élevée,1.7 g,en faible quantité,0.97 g,en quantité modérée,,-4%,-3%,-2%,+4%,-7%,-26%,-1%,-7%,-7%,16,+13%,D,+13%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,,,,,,,,,,,,,
3,Radis équetés,3222477680708,['France'],[],[],?,?,,?,,?,,?,,,,"['Bio', 'Bio européen', 'FR-BIO-16']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],"['EMB 33073A', 'Braud-et-Saint-Louis (Gironde, France)']",,,,,,,,,,,,
4,Ricola,7610700901083,['France'],[],[],?,984,4117 kj(984 kcal),0,0,98,0,0,0,0,['Ricola'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bio village,3564707178181,['France'],[],[],?,?,,?,,?,,?,,,['Bio Village'],['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,
6,Galettes aux céréales - Casino Bio,3222477708297,['France'],[],[],?,229,958 kj(229 kcal),11,"2,8",24,0,"7,2","1,1","0,44",['Casino Bio'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,panés au colin d\'Alaska - Cité Marine,9422100076258,['France'],[],[],?,?,,?,,?,,?,,,['Cité Marine'],"['Nutriscore', 'Nutriscore A', 'Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['MSC-C-50004'],,,,,,,,,,,,
8,fourré Pomme Cassis - Gerblé,3175681270749,['France'],[],[],?,371,1552 kj(371 kcal),13,1,66,"3,7","5,1","0,34","0,136",['Gerblé'],"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ossau Iraty AOP,0219746035096,['France'],[],[],?,?,,?,,?,,?,,,,,E,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",,,,,,,,,,,,,,,,,,,,,,,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,,,,,,,,,,,,
