,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,palm_ingredients,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,ingredients_origins,manufacturing,traceability_code,link,brand_owner
0,Paradiescreme weiße Schokolade - Dr. Oetker - 70g,4000521463502,70g,['Beutel'],['Dr. Oetker'],"['France', 'Allemagne']","['Zucker', 'modifizierte Stärke', '9,2 % Weiße Schokolade ', 'Zucker', 'Kakaobutter', 'VOLLMILCHPULVER', 'Emulgator ', 'Lecithine', 'Glukosesirup', 'pflanzliche Öle ', 'Palmkern', 'Palm', 'Emulgator ', 'E 472b', 'MAGERMILCHPULVER', 'Geliermittel ', 'Carrageen', 'MILCHEIWEISS', 'Aroma ', 'enthält MILCHBESTANDTEILE', 'Salz', 'Farbstoff ', 'Carotin']","['E14XX - Amidons modifiés', 'E322 - Lécithines', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés']",['Lait'],"['Huile de palme', 'Non végétalien']",4,?,123,515 kj(123 kcal),"3,5","2,5",20,17,"3,2","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Maxi Mix - Assortiment de produits apéritifs - Vico - 1000g,4000522008443,1000 g,"['Sachet', 'Plastique']",['Vico'],['France'],"['Farine de BLÉ', 'huile de palme', 'sel', 'sucre', 'graines de SÉSAME', 'sirop de glucose', 'LACTOSÉRUM en poudre', 'graines de pavot', 'BABEURRE en poudre', 'FROMAGE en poudre', 'farine de BLÉ malté', 'sirop de glucose-fructose', 'amidon de BLÉ', ""émulsifiant : mono et diglycérides d'acides gras"", ""correcteur d'acidité : hydroxyde de sodium"", 'levure', 'arômes', 'protéines de LAIT', 'yaourt ', 'contient LAIT écrémé', 'amidon modifié', 'LAIT entier en poudre', 'épice']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E524 - Hydroxyde de sodium', 'E14XX - Amidons modifiés']","['Gluten', 'Lait', 'Graines de sésame']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1904,454,1904 kj(454 kcal),19,"8,6",59,"4,7","9,8","3,4","1,36",C,Assortiment de produits apéritifs,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Huile de palme'],19 g,en quantité modérée,8.6 g,en quantité élevée,4.7 g,en faible quantité,3.4 g,en quantité élevée,-5%,-2%,-3%,-5%,+59%,-1%,+20%,-1%,+70%,+70%,24,+56%,E,+56%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,
2,Lindt Eiscafé,4000539031601,,,['Lindt'],['France'],[],,,[],,?,590,2469 kj(590 kcal),40,25,51,51,0,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Lindt & Sprüngli Lindor Kugeln Vollmilch 1Kg, 1er Pack - 1kg",4000539086502,1 kg,,['Lindt'],"['France', 'Allemagne']","['Zucker', 'pflanzliches Fett ', 'Kokosnuss', 'Palmkern', 'Kakaobutter', 'Vollmilchpulver', 'Kakaomasse', 'Milchzucker', 'Butterreinfett', 'Magermilchpulver', 'Emulgator ', 'Sojalecithin', 'Gerstenmalzextrakt', 'Aromen']",,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,617,2582 kj(617 kcal),47,35,43,43,"4,6","0,15","0,06",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,47 g,en quantité élevée,35 g,en quantité élevée,43 g,en quantité élevée,0.15 g,en faible quantité,,+17%,+17%,+47%,+101%,-18%,-9%,-22%,-2%,-2%,26,+7%,E,+7%,,,,,,,,['Pur beurre de cacao'],,,,,,
4,Lindor Extra Dunkel - Lindt - 38g,4000539101809,38 g,"['Kunststoff', 'plastique']",['Lindt'],"['France', 'Allemagne']","['Kakaomasse', 'Zucker', 'pflanzliches Fett ', 'Kokosnuss', 'Palmkern', 'Kakaobutter', 'Vollmilchpulver', 'Butterreinfett', 'Milchzucker', 'Emulgator', ' Sojalecithin', 'Magermilchpulver', 'Vanille', 'Gerstenmalzextrakt', 'Aromen']",,"['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,615,2573 kj(615 kcal),48,36,37,34,"5,3","0,04","0,016",,Barre de chocolat noir fourré - Lindor Extra Dunkel,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats fourrés']",,48 g,en quantité élevée,36 g,en quantité élevée,34 g,en quantité élevée,0.04 g,en faible quantité,,+14%,+14%,+43%,+101%,-28%,-28%,-14%,-70%,-70%,24,-2%,E,-2%,,,,,,,,['Point Vert'],['Sky'],,,,,
5,Lindt Creation Mango-maracuja,4000539118203,,,['Lindt'],"['France', 'Espagne']",[],,,[],,?,523,2188 kj(523 kcal),30,18,57,52,"5,8","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mini Pralinés 20er - Lindt,4000539122804,,,['Lindt'],['France'],"['Zucker', 'Kakaobutter', 'Kakaomasse', 'Vollmilchpulver', 'Mandeln', 'Haselnüsse', 'Glukose-Fruktose-Sirup', 'Butterreinfett', 'Traubenzucker', 'Pistazien', 'Magermilch - pulver', 'Kondensmilch', 'Invertzucker', 'Zitronen - schalen', 'Orangenschalen', 'Palmöl', 'Marc de Champagne', 'Milchzucker', 'Kirschwasser', 'Emulgator ', 'Sojalecithin', 'Alkohol', 'Sahnepulver', 'Kaffee', 'Orangensaft - konzentrat', 'natürliches Aroma', 'Feuchthaltemittel ', 'Invertase', 'Gerstenmalzextrakt', 'Aromen', 'Zitronensaftkonzentrat', 'fettarmes Kakaopulver', 'Überzugsmittel ', 'Gummi arabicum', ' Kann andere Schalenfrüchte enthalten', ' Einige Spezialitäten enthalten Alkohol']",['E1103 - Invertase'],,[],,?,530,2218 kj(530 kcal),31,14,53,50,"7,1","0,4","0,16",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",,31 g,en quantité élevée,14 g,en quantité élevée,50 g,en quantité élevée,0.4 g,en quantité modérée,,-2%,-2%,-8%,-20%,+3%,+7%,+18%,+178%,+178%,27,+8%,E,+8%,,,,,,,,['Fabriqué en Allemagne'],,,,,,
7,Lindt lindor,4000539127908,,,['Lindt'],['France'],"['Zucker', 'pflanzliches Fett ', 'Kokosnuss', 'Palmkern', 'Kakaobutter', 'Kakaomasse', 'Vollmilchpulver', 'Magermilchpulver', 'Mitchzucker', 'Butterreinfett', 'Emulgator ', 'Sojalecithin', 'Gersten - malzextrakt', 'Aromen', ' Kann Haselnüsse', 'Mandeln enthalten', ' COCOA PRO']",,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien']",4,?,620,2594 kj(620 kcal),48,34,43,40,"4,9","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Suisse'],,,,,,
8,Caramel Brownie - Lindt - 39g,4000539221507,39g,['Plastique'],['Lindt'],"['France', 'Allemagne', 'Suisse']","['Sucre', 'beurre de cacao', 'pâte de cacao', 'poudre de lait', 'sirop de glucose', 'noisettes', 'beurre laitier concentré', 'graisse végétale ', 'palme palmiste', 'poudre de crème', 'lait concentré', 'farine de blé', 'dextrose', 'lactose', 'émulsifiant ', 'lécithine de soja et de tournesol', 'poudre de cacao', 'poudre de lait écrémé', 'sel', 'arômes naturels', ""extrait de malt d'orge"", 'arôme ', 'vanilline', 'poudre à lever ', ""bicarbonate d'ammonium"", 'de sodium et carbonate de potassium', 'vanille']","['E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium"", 'E500i - Carbonate de sodium', 'E501i - Carbonate de potassium']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,2251,540,2251 kj(540 kcal),33,17,53,51,"6,4","0,12","0,048",E,Chocolat au lait fourré au caramel (13%) et d'un intérieur crémeux aux éclats de biscuits cacaotés (3%).,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats au lait fourrés']",['Huile de palme'],33 g,en quantité élevée,17 g,en quantité élevée,51 g,en quantité élevée,0.12 g,en faible quantité,-1%,-2%,-2%,-4%,-6%,+1%,+3%,-1%,-38%,-38%,26,+2%,E,+2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,['Carrefour Market'],,,,,
9,Hello Salted Caramel - Lindt - 100g,4000539224607,100g,"['Karton', 'Aluminium', 'Stück']",['Lindt'],"['Autriche', 'France', 'Allemagne']","['sugar', 'glucose syrup', 'cocoa butter', 'whole milk powder ', 'butter fat ', 'cocoa mass', 'condensed milk ', 'milk sugar ', 'dextrose', 'skimmed milk powder ', 'emulsifier ', ' soya lecithin ', 'salt', 'barley malt extract ', 'natural flavouring', 'flavouring vanillin,']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,513,2146 kj(513 kcal),29,19,57,52,"5,2","0,61","0,244",,Gefüllte Vollmilch-Schokolade mit Caramel (36%) und einem Hauch von Salz,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,29 g,en quantité élevée,19 g,en quantité élevée,52 g,en quantité élevée,0.61 g,en quantité modérée,,-7%,-7%,-20%,-10%,+24%,+27%,-28%,+339%,+339%,28,+19%,E,+19%,,,,,,,,['Point Vert'],,,,,,
