,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,labels,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,quantity,packaging,ingredients_origins,manufacturing,traceability_code,additives,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,link,markets,palm_ingredients,brand_owner
0,Jambon Pata Negra Bellota 100 Grs Coupé a La Main,8437012739413,['France'],[],[],?,325,1360 kj(325 kcal),"18,4","10,6","0,5","0,4","38,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,So aloe sugar free,8437012973152,['France'],"['4uRGO so ALOE Original taste I\'REMIUM ALOE VERA DRINK go SUGAR FREE ""LAVORED • NO PRESERVATIVÜ 46', '9 OZ 500 ML']",[],?,0,0 kj(0 kcal),0,0,1,0,0,"0,02","0,008",['So'],['Boissons'],['Sans conservateurs'],['Aucun'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.02 g,en faible quantité,,-100%,-100%,-100%,-100%,-91%,-100%,-100%,-52%,-52%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,
2,Chorizo fort - El Andaluz - 200g,8437013039246,['France'],"['Viande de porc', 'Paprika', 'Sel', 'Ail', 'Dextrine', 'Dextrose', 'LAIT EN POUDRE', 'Sucre', 'Poivre', 'Romarin', ""Régulateur de d'acidté "", 'Émulsifiants E450', 'E452 et E451', 'Conservateur E250 et antioxydant E301']","['Non végétalien', 'Non végétarien']",?,479,2004 kj(479 kcal),43,17,2,"0,5",21,3,"1,2",['El Andaluz'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']","['en:gluten-free', 'Point Vert']",['Lait'],43 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,3 g,en quantité élevée,,+18%,+17%,+26%,+32%,-32%,-72%,-8%,-20%,-20%,25,+5%,E,+5%,D,200 g,"['Sachet', 'Plastique']",['Union européenne'],['Espagne'],['ES 10.01865/GE CE'],"['E1400 - Dextrines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",4,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,
3,Longaniza de payes,8437013039307,['France'],[],[],?,403,1686 kj(403 kcal),"27,3","10,3","1,7","1,2","37,5","4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Chorizo extra chiffonnade - El Andaluz,8437013039611,['France'],"['Viande de porc', 'Sel', 'Sirop de glucose', 'Paprica', 'Sucre', 'Protéine de LAIT', 'Protéine de SOJA', 'Dextrose Ail', 'Antioxydants E301', 'E392 et Conservateurs E250,E252']","['Non végétalien', 'Non végétarien']",?,370,1548 kj(370 kcal),31,12,"3,3","2,6",21,3,"1,2",['El Andaluz'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo', 'Chorizo en tranches']",,"['Lait', 'Soja']",31 g,en quantité élevée,12 g,en quantité élevée,2.6 g,en faible quantité,3 g,en quantité élevée,,+12%,+12%,+19%,+23%,+22%,+28%,-5%,-18%,-18%,24,+8%,E,+8%,D,,,,,,"['E301 - Ascorbate de sodium', 'E392 - Extrait de romarin', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",4,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,
5,Courgette - 1000g,8437013101073,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Courgettes', 'Courgettes fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,,1000 g,,,,,,,,,,,,,,,,,,
6,8437013107105,8437013107105,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8437013346115,8437013346115,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Lentejas cocidas - La gallega - 570g,8437013401432,['France'],[],[],?,?,,?,,?,,?,,,['La gallega'],,,,,,,,,,,,,,,,,,,,,,,,,,,570g,,,,,,,,,,,,,,,,,,
9,Fuet catalan,8437013611053,['France'],[],[],?,310,1297 kj(310 kcal),20,"7,6","1,85","1,3",32,"2,2","0,88",,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses espagnoles', 'Fouets catalans', 'Fuet Catalan']",['en:gluten-free'],,20 g,en quantité modérée,7.6 g,en quantité élevée,1.3 g,en faible quantité,2.2 g,en quantité élevée,,-31%,-31%,-44%,-42%,-44%,-41%,+17%,-46%,-46%,19,-24%,E,-24%,,,,,,,,,,,,,,,,,,,,
10,Fuet saveur truffe,8437013611060,['France'],[],[],?,310,1297 kj(310 kcal),20,"7,6","1,85","1,3",32,"2,2","0,88",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Fuet foie gras,8437013611114,['France'],[],[],?,310,1297 kj(310 kcal),20,"7,6","1,85","1,3",32,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,saussion,8437013611930,['France'],[],[],?,310,1297 kj(310 kcal),20,"7,6","1,85","1,3",32,"2,2","0,88",,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
