,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,manufacturing,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,ingredients_origins,markets,nova_score,additives,link,allergens,generic_name,brand_owner,producer_info,palm_ingredients
0,Abanicos De Chocolate Asinez,8411192081302,['France'],[],[],?,488,2042 kj(488 kcal),24,"20,3","61,1","29,6","5,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Beurre Centrale - 200g,6111032002819,"['France', 'Maroc']",[],[],?,?,,?,,?,,?,,,200 g,['Centrale'],['Beurre frais'],['Maroc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Epinards Artichaut pur soup’ - Liebig - 1L,112302617,['France'],[],[],?,?,,?,,?,,?,,,1L,['Liebig'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Silken Tofu - 300g,8888351500019,"['France', 'Allemagne']",[],[],?,46,192 kj(46 kcal),"1,9","0,4","1,5","1,2","5,3",0,0,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Foie gras - Maison Montfort,3104544071025,['France'],[],[],?,528,2209 kj(528 kcal),54,23,"2,7","2,7","7,6","1,2","0,48",,['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras']",,B,54 g,en quantité élevée,23 g,en quantité élevée,2.7 g,en faible quantité,1.2 g,en quantité modérée,,+4%,+4%,+3%,+3%,+16%,+100%,+9%,-1%,-1%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
5,Saumon les émincés fondant bio - Labeyrie - 220g,3033610076445,['France'],[],[],?,?,,?,,?,,?,,,220 g,['Labeyrie'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],D,,,,,,,,,,,,,,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['Frais', 'Sous vide']","['Bio', 'Bio européen', 'AB Agriculture Biologique']","['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,,,,,,
6,Miel de fleurs des pays de l'ain - Gaec Prevost - 500g,3423570003023,['France'],['Miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,0,0,500g,['Gaec Prevost'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['Villieu'],B,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Pot verre'],,,['Rhône Alpes'],['Carrefour'],2,,,,,,,
7,Haricots blancs au naturel - Ederki,3277510006731,['France'],[],[],?,114,477 kj(114 kcal),"0,3",0,"16,4","0,3","7,3","0,05","0,02",,['Ederki'],['en:Haricots blancs'],,,0.3 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,0.05 g,en faible quantité,,+8%,+7%,-42%,-100%,+21%,-35%,+27%,-90%,-90%,-3,,A,,,,,,,,,,,,,,,,,,,,,
8,Museau de boeuf vinaigrette - Auchan,3254566709359,['France'],[],[],?,150,628 kj(150 kcal),11,"1,3","0,4","0,4",12,"1,8","0,72",,['Auchan'],"['Viandes', 'Préparations de viande']",,,11 g,en quantité modérée,1.3 g,en faible quantité,0.4 g,en faible quantité,1.8 g,en quantité élevée,,-26%,-27%,+4%,-59%,-95%,-67%,-24%,+14%,+14%,4,-48%,C,-48%,,,,,,,,,,,,['Auchan'],,,,,,,,
9,Les ApériGaufres saveur tomate/piment,3588570004828,['France'],[],[],?,486,2033 kj(486 kcal),25,16,52,"6,1",12,"3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Belgid'or,5413216130037,['France'],[],[],?,560,2343 kj(560 kcal),"34,6","20,8","56,7","55,9","4,6","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Salat Mit Surimi & King-krabbe / Salade Au Surim. ..,5413739125015,['France'],[],[],?,?,,?,,?,,?,,,,,['Salades au surimi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Lamelles de poisson fumé,5060374370104,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
