,name,bar_code,eco_score,brand,categories,traceability_code,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,ingredients_origins,manufacturing,quantity,markets,additives,link,palm_ingredients
0,Comté 6 mois - Le berger Comtois,2165742004780,D,['Le berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses', 'Produits AOC', 'Produits labellisés']","['FR 25.531.001 CE', 'Santoche (Doubs, France)', 'FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)']",['France'],"['lait cru', 'sel', 'ferments', 'présure']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+20%,1799 kj(430 kcal),+21%,35,+20%,23,+17%,1,+96%,1,+214%,27,+17%,"0,8",-43%,"0,32",-43%,13,-10%,D,-10%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
1,Comté portion au lait cru - Le Berger Comtois,2165742005206,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']","['FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)']",['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
2,Comté - Le Berger Comtois,2165742005213,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']","['FR 25.531.001 CE', 'Santoche (Doubs, France)', 'FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)']",['France'],"['lait cru', 'sel', 'ferments', 'présure']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,1783,+19%,?,,1783 kj(426 kcal),+8%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,Fromage à pâte pressée cuite au lait cru,"['Frais', 'Plastique']",['AOP'],,,,,,,
3,Comté - Le Berger Comtois,2165742005251,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']","['FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)']",['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
4,Comté portion - Le Berger Comtois,2165742005275,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],"['lait cru', 'sel', 'ferments', 'présure', ' Fabriqué', ""affiné et conditionné dans la zone d'appellation d'origine"", ' Affiné par PFCE - 25170 Lavernay', ' onditionné par : A - Fromagerie de Clerval Santoche ou B - PFCE 25580 Guyans FR FR A : 25', '531', '001 B : CE CE 25300001']",['Lait'],['Non végétalien'],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
5,Comté portion - Le Berger Comtois,2165742005282,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']","['FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)', 'FR 25.531.001 CE', 'Santoche (Doubs, France)']",['France'],"['lait cru', 'sel', 'ferments', 'présure', ' Fabriqué', ""affiné et conditionné dans la zone d'appellation d'origine"", ' Affiné par PFCE - 25170 Lavernay', ' Conditionné par : A - Fromagerie de Clerval ', '5340 Santoche ou B - PFCE 25580 Guyans Durne FR FR As', ' 25531', '001 B : 25', '300', '001 CE CE']",['Lait'],['Non végétalien'],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
6,Comté - Le Berger Comtois,2165742005299,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']","['FR 25.531.001 CE', 'Santoche (Doubs, France)']",['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,['AOP'],,,,,,,
7,COMTÉ PORTION - Le Berger Comtois,2165743003706,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
8,Comté - Le berger comtois,2165743003720,C,['Le berger comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses', 'Produits labellisés']","['FR 25.531.001 CE', 'Santoche (Doubs, France)', 'FR 25.300.001 CE', 'Guyans-Durnes (Doubs, France)']",['France'],"['lait cru', 'sel', 'ferments', 'présure']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+35%,1799 kj(430 kcal),+35%,35,+61%,23,+67%,1,-85%,1,+57%,27,+34%,"0,8",-25%,"0,32",-25%,13,+30%,D,+30%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['Plastique transparant sous vide'],['AOP'],['France'],['Doubs'],,,,,
9,Comté portion - Le Berger Comtois,2165743004222,D,['Le Berger Comtois'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],,[],,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,?,,430,+8%,1799 kj(430 kcal),+9%,35,+7%,23,+6%,1,+116%,1,+260%,27,+7%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
