,name,bar_code,eco_score,quantity,brand,categories,ingredients_origins,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,additives,packaging,manufacturing,generic_name,link,palm_ingredients
0,Fromage double creme truffe - Lidl - 110g,3294890000326,B,110 g,['Lidl'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages double crème']",['France'],['Lidl'],['France'],"['Lait ', 'origine : France', ',crème ,truffe 3% ', 'Tuber Bestivum Vitto huile d olive', 'arome', 'sel', 'présure', 'ferments tactiques', ' Traces éventuelles de moutardes sulfites', 'gluten', 'oeuf']",['Lait'],['Non végétalien'],4,32 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,?,,352,+6%,1473 kj(352 kcal),+5%,32,+6%,21,+1%,3,+84%,0,-100%,8,-41%,1,-27%,"0,4",-27%,14,-5%,D,-5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
1,Plaisirs de Bourgogne - 90g,3294890000623,,90 g,,,,,['France'],[],,[],,,,,,,,,,?,,338,,1414 kj(338 kcal),,25,,16,,3,,0,,8,,1,,"0,4",,,,,,,,,,,,,,,,,,,,
2,Plaisirs de Bourgogne,3294890000630,,,,,,,['France'],[],,[],,,,,,,,,,?,,338,,1414 kj(338 kcal),,25,,16,,3,,0,,3,,1,,"0,4",,,,,,,,,,,,,,,,,,,,
3,3294910512860,3294910512860,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
4,Pont L'eveque - Sélection Saff - 400g,3295030021058,D,400 g,['Sélection Saff'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', ""Pont-l'évêque"", 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['France'],[],,[],,23 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,295,-1%,1234 kj(295 kcal),-0%,23,-2%,15,-6%,"< 0,5",+26%,"< 0,5",+36%,22,+3%,"1,6",0%,"0,64",0%,15,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['AOP'],,,,,,,
5,Alliance de foie gras de canard aux figues,3295080097089,,,,,,,['France'],[],,[],,,,,,,,,,?,,489,,2046 kj(489 kcal),,46,,20,,"9,9",,"7,3",,"7,2",,1,,"0,4",,,,,,,,,,,,,,,,,,,,
6,Alliance de foie gras aux pommes,3295080097096,,,,,,,['France'],[],,[],,,,,,,,,,?,,422,,1766 kj(422 kcal),,40,,18,,"9,4",,"7,6",,6,,"0,89",,"0,356",,,,,,,,,,,,,,,,,,,,
7,Aiguillettes marinees espelettz,3295080193125,,,,,,,['France'],[],,[],,,,,,,,,,?,,99,,414 kj(99 kcal),,1,,"0,2",,"2,6",,"1,4",,20,,"1,4",,"0,56",,,,,,,,,,,,,,"['FR 56.109.001 CE', 'Lauzach (Morbihan, France)']",,,,,,
8,Foie gras de canard entier - Réghalal,3295080637186,B,,['Réghalal'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,,['France'],"['gras de canard entier', 'sel', 'poivre', 'foie conservateur: nitrite de sodium', 'antioxydant : ascorbate de sodium']",,[],3,52 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,509,-4%,2130 kj(509 kcal),-4%,52,-4%,22,-5%,"2,2",-8%,0,-100%,"8,3",+10%,"1,6",+33%,"0,64",+33%,23,+11%,E,+11%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Halal'],,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,,,,
9,Eminces de poulet,3295080651953,,,,,,,['France'],[],,[],,,,,,,,,,?,,139,,582 kj(139 kcal),,"6,9",,2,,"0,4",,"0,1",,"18,9",,"1,33",,"0,532",,,,,,,,,,,,,,,,,,,,
