,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,traceability_code,markets,generic_name,link,palm_ingredients
0,Madeleines pépites Chocolat - Viadélice - 180g,3760092217539,D,180 g,"['Sachet', 'Plastique']",['Viadélice'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']","['Bio', 'Bio européen', 'en:gluten-free', 'Sans lactose']",['France'],"['Œufs', 'huile de tournesol', 'sucre de canne blond', 'farine de riz', 'fécule de pomme e terre', 'pépites de chocolat 82 % ', 'cacao', 'sucre de canne', 'beurre de cacao', 'miel', 'sirop de riz', 'amidon de maïs', 'poudre de cacao maigre', 'émulsifiant : lécithines ', 'tournesol', 'épaississants : gomme guar et gomme xanthane', 'poudres à lever : carbonates de sodium et phosphates de calcium', 'sel marin', ""poudre de jus concentré d'acérola"", 'maltodextrine']","['E322i - Lécithine', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E500 - Carbonates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']",['Œufs'],['Non végétalien'],4,26.3 g,en quantité élevée,4.6 g,en quantité modérée,29.6 g,en quantité élevée,0.95 g,en quantité modérée,?,,470,+5%,1966 kj(470 kcal),+5%,"26,3",+12%,"4,6",-31%,"52,7",+1%,"29,6",+4%,"4,7",-18%,"0,95",+25%,"0,38",+25%,18,-2%,D,-2%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,
1,Menu Végélice Fusilli Tomate basilic - Viadélice - 300g,3760092217621,,300 g,"['Carton', 'Barquette', 'Plastique']",['Viadélice'],"['Plats préparés', 'Plats préparés à réchauffer au micro-ondes']","['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Fabriqué en France', 'Sans lactose', 'FR-033-166']",['France'],"['Tomates* au jus et concentré de tomates* 37 %', 'fusilli sans gluten* cuites 20 % ', 'farine de maïs*', 'farine de riz*', 'eau', 'oignon*', 'carotte*', 'huile de colza*', 'sucre de canne blonde*', 'ail*', 'basilic* 1 %', 'amidon de maïs*', 'sel marin', 'paprika*', 'épaississant : farine de guar', 'origan*', 'poivre blanc*', "" *Ingrédients issus de l'agriculture biologique""]",['E412 - Gomme de guar'],,"['Végétalien', 'Végétarien']",4,2.5 g,en faible quantité,0.3 g,en faible quantité,4.3 g,en faible quantité,0.87 g,en quantité modérée,366,-34%,?,,366 kj(87 kcal),-34%,"2,5",-54%,"0,3",-85%,"13,7",+6%,"4,3",+146%,"1,6",-76%,"0,87",+12%,"0,348",+12%,3,+113%,C,+113%,,,,,,,,['France'],,,,,,
2,Madeleines pépites de chocolat,3760092217867,D,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']","['en:gluten-free', 'Sans lactose', 'en:palm-oil-free']",['France'],[],,,['Sans huile de palme'],,27 g,en quantité élevée,7.3 g,en quantité élevée,22 g,en quantité élevée,0.92 g,en quantité modérée,?,,450,+1%,1883 kj(450 kcal),+1%,27,+15%,"7,3",+9%,39,-25%,22,-23%,"6,5",+14%,"0,92",+21%,"0,368",+21%,20,+9%,E,+9%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,
3,Noix de cajou - Biothentic,3760092219854,E,,,['Biothentic'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",['Bio'],['France'],[],,,[],,46 g,en quantité élevée,9 g,en quantité élevée,5 g,en quantité modérée,0.041 g,en faible quantité,?,,574,-4%,2402 kj(574 kcal),-4%,46,-0%,9,+6%,33,+29%,5,-23%,15,-20%,"0,041",-93%,"0,016",-93%,6,-21%,C,-21%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,
4,Mélange tonus - Biothentic,3760092220027,,,,['Biothentic'],,"['Bio', 'Fabriqué en France']",['France'],[],,,[],,,,,,,,,,?,,424,,1774 kj(424 kcal),,20,,7,,61,,27,,7,,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,
5,Crème glacer vanille de madagascar,3760092340015,,,,,,,['France'],[],,,[],,,,,,,,,,?,,188,,787 kj(188 kcal),,"8,7",,"5,1",,"22,8",,"22,1",,"4,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
6,Crème glacée vanille,3760092340299,,,,,,,['France'],[],,,[],,,,,,,,,,?,,188,,787 kj(188 kcal),,"8,7",,"5,1",,"22,8",,"22,1",,"4,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
7,Crème glacée amarena,3760092340558,,,,,,,['France'],[],,,[],,,,,,,,,,?,,220,,920 kj(220 kcal),,"9,8",,"6,1",,"29,9",,"26,4",,"3,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
8,Crème glacée,3760092341197,,,,,,,['France'],[],,,[],,,,,,,,,,?,,170,,711 kj(170 kcal),,"7,3",,"4,6",,"21,7",,"20,1",,"4,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
9,Crème glacée saveur café - Pedone,3760092341791,B,,['Surgele'],['Pedone'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot']",,['France'],[],,,[],,6.9 g,en quantité modérée,3 g,en quantité modérée,15 g,en quantité élevée,1 g,en quantité modérée,?,,160,-27%,669 kj(160 kcal),-27%,"6,9",-37%,3,-56%,20,-24%,15,-33%,"4,4",+32%,1,+562%,"0,4",+562%,8,-37%,C,-37%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,
10,Sorbet Pêche de Vigne - Pedone,3760092341807,C,,,['Pedone'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la pêche']",,['France'],"['Pêche 33 %', ' pêche de vigne 28 %', 'eau', ' sucre', ' sirop de glucose', ' arôme naturel', 'acidifiant : acide citrique', '  antioxydant : acide ascorbique', "" ' gélifiant: pectine "", 'origine végétale']","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E440 - Pectines']",,[],4,0.06 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,0.0016 g,en faible quantité,?,,144,+16%,602 kj(144 kcal),+17%,"0,06",-62%,0,-100%,28,-6%,17,-32%,"0,4",+10%,"0,002",-87%,"0,001",-87%,3,-35%,C,-35%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,
11,Sorbet Framboise - Pedone - 550g,3760092341814,C,550 g,"['Carton', 'Surgele']",['Pedone'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la framboise']",,['France'],"['Framboise 55%', 'eau', 'sucre', 'sirop de glucose']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.3 g,en faible quantité,0 g,en faible quantité,24.5 g,en quantité élevée,,,?,,126,+8%,527 kj(126 kcal),+7%,"0,3",+31%,0,-100%,"29,9",+10%,"24,5",+4%,"0,7",+25%,,,,,,,,,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,
12,Crème Glacée Vanille de Madagascar,3760092341845,,,,,,,['France'],[],,,[],,,,,,,,,,?,,188,,787 kj(188 kcal),,"8,7",,"5,1",,"22,8",,"22,1",,"4,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
13,Noisette du Piémont Crème glacée,3760092342507,,,,,,,['France'],[],,,[],,,,,,,,,,?,,247,,1033 kj(247 kcal),,"15,1",,"3,8",,"22,9",,"16,1",,"4,8",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,
14,Sorbet mangue - Pedone,3760092342637,C,,,['Pedone'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la mangue']",,['France'],"['Mangue 66%', 'sucre', 'eay', 'dextrose', 'jus de citron', ' Peut contenirde traces de lait', 'fruits à coque', 'oeuf', ' gluten et soja']",,,[],4,0.2 g,en faible quantité,0.1 g,en faible quantité,24.8 g,en quantité élevée,0 g,en faible quantité,?,,127,+3%,531 kj(127 kcal),+3%,"0,2",-22%,"0,1",+15%,"30,8",+5%,"24,8",-3%,"0,5",+28%,0,-100%,0,-100%,4,-26%,C,-26%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,
15,Instant Nudeln,3760092450035,,,,,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,"82,9",,0,,"1,3",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
16,Galettes De Riz 1 / 4 500g - Bánh Tráng Gao,3760092450257,,,,['Bánh Tráng Gao'],,,['France'],"['riz ', '55%', 'tapioca ', '31%', 'eau', 'sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,337,,1410 kj(337 kcal),,0,,0,,"82,9",,0,,"1,3",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
17,Chainkwo Nouille Chinoise Tallarine 400G - 400g,3760092450448,,400 g,,,,,['France'],[],,,[],,,,,,,,,,?,,361,,1510 kj(361 kcal),,"1,2",,"0,36",,"74,8",,"2,1",,"11,1",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,
18,Champignons noirs séchés - Sans Marque - 50g,3760092450479,,50 g,"['Plastique', 'Sachet']","['Sans Marque', 'Eridan SAS']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Champignons et produits dérivés', 'Aliments à base de plantes séchées', 'Champignons séchés']",,['France'],['Champignons noirs séchés'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,755,-30%,?,,755 kj(180 kcal),-35%,0,-100%,0,-100%,0,-100%,0,-100%,"6,2",-73%,"0,1",+12%,"0,04",+12%,-6,,A,,,,,,,,,['France'],['Chine'],"['EMB 26193', 'Montbrun-les-Bains (Drôme, France)']","['Carrefour', 'Carrefour market']",,,
19,Nouilles instantanées saveur porc (Lot de 5 sachets) - Wai Wai - 300g (5x 60g),3760092451186,,300 g (5 x 60 g),['Sachet plastique'],['Wai Wai'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,['France'],"['NOUILLES ', '48g', ' : Farine de blé tendre ', '64%', 'huile de palme', 'huile de sésame', 'sel', 'antiagglomérant ', 'E500', 'stabilisant ', 'E452', '\rASSAISONNEMENT HUILE ', '2,5g', ' : huile de palme', 'ail\rASSAISONNEMENT EN POUDRE ', '9,5g', ': Sucre', 'sel', 'exhausteur de goût ', 'E821', ""correcteur d'acidité "", 'E330', 'arôme de citron vert', 'piment en poudre', 'oignon', 'arôme artificiel de viande', 'sauce soja en poudre ', 'soja', 'blé', 'sel', 'levure', 'antiagglomérant ', 'E551', 'arôme artificiel de beurre de cacahuète']","['E500 - Carbonates de sodium', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E551 - Dioxyde de silicium']","['Gluten', 'Graines de sésame', 'Soja']",['Huile de palme'],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Thai Preserved Food', 'Thaïlande']",,,,Nouilles instantanées,http://www.waiwai-thailand.com/web/eng/instants4.html,['Huile de palme']
20,5X60G Nouille Saveur Piment Wai Wai,3760092451612,,,,,,,['France'],[],,,[],,,,,,,,,,?,,466,,1950 kj(466 kcal),,"20,2",,"9,1",,"51,2",,"7,7",,"8,1",,"7,6",,"3,04",,,,,,,,,,,,,,,,,,,
21,5X60G Nouille Saveur Citron Wai Wai,3760092451629,,,,['Wai wai'],,,['France'],[],,,[],,,,,,,,,,?,,536,,2243 kj(536 kcal),,"32,6",,"14,6",,"51,1",,"4,5",,"7,8",,"5,4",,"2,16",,,,,,,,,,,,,,,,,,,
22,Riz jasmin,3760092451957,,,,,,,['France'],[],,,[],,,,,,,,,,?,,352,,1473 kj(352 kcal),,0,,0,,"80,2",,0,,"6,9",,0,,0,,,,,,,,,,,,,,,,,,,
23,Curry Flavor Noodles (Lot de 3) - Soveme - 195g (3x 65g),3760092452893,,195 g (3 x 65 g),['Sachet plastique'],['Soveme'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['Halal'],['France'],"['Nouilles', '60,5g', ' : farine de blé tendre ', '78%', 'huile de palme', 'eau', 'sel', 'antioxygène ', 'E306', ' Assaisonnement', '4,5g', ' : sel', 'sucre', 'farine de blé', 'poudre de curry ', '10%', 'exhausteur de goût', 'E621', 'ail en poudre', 'colorant', 'E100', 'huile de palme', 'antiagglomérant', 'E551', 'exhausteur de goût', 'E627', 'E631', 'ciboulette']","['E306 - Extrait riche en tocophérols', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E100 - Curcumine', 'E551 - Dioxyde de silicium', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']",['Gluten'],['Huile de palme'],4,,,,,,,,,1920,+59%,?,,1920 kj(459 kcal),+52%,8,-31%,7,+33%,82,+102%,4,+65%,14,+120%,"4,239",+62%,"1,696",+62%,,,,,,,,,,,,"['Hangzhou Green Home Food Co. - LTD - Chao Yang Village - Shu Shan Street - Xiaoshan', 'Hangzhou', 'Zhejiang', 'Chine']",,,['Dia'],Nouilles instantanées saveur curry,http://www.greenhomefood.com/products.html,['Huile de palme']
24,Midai Sake De Cuisine 300Ml,3760092453623,,,,,,,['France'],[],,,[],,,,,,,,,,?,,23,,96 kj(23 kcal),,"0,5",,0,,"5,8",,"3,2",,"0,5",,2,,"0,8",,,,,,,,,,,,,,,,,,,
25,Midai Vinaigre Pour Sushi 300Ml Midai Vinaigre Pour Sushi 300Ml - Hideko,3760092453630,,300ml,,['Hideko'],,,['France'],"['vinaigre de riz 41', '8%', 'sucre', 'eau', 'sel']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,203,,849 kj(203 kcal),,"0,7",,0,,"48,3",,"48,3",,"0,6",,10,,4,,,,,,,,,,,,,,,,,,,
26,Chicken Flavor Noodles (Lot de 3) - Soveme - 195g (3x 65g),3760092456099,,195 g (3 x 65 g),['Sachet plastique'],['Soveme'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['Halal'],['France'],"['Nouilles', '60,5 g} : farine de blé tendre', '78%', 'huile de palme', 'eau', 'sel', 'antioxygène ', 'E306', '\rAssaisonnement', '4,5%', ' : sel', 'sucre', 'arôme de poulet', '16%', 'exhausteur de goût', 'E621', 'farine de blé', 'curcuma', 'huile de palme', 'antiagglomérant', 'E551', 'exhausteur de goût ', 'E627,E631', 'ciboulette']","['E306 - Extrait riche en tocophérols', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E551 - Dioxyde de silicium', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']",['Gluten'],['Huile de palme'],4,,,,,,,,,1965,+62%,?,,1965 kj(470 kcal),+56%,10,-14%,6,+14%,82,+102%,7,+189%,13,+105%,"3,861",+48%,"1,544",+48%,,,,,,,,,,,,"['Hangzhou Green Home Food Co. - LTD - Chao Yang Village - Shu Shan Street - Xiaoshan', 'Hangzhou', 'Zhejiang', 'Chine']",,,['Dia'],Nouilles instantanées saveur poulet,http://www.greenhomefood.com/products.html,['Huile de palme']
27,Galette de riz - Barca Food - 500g,3760092456488,,500 g,['Plastique'],['Barca Food'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
28,Galette de riz - Banh Trang Gao Viet Nam,3760092457232,,,,['Banh Trang Gao Viet Nam'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de riz pour rouleau de printemps']",,['France'],"['riz ', '55%', 'tapioca ', '313E Poids net: 400g Numéro de lot : 2272561']",,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.9 g,en quantité élevée,?,,337,+3%,1410 kj(337 kcal),+3%,0,-100%,0,-100%,"82,9",+10%,0,-100%,"0,6",-67%,"1,9",+106%,"0,76",+106%,12,+85%,D,+85%,,,,,,,,,,,,,,
