,name,bar_code,brand,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,categories,labels,markets,palm_ingredients,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,link,brand_owner,ingredients_origins
0,Vinto ginger beer,5010438105944,['Vinto'],['France'],"['Eau Pétillante', 'Sucre', '/ Acide Citrique', 'stabilisants ', 'Ester Glycerique de Résine de Bois', ""Gomme d'Acacia"", 'Parfum Vimto ', 'dont des extraits naturels de fruits', ""d'herbes et d épices"", 'Conservateurs ', 'Sorbate de Potassium', 'Sodium Benzoate', 'Extrait de Gingembre Africain', 'Colorant ', 'Caramel E150d']","['E330 - Acide citrique', 'E445 - Esters glycériques de résine de bois', ""E414 - Gomme d'acacia"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', ""E150d - Caramel au sulfite d'ammonium""]",[],4,?,53,222 kj(53 kcal),0,0,"13,5","13,5",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Vimto,5010438130144,,['France'],[],,[],,?,49,205 kj(49 kcal),0,0,"12,5","12,5",0,"4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Country Crisp Sirop d'érable & noix de pécan (+20% gratuit) - Jordans - 600g,5010477337535,['Jordans'],['France'],"['Céréales Complètes ', '59%', ' ', ""Flocons d'Avoine"", ""Flocons d'Orge"", ""Farine d'Avoine"", 'Sucre', 'Huiles Végétales ', 'Huile de Colza', 'Huile de Palme*', 'Farine de Riz', 'Éclats de Noix de Pécan ', '5%', ""Sirop d'Érable "", '5%', 'Arôme Naturel', ""\r*Contient de l'huile de palme certifiée durable"", '\r INFORMATIONS SUR LES ALLERGÈNES\rCONTIENT\rLes allergènes', 'y compris les céréales contenant du gluten', 'sont indiqués en gras', '\rPEUT CONTENIR\rDu Blé', 'du Seigle', 'des Noix']",,['Huile de palme'],4,?,463,1937 kj(463 kcal),"18,3","3,4","63,7","23,3","7,9","0,03","0,012",D,Sirop d'érable & noix de pécan,600 g,"['Carton', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales complètes']","['Sans colorants', 'Sans conservateurs']",['Leclerc'],['Huile de palme'],"['Gluten', 'Fruits à coque', 'Avoine']",18.3 g,en quantité modérée,3.4 g,en quantité modérée,23.3 g,en quantité élevée,0.03 g,en faible quantité,,+16%,+16%,+110%,+55%,-4%,+40%,-15%,-92%,-92%,8,+48%,C,+48%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,
3,Jordans Crunchy Raisins And Almond 850G,5010477345998,['Jordans'],['France'],[],,[],,?,412,1724 kj(412 kcal),"12,6","2,3","61,6","24,4","9,9","0,03","0,012",,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Country crisp véritables fraises - Jordans,5010477347534,['Jordans'],['France'],"['Céréales complètes ', '65%', ' ', ""Flocons d'Avoine"", ""Flocons d'Orge"", ""Farine d'Avoine"", 'Sucre', 'Huiles Végétales ', 'Huile de Colza', 'Huile de Palme**', 'Farine de Riz', 'Noix de Coco Séchée', 'Morceaux de Fraises Lyophilisées ', '2%', 'Arôme Naturel', ' Informations sur les allergènes : les allergènes', 'y compris les céréales contenant du gluten', 'sont indiqués en gras', ' Peut contenir également: du Blé', 'du Seigle', 'des Noix']",,['Huile de palme'],4,?,444,1858 kj(444 kcal),"14,8","4,7","66,4","20,9","7,9","0,03","0,012",D,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['Sans arômes artificiels', 'Huile de palme durable']",,['Huile de palme'],"['Gluten', 'Avoine']",14.8 g,en quantité modérée,4.7 g,en quantité modérée,20.9 g,en quantité élevée,0.03 g,en faible quantité,,+11%,+11%,+70%,+114%,-0%,+25%,-15%,-92%,-92%,13,+141%,D,+141%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,
5,Country Crisp fraises - Jordans,5010477347565,['Jordans'],['France'],[],,[],,?,444,1858 kj(444 kcal),"14,8","4,7","66,4","20,9","7,9","0,03","0,012",,,,,,['Sans arômes artificiels'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jordans Spécial  Muesli,5010477348578,['Jordans'],['France'],"['Céréales complètes ', '69%', ' ', ""Flocons d'Avoine"", 'Flocons de Blé', ""Flocons d'Orge"", 'Fruits Secs & Noix ', '30%', ' ', 'Raisins Secs', 'Dés de Papaye Séchée ', 'Papaye', 'Sucre de Canne', 'Noix de Coco Grillée', 'Rondelles de Banane ', 'Banane', 'Huile de Noix de Coco', 'Sucre', 'Arôme Naturel', 'Amandes Effilées', 'Noix du Brésil Effilées', 'Tranches de Pomme Séchée', 'Morceaux de Noisettes Grillées', 'Graines de Tournesol', '\rINFORMATIONS SUR LES ALLERGÈNES\rCONTIENT\rLes allergènes', 'y compris les céréales contenant du gluten', 'sont indiqués en gras', '\rPEUT CONTENIR\rDu Seigle', 'des Noix']",,[],4,?,375,1569 kj(375 kcal),"9,2","2,6","59,3","15,4","9,4","0,03","0,012",,,,,,,['France'],,"['Gluten', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Country Crisp : 3 Baies, Cassis, Cranberries Et Myrtilles - Jordans",5010477350916,['Jordans'],['France'],"['Céréales Complètes ', '64%', ' ', ""Flocons d'Avoine"", ""Flocons d'Orge"", ""Farine d'Avoine"", 'Sucre', 'Huiles Végétales ', 'Huile de Colza', 'Huile de Palme*', 'Farine de Riz', 'Noix de Coco Séchée', 'Baies Lyophilisées ', '2,5%', ' ', 'Cassis', 'Myrtilles', 'Cranberries', 'Arôme Naturel', ""\r*Contient de l'huile de palme certifiée durable"", '\r INFORMATIONS SUR LES ALLERGÈNES\rCONTIENT\rLes allergènes', 'y compris les céréales contenant du gluten', 'sont indiqués en gras', '\rPEUT CONTENIR\rDu Blé', 'du Seigle', 'des Noix']",,['Huile de palme'],4,?,437,1828 kj(437 kcal),"13,2","4,4","68,4",21,8,"0,03","0,012",,,,,,,['France'],['Huile de palme'],"['Gluten', 'Avoine']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Crispy oat clusters maple and pecan - Jordans,5010477352859,['Jordans'],"['Australie', 'France']","['Whole Grain Cereals ', '53%', ' ', '0at Flakes ', '45%', 'Barley Flakes', 'Oat Flour', 'Sugar', 'Vegetable Oils', 'Rice Flour', 'Pecan Nuts ', '5%', 'Maple Syrup ', '5%', 'Natural Flavouring']",,"[""Pourrait contenir de l'huile de palme""]",4,?,463,1937 kj(463 kcal),"18,3","3,4","63,7","23,3","7,9","0,266","0,106",C,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales aux fruits à coques', 'Pépites de céréales croustillantes', 'Pépites de céréales aux fruits à coques']",,['Woolworths'],,['Fruits à coque'],18.3 g,en quantité modérée,3.4 g,en quantité modérée,23.3 g,en quantité élevée,0.266 g,en faible quantité,,+1%,+1%,+1%,-38%,+3%,+13%,-1%,-28%,-28%,14,+33%,D,+33%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,
9,Country Crisp apple & cinnamon - Jordans - 500g,5010477353771,['Jordans'],['France'],"['British Wholegrain Cereals ', '58%', ' ', 'OAT Flakes', 'BARLEY Flakes', 'OAT Flour', 'Sugar', 'Dried Apple ', '12%', ' ', 'Sliced Dried Apple ', 'Apple', 'Concentrated Apple Juice', 'Cinnamon', 'Sliced Dried Apple', 'Vegetable Oils ', 'Rapeseed Oil', 'Palm Oil', 'Rice Flour,Desiccated Coconut', 'Natural Flavouring This product contains certified sustainable palm oil', ' ALLERGY ADVICE: For allergens', 'including cereals containing gluten', 'see ingredients in BOLD', ' MAY ALSO CONTAIN: Wheat ', 'Gluten', 'Rye ', 'Gluten', 'Nuts']",,['Huile de palme'],4,?,432,1807 kj(432 kcal),"13,7","4,2","66,1",25,"7,7","0,15","0,06",B,,500 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,,,"['Gluten', 'Avoine']",13.7 g,en quantité modérée,4.2 g,en quantité modérée,25 g,en quantité élevée,0.15 g,en faible quantité,,+4%,+4%,+5%,+27%,+9%,+48%,-22%,-14%,-14%,14,+185%,D,+185%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,
