,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,additives,allergens,labels,packaging,manufacturing,nova_score,markets,link,palm_ingredients,ingredients_origins,generic_name,traceability_code,brand_owner
0,Pappadum Rote Chili 200 g Lijjat Indien -,8901441013012,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains spéciaux', 'Pappadums']",['France'],[],[],0.7 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,3.5 g,en quantité élevée,?,,328,-7%,1372 kj(328 kcal),-7%,"0,7",-90%,"0,5",-45%,"59,02",+29%,0,-100%,"20,9",+16%,"3,5",+14%,"1,4",+14%,14,+22%,D,+22%,,,,,,,,,,,,,,,,,,,,,,,
1,Flocon d'avoine pour poridg - Quaker,8901491103787,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",['France'],[],[],9.5 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,9.5 g,en quantité élevée,?,,407,+10%,1703 kj(407 kcal),+10%,"9,5",+34%,2,+60%,"68,5",+15%,0,-100%,"11,8",-4%,"9,5",+30845%,"3,8",+30845%,16,,D,,B,['Quaker'],82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,,,,,,,,,
2,Chocos Duet,8901499008138,,['France'],[],[],,,,,,,,,?,,115,,481 kj(115 kcal),,"0,8",,"0,3",,"25,2",,9,,"2,5",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oats Mango Strawberry,8901499009494,,['France'],[],[],,,,,,,,,?,,59,,247 kj(59 kcal),,"6,6",,0,,80,,32,,"7,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Heinz ""Tomato Ketchup"" 900GM - 900gms",8901542013157,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup', 'Ketchup de tomate']","['France', 'Inde']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Heinz'],,,,,,,,900 gms,,,,,,,,,,,,,
5,Ashoka Mixed Pickle 500G,8901552000680,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,222,,929 kj(222 kcal),,20,,"5,5",,"0,5",,0,,"2,1",,"8,8",,"3,52",,,,,,,['Ashoka'],,,,,,,,,,,,,,,,,,,,,
6,Fresh turmeric pickle,8901552000727,,['France'],[],[],,,,,,,,,?,,815,,3410 kj(815 kcal),,"16,4",,"1,5",,"10,6",,"0,5",,"2,1",,"9,1",,"3,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ashoka Garlic Pickle 500G,8901552000741,,['France'],"['Al ', '67%', 'Huile de tournesol', 'sel', 'Poudre de piment', 'Moutarde', 'Acide acétique', 'Fenugrec', 'Poudre de safran des Indes', 'Poudre de coriandre', 'Poudre de cumin', 'Ase fétide']",[],,,,,,,,,?,,254,,1063 kj(254 kcal),,16,,"1,5",,23,,"0,5",,"5,6",,"9,1",,"3,64",,,,,,,['Ashoka'],,,,,,,,,['E260 - Acide acétique'],['Moutarde'],,,,,,,,,,,
8,Ashoka Brinjal Pickle 575G,8901552000833,,['France'],"['Sucre', 'Aubergine 39%', 'Vinaigre de canne à sucre', 'Graines De Moutarde', 'Sel', 'Piment En Poudre', 'Huile De Tournesol', 'Coriandre', 'Fenugrec', 'Poudre de cumin', 'Poudre de curcuma', 'Ase fétide', ' Acide: acide citrique']",[],,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,1,,1,,"0,4",,,,,,,['ASHOKA'],,,,,,,,,['E330 - Acide citrique'],['Moutarde'],['Bio'],,,,,,,,,,
9,Lemon Pickle,8901552002592,,['France'],[],[],,,,,,,,,?,,87,,364 kj(87 kcal),,"4,4",,"0,9",,"10,2",,0,,2,,"5,6",,"2,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
