,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,brand,markets,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,traceability_code,packaging,brand_owner,additives,generic_name,manufacturing,link,palm_ingredients,ingredients_origins
0,2600901045728,2600901045728,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sauce à l aneth - Thiriet - 200g,3292590889302,['France'],[],[],?,147,13,"5,2","1,3",200 g,['Thiriet'],['Thiriet'],615 kj(147 kcal),8,"1,9","0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tomme de Savoie IGP,2206087012792,['France'],"['lait de vache cru et entier', 'sel', 'ferments lactiques', 'présure', 'caséine', ' 30% MG dans le produit fini']",['Non végétalien'],?,?,?,?,?,,,['Carrefour'],,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'en:tomme-cheese-from-mountain-or-savoy', 'Tomme de Savoie IGP']",['Lait'],4,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gaufres de Liege au Sucre - Lotus,5410126022032,['France'],[],[],?,442,22,"55,4",5,,['Lotus'],,1849 kj(442 kcal),"10,5","29,2","0,6","0,24",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres liégeoises']",,,,-3%,-7%,+4%,-16%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,22 g,en quantité élevée,10.5 g,en quantité élevée,29.2 g,en quantité élevée,0.6 g,en quantité modérée,-3%,-13%,+6%,-21%,-21%,23,0%,E,0%,,,,,,,,,,
4,Filet de Poulet - La Nouvelle Agriculture,0213400021456,['France'],[],[],?,104,"1,3",0,23,,['La Nouvelle Agriculture'],,435 kj(104 kcal),"0,4",0,"0,11","0,044",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,-21%,-55%,-100%,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,-20%,-46%,-100%,-85%,-85%,-4,,A,,,,,,,,,,,
5,Amandino,53253064,['France'],[],[],?,673,"59,3","4,5","24,3",,,,2816 kj(673 kcal),5,4,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,
6,Coppa de bœuf fine tranche,2296565026502,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 67.447.004 CE', 'Schiltigheim (Bas-Rhin, France)']",,,,,,,,
7,Jambon cuit supérieur,0200111024807,['France'],[],[],?,124,"5,1","0,8",19,,,,519 kj(124 kcal),"1,7","0,4","2,1","0,84",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,,-6%,+6%,+20%,-10%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,5.1 g,en quantité modérée,1.7 g,en quantité modérée,0.4 g,en faible quantité,2.1 g,en quantité élevée,-5%,-8%,-33%,+12%,+12%,11,+56%,D,+56%,['Qualité supérieure'],,,,,,,,,
8,Jean Brunet,3269617104618,['France'],[],[],?,?,?,?,?,,['Jean Brunet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'Sans colorants']",,,,,,,,,
9,HERBES DE PROVENCE 500 g,3417960039259,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Brique affinée,3250392283735,['France'],[],[],?,351,31,1,17,,,,1469 kj(351 kcal),"22,5","0,4","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Setas al ajillo,8422107040307,['France'],[],[],?,233,20,6,"6,4",,,,975 kj(233 kcal),"2,7","0,9","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Rillettes paysannes à la bière du Nord - Les Foies Gras de Saulzoir,3760122674097,['France'],[],[],?,?,?,?,?,,['Les Foies Gras de Saulzoir'],,,,,,,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,,,,,,"['Bocal', 'Verre']",,,,,,,
13,Poitrine fumee,2643374038835,['France'],[],[],?,324,"28,1","0,6","16,8",,,,1356 kj(324 kcal),"10,5","0,6","3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Chicorée café - Leader Price - 250g,3263850104206,['France'],[],[],?,?,?,?,?,250 g,['Leader Price'],['Leader Price'],,,,,,E,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons instantanées', 'Chicorée soluble']",,,,,,,,78.8%,9.8%,6.8%,3.1%,1.4%,0.0%,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sliced bread wholemeal,2200001206441,['France'],[],[],?,235,"2,95",44,"8,1",,,,983 kj(235 kcal),"1,34",1,"0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
