,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,markets,packaging,additives,allergens,ingredients_origins,manufacturing,palm_ingredients,generic_name,brand_owner,link,producer_info,origin_detail
0,Brioche des rois,3173310022820,['Sans additifs'],['France'],[],[],?,363,1519 kj(363 kcal),"16,5","11,9","50,4","15,1",0,"0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Café Goût Corsé CAFES RUTHENA, paquet de",3415171010203,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Darjeeling F.O.P. - Comptoir français du Thé,3700476830497,['IGP'],['France'],[],[],?,?,,?,,?,,?,,,['Comptoir français du Thé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ananas,3278730003074,,['France'],[],[],?,21,88 kj(21 kcal),"0,8","0,8","5,3","5,3","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Edam jeune,0208853020798,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Confiture de framboise - Le Crétin des Alpes,3770008919303,,['France'],"['Framboise', 'sucre', ' Préparée avec 55 gr de fruits pour 100 gr']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,216,904 kj(216 kcal),"0,5",0,"51,3","50,7","0,7","0,01","0,004",['Le Crétin des Alpes'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",3,0.5 g,en faible quantité,0 g,en faible quantité,50.7 g,en quantité élevée,0.01 g,en faible quantité,,-4%,-4%,+85%,-100%,-4%,-1%,+4%,-53%,-53%,11,+24%,D,+24%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,,,,
6,Ti Zan Zen Minceur,2504881001487,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pain d’épices pur miel d’ici - La miellerie comté - 225g,3770008105232,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,['La miellerie comté'],B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,,,,,,,,,,,,,,,,,,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,225g,,,,,,,,,,,,,
8,Nu smoothie,30294066,,['France'],[],[],?,58,243 kj(58 kcal),"0,3",0,13,13,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sprite,4890008110308,,['France'],[],[],?,44,184 kj(44 kcal),0,0,"10,8","10,8",0,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
