,name,bar_code,eco_score,categories,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,traceability_code,quantity,additives,labels,allergens,brand_owner,packaging,markets,generic_name,manufacturing,link,palm_ingredients
0,Saint Chinian,3554823115610,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Saint-Chinian']",['France'],['France'],[],[],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nouilles ramen chuka zanmai shoyu,4902881053730,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0206364018433,0206364018433,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Boite à musique avec biscuit,2081650160168,,,,['France'],[],[],?,,526,,"29,5",,"58,4",,"5,6",,,,,,,,,2201 kj(526 kcal),"18,4","16,3","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0206076019421,0206076019421,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pickles concombre aneth,3770007341174,,,,['France'],[],[],?,,41,,"0,6",,8,,"0,7",,,,,,,,,172 kj(41 kcal),"0,1",8,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Saucisse Toulouse Fabrication Maison,0203704042974,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Arrabbiata - Sacla,8001060023994,,,,['France'],[],[],?,,64,,"3,1",,"6,6",,"1,2",,,,,,,,,268 kj(64 kcal),"0,4","5,5","1,5","0,6",['Sacla'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Duo de raisins moelleux,2600292012866,,,,['France'],[],[],?,,256,,"0,7",,"58,4",,"2,2",,,,,,,,,1071 kj(256 kcal),"0,2",56,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Potato fry fried chicken,4901984088267,,,,['France'],[],[],?,,62,,"0,7",,"4,1",,0,,,,,,,,,259 kj(62 kcal),"0,35","0,23","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Green tea mochi,4711931946553,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,['France'],[],[],?,,115,+858%,0,-100%,"9,2",+311%,"0,5",+138%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,481 kj(115 kcal),0,"9,2",15,6,,+902%,-100%,+660%,+102640%,+102640%,27,+543%,E,+543%,,,,,,,,,,,,,,,,,,,,,
11,Vodka Pur Grain,3014409005242,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bonbons au miel de Savoie - Les délices de Mélissa,7111604468714,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",,['France'],"['sucre', 'sirop de glucose', 'miel de savoie 15%', 'extrait naturel de propolis de Savoie 0,6%']",['Non végétalien'],?,,402,+5%,"0,05",-82%,"98,9",+5%,"0,06",-86%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,1682 kj(402 kcal),0,81,"0,015","0,006",['Les délices de Mélissa'],+4%,-100%,+17%,-25%,-25%,15,+8%,D,+8%,4,0.05 g,en faible quantité,0 g,en faible quantité,81 g,en quantité élevée,0.015 g,en faible quantité,,,,,,,,,,,,
13,Sirop de fruits de passion,3180297448406,,,,['France'],[],[],?,,290,,0,,72,,0,,,,,,,,,1213 kj(290 kcal),0,72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Andouillettes,3410280128344,,,,['France'],[],[],?,,253,,"19,9",,"1,4",,"17,1",,,,,,,,,1059 kj(253 kcal),"8,3","0,6","2,01","0,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
