,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,markets,ingredients_origins,traceability_code,packaging,additives,allergens,nova_score,generic_name,manufacturing,brand_owner,link,palm_ingredients,producer_info
0,Volvic thé vert menthe,2057634477638,['France'],[],[],?,21,88 kj(21 kcal),0,0,"4,9","4,9",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Fourme d'Ambert AOP,2488719013326,['France'],[],[],?,343,1435 kj(343 kcal),29,20,"0,5","0,5",20,"2,6","1,04",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",['AOP'],29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,2.6 g,en quantité élevée,,+0%,+0%,+2%,+1%,-49%,+44%,-1%,+17%,+17%,19,+6%,E,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
2,THÉ VERT - 125g,5053826000636,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,,,,
3,Salade Paysanne,5450005068300,['France'],[],[],?,139,582 kj(139 kcal),"7,5",3,"7,3","1,5","9,9","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Coquilles à la Châtaigne - Marron Châtaigne,3760072010433,['France'],[],[],?,305,1276 kj(305 kcal),"1,3","0,2",71,"5,6","10,1",0,0,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Marron Châtaigne'],,,,,,,,,,,,,
5,Volandry,2860119019427,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Volandry', 'Marque Repère']",['Leclerc'],,,,,,,,,,,,
6,"2010 Chateau De Montfaucon Lirac ""Baron Louis""",3760007340024,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français']",,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,['France'],,,,,,,,,,,
7,Bananes république dominicaine,2250106001168,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']","['Bio', 'Bio européen', 'Commerce équitable', 'Max Havelaar', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,,
8,Pastilles adoucissantes au miel de thym et à la réglisse - Rayon d'Or - 40g,3301510130025,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 g,"[""Rayon d'Or""]",,,,,,,,,,,,,
9,Ravioli aux truffes de Toscane,2766803760036,['France'],[],[],?,253,1059 kj(253 kcal),"7,3","2,5","37,1",5,"8,4","0,7","0,28",,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Concombres Finement Tranchés,2253020014894,['France'],[],[],?,85,356 kj(85 kcal),6,"1,3","2,4","2,2","1,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Le torchon au 4 tranche +1 tranche,0211719015098,['France'],[],[],?,137,573 kj(137 kcal),"6,2","2,8","0,7","0,7","19,8","1,91","0,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sandwich poulet mayo,2630317022969,['France'],[],[],?,?,,?,,?,,?,,,C,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']",,,,,,,,,,,,,,,,,,,,,,,,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,,,,,,,,,,,,,,
13,Terrine de lapin aux noisettes,0211369018173,['France'],[],[],?,321,1343 kj(321 kcal),"27,9","10,2","1,8","1,4","15,7","1,52","0,608",D,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de lapin']",,27.9 g,en quantité élevée,10.2 g,en quantité élevée,1.4 g,en faible quantité,1.52 g,en quantité élevée,,+17%,+17%,+23%,+21%,+10%,+91%,+2%,+1%,+1%,20,+18%,E,+18%,77.1%,15.8%,3.3%,2.4%,1.1%,0.3%,38,,,,,,,,,,,,,,,
14,Sauce Marocaine - Gyma,3498430009606,['France'],[],[],?,263,1100 kj(263 kcal),21,"1,7",17,13,"0,6","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gyma'],,,,,,,,,,,,,
15,Beurre frais,3770008510043,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 76.650.004 CE', ""Saint-Sauveur-d'Émalleville (Seine-Maritime, France)""]",,,,,,,,,,
16,Filet de poulet,0211120024276,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,"['FR 61.096.020 CE', ""Chapelle-d'Andaine (Orne, France)""]",,,,,,,,,,
17,Yaourt framboise-vanille,20085124,['France'],[],[],?,112,469 kj(112 kcal),4,"2,7","14,6","14,3","3,5","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
