,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,eco_score,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,additives,nova_score,manufacturing,brand_owner,allergens,ingredients_origins,generic_name,link,palm_ingredients
0,Ananas séché bio du Cameroun,3770012237073,"['Bio', 'Bio européen', 'en:CM-BIO-154', 'Sans sucre ajouté']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Poitrine fumée au sel sec,2350076001240,,['France'],[],[],?,356,32,"0,5",17,1490 kj(356 kcal),11,"0,5","3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pavés Savoyard,0203995034184,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bananes bio,0201112013975,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Palette à la diable,2245904041720,,['France'],[],[],?,159,10,"3,2",14,665 kj(159 kcal),"2,5",1,"2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tartinade de courgette et basilic,3760307260046,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cassoulet - 840g,3288961017443,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],?,750,"9,3","9,9","12,7",3138 kj(750 kcal),"3,4","1,3",1,"0,4",840 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Beaufort AOP au lait cru,0210849034634,,['France'],[],[],?,415,34,"1,3",26,1736 kj(415 kcal),20,"0,5",1,"0,4",,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Créme glacée chocolat - Pomona - 1468g,3061432100642,,['France'],[],[],?,228,"9,1","31,4","3,8",954 kj(228 kcal),"4,5","24,1","0,14","0,056",1468 g,,['Pomona'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bionova Bruine Bonen,8712423020467,,['France'],[],[],?,96,"0,7",15,"7,1",402 kj(96 kcal),"0,1","2,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,kebab - 800g,5902082417507,,['France'],[],[],?,148,"6,8","7,4",14,619 kj(148 kcal),2,"0,5",2,"0,8",800 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Saucisson à l'ail supérieur bio,2231797026302,"['Bio', 'Viande Française', 'Viande Porcine Française', 'Point Vert', ""Saucisson à l'ail""]",['France'],[],[],?,286,25,"8,2",15,1197 kj(286 kcal),"8,2","0,7","1,6","0,64",,,,E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]","['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",25 g,en quantité élevée,8.2 g,en quantité élevée,0.7 g,en faible quantité,1.6 g,en quantité élevée,,+5%,+4%,+12%,-4%,+645%,-2%,-6%,-24%,-24%,18,-7%,D,-7%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,,,,,,,
12,Caramel au beurre salé,0210128025919,,['France'],[],[],?,204,14,17,"2,5",854 kj(204 kcal),"9,3",16,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Magret de canard,2297552007900,,['France'],[],[],?,363,33,"0,6",16,1519 kj(363 kcal),11,"0,6","0,1","0,04",,['Film en plastique'],,D,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,33 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,0.1 g,en faible quantité,,+7%,+7%,+13%,+10%,-52%,-10%,-11%,-94%,-94%,14,-24%,D,-24%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,
14,Creme de foie de porc - Carrefour,2227318013913,['Fabriqué en France'],['France'],[],[],?,292,27,"2,7","9,3",1222 kj(292 kcal),12,"2,5","1,4","0,56",,,['Carrefour'],,,"['EMB 29004D', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,
15,Soupe à l'oignon,3760221980068,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Zwarte muizen,5425002289683,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Poitrine fumée à l'ancienne,2499597032088,,['France'],[],[],?,312,27,1,"16,5",1305 kj(312 kcal),"8,5",1,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Comte,0242910030443,,['France'],[],[],?,?,?,?,?,,,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']","['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
19,Confiture fermiere,3515580000809,,['France'],[],[],?,250,"0,5",60,"0,5",1046 kj(250 kcal),"0,5",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Dates,6191593200114,,['France'],[],[],?,?,?,?,?,,,,,,,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes']",,,,,,,,,,,,,,,,,,,,,,,,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,
21,Oignon jaune,3180500301047,,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons', 'Oignons jaunes']","['EMB 82013D', 'Beaumont-de-Lomagne (Tarn-et-Garonne, France)']",,,,,,,,,,,,,,,,,,,,,,,63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,,,,,,,,,
22,Véritable jambon persillé de Bourgogne,0211581021388,,['France'],[],[],?,157,"7,6","0,5",22,657 kj(157 kcal),"2,4","0,5","1,5","0,6",,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambon persillé', 'Jambon persillé de Bourgogne']",,7.6 g,en quantité modérée,2.4 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité modérée,,+8%,+8%,+21%,+4%,-2%,+5%,0%,-13%,-13%,4,-33%,C,-33%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,
23,Fromage du Plomb du Cantal,2485982031750,,['France'],[],[],?,385,"31,9","0,1","24,4",1611 kj(385 kcal),20,"0,1","0,9","0,36",,,,,,"['FR 15.141.001 CE', 'Neussargues-Moissac (Cantal, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Roquette - Nature bio,3257986789932,['Bio'],['France'],[],[],?,93,"0,5","1,7","2,7",389 kj(93 kcal),"0,1","0,9",,,,,['Nature bio'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Roquette']",,0.5 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,,,,+272%,+267%,+40%,+39%,-20%,+2%,+12%,,,,,,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,,,,
25,Bonbon des Vosges - La Confiserie Bressaude,3389681001054,,['France'],[],[],?,400,0,98,0,1674 kj(400 kcal),0,77,0,0,,,['La Confiserie Bressaude'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sobrassada de Mallorca,8412528027285,,['France'],[],[],?,640,67,"0,5","8,5",2678 kj(640 kcal),30,"0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Soupe,2600247010763,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,145,"4,5","6,2",1,607 kj(145 kcal),"4,3",6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sel de mer,00936651,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,New English Teas London Selection English Breakfast Teabags,5013111002028,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Bleu de laqueuille,2488710014698,,['France'],[],[],?,334,28,"0,5",20,1397 kj(334 kcal),19,"0,5","2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sirop de framboise,3760175590368,,['France'],[],[],?,?,?,?,?,,,,,,,,,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de framboise']",,,,,,,,,,,,,,,,,,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,
32,Tartimiel,3083494445554,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Frigo,67004801010961025400,,['France'],[],[],?,56,0,6,25,234 kj(56 kcal),0,0,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Beaufort,2215184036341,,['France'],[],[],?,393,"30,3","3,7","26,5",1644 kj(393 kcal),"20,3","0,1",,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",,30.3 g,en quantité élevée,20.3 g,en quantité élevée,0.1 g,en faible quantité,,,,-2%,-2%,-6%,-1%,+303%,-50%,0%,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
35,Saucisse de strasbourg,2300067002060,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,269,22,"1,6",16,1125 kj(269 kcal),"8,3","0,7","2,1","0,84",,,,D,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",,22 g,en quantité élevée,8.3 g,en quantité élevée,0.7 g,en faible quantité,2.1 g,en quantité élevée,,-2%,-2%,-9%,-10%,+12%,-38%,+27%,+8%,+8%,20,+5%,E,+5%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,,,,,,
36,Oignons fris,8429417290842,,['France'],[],[],?,61,46,0,6,255 kj(61 kcal),23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Metton - 250g,3760100720228,,['France'],[],[],?,?,?,?,?,,,,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Nacho cheese dippmix - OLW,7340005404230,,['France'],[],[],?,390,15,48,15,1632 kj(390 kcal),"7,6",22,"11,7","4,68",,,"['OLW', 'Orkla Confectionery & Snacks', 'Orkla']",,"['Epicerie', 'Sauces', 'Trempettes']",,15 g,en quantité modérée,7.6 g,en quantité élevée,22 g,en quantité élevée,11.7 g,en quantité élevée,,+113%,+116%,+34%,+342%,+307%,+256%,+363%,+773%,+773%,25,+222%,E,+222%,,,,,,,,,,,,,,,,,
39,Grissini,8007770120077,,['France'],[],[],?,380,"3,1",64,22,1590 kj(380 kcal),"0,7","1,3","0,1","0,04",,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",,3.1 g,en quantité modérée,0.7 g,en faible quantité,1.3 g,en faible quantité,0.1 g,en faible quantité,,-10%,-10%,-71%,-69%,-4%,-48%,+93%,-95%,-95%,-1,-108%,A,-108%,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,,,,,,
40,Maca Mix,7751157001480,"['Végétarien', 'Sans gluten', 'Végétalien', 'Sans additifs', 'Sans lactose', 'Sans conservateurs', 'en:The Vegan Society']",['France'],[],"['Végétalien', 'Végétarien']",?,320,0,58,12,1339 kj(320 kcal),0,31,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
