,name,bar_code,generic_name,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,packaging,manufacturing,traceability_code,ingredients_origins,link,palm_ingredients
0,Ravimbomanga en conserve de 350G - Bongou - 350g,3665902203170,Ravimbomanga (Feuille de patate douce),350 g,['Bongou'],['France'],[],[],46,11,46 kj(11 kcal),"0,6",0,0,0,"1,1","1,17","0,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cassoulet au confit de canard Bongou en conserve - 840g,3665902202722,Cassoulet au confit de canard,840 g,['Bongou'],['France'],[],[],"543,9",130,"543,9 kj(130 kcal)","8,5","3,1",11,"1,8","9,6","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Confit filet de canard en conserve de 410G - Bongou - 410g,3665902202784,Confit filet de canard,410 g,['Bongou'],['France'],[],[],"907,9",217,"907,9 kj(217 kcal)","10,5","4,8",0,0,"30,7","4,38","1,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Foie gras mi cuit HALAL semi-conserve 200G - Bongou - 200g,3665902202937,Foie gras mi cuit HALAL,200 g,['Bongou'],['France'],[],[],"2029,2",485,"2029,2 kj(485 kcal)",37,"22,9",0,0,"20,21","4,97","1,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Anamadinika en conserve 350g - Bongou - 350g,3665902202630,Anamadinika,350 g,['Bongou'],['France'],[],[],"179,9",43,"179,9 kj(43 kcal)","0,5",0,"8,4",0,"3,8","1,17","0,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Escargot en conserve de 130G - Bongou - 130g,3665902202845,Escargot,130 g,['Bongou'],['France'],[],[],"292,9",70,"292,9 kj(70 kcal)",1,"0,4",2,0,16,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Le Gourmet Herbes aromatiques - 50g,3665902202067,Herbes aromatiques,50 g,['Le Gourmet'],['France'],"['Céleri', 'Persil', 'Coriandre']","['Sans huile de palme', 'Végétalien', 'Végétarien']","175,7",42,"175,7 kj(42 kcal)","0,8","0,1","4,1","2,4","2,9",0,0,['Céleri'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Le Gourmet Ravitoto (feuille de manioc séché) - 125g,3665902202142,Ravitoto (feuille de manioc séché),125 g,['Le Gourmet'],['France'],['Feuille de manioc broyée et séchée'],[],"376,6",90,"376,6 kj(90 kcal)",1,0,0,0,7,17,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Piment Fort - Le Gourmet - 320g,3665902202005,Piment Fort,320 g,['Le Gourmet'],['France'],"['Piments sélectionnés', 'Sel Vinaigre', 'Ail Gingembre', 'EchalotteE 202E 300E 330']",[],"167,4",40,"167,4 kj(40 kcal)","0,4",0,9,5,"1,9",9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cassoulet au confit de canard Bongou en conserve - 420g,3665902201411,Cassoulet au confit de canard,420 g,['Bongou'],['France'],['Lingots blancsconfit de canardselpoivresauce appropriéesaucisse pur porc'],[],"543,9",130,"543,9 kj(130 kcal)","8,5","3,1",11,"1,8","9,6","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
