,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,traceability_code,link,ingredients_origins,producer_info,origin_detail,brand_owner
0,Muesli croustillant aux noix de pécan & au sirop d'érable - Crownfield - 600g  ℮,20245191,B,Céréales croustillantes au sirop d'érable (2%) et aux noix de pécan,600 g  ℮,"['Plastique', 'Carton', 'FSC Mixte', 'FSC C043107', 'Plastique']",['Crownfield'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['Riche en fibres', 'Fabriqué en Belgique', 'Cereales-completes']",['Lidl'],['France'],"[""50 % flocons d'avoine complète"", 'sucre de canne', 'préparation à base de riz ', 'farine de riz', 'farine de blé', 'sucre', ""extrait de malt d'orge"", 'sel', 'huile de palme', '7 % noix de pécan', '4,7 % farine de blé', 'sirop de glucose', ""2% sirop d'érable"", 'miel', 'colorant: caramel ordinaire', ' arôme naturel', 'cannelle', "" Traces éventuelles d'autres fruits à coque"", 'de graines de sésame', 'de lupins', 'de lait et de soja']",['E150a - Caramel E150a'],['Huile de palme'],"['Gluten', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,17.6 g,en quantité modérée,5.3 g,en quantité élevée,18.2 g,en quantité élevée,0.1 g,en faible quantité,?,,459,+10%,1920 kj(459 kcal),+10%,"17,6",+34%,"5,3",+60%,"62,7",+4%,"18,2",+8%,"9,3",-6%,"0,1",-43%,"0,04",-43%,9,+83%,C,+83%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,
1,Hamburguesa vegetariana - My Best Veggie - 200g,20330750,,"Vegetarisches Soja- und Weizeneiweißprodukt, vorgegart, mit Eisen und Vitamin B12",200 g,['07'],['My Best Veggie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Sandwichs', 'Substituts de viande', 'Steaks végétaux', 'Hamburgers végétariens']","['Ovo-végétarien', 'Végétarien', 'Union Végétarienne Européenne', 'en:European Vegetarian Union Ovo-vegetarian']",['Lidl'],"['France', 'Allemagne', 'Espagne']","['37% rehydriertes Sojaeiweiß', '24% rehydriertes Weizeneiweiß', 'Wasser', 'Kartoffelstärke', '5,6% rote Zwiebel', 'Hühnereieiweiß', 'Rapsöl', 'Dextrose', '1,1% Zwiebelpulver', 'Hefeextrakt', 'Farbstoff: Zuckerkulör', ' Weizenhalmfasern', 'Speisesalz', 'Aroma', 'Maltodextrin', 'Kräuter', 'Gewürze', 'Knoblauchpulver', '0,1% Tomatenpulver', 'Petersilie', 'Eisengluconat', 'Cyanocobalamin ', 'Vitamin B12']","['E150a - Caramel E150a', 'E579 - Gluconate de fer']",,"['Œufs', 'Soja', 'de:Weizeneiweiß', 'de:Weizenhalmfasern']","['Non végétalien', 'Végétarien']",4,6.2 g,en quantité modérée,0.7 g,en faible quantité,4 g,en faible quantité,1.5 g,en quantité modérée,?,,174,-18%,728 kj(174 kcal),-18%,"6,2",-33%,"0,7",-58%,7,-54%,4,+52%,"18,8",+53%,"1,5",+28%,"0,6",+28%,-2,-202%,A,-202%,,,,,,,,,,,,,,
2,Thé Vert Nature - Lord Nelson - 25,20341060,A,,25,['Carton'],"['Lord Nelson', 'LIDL']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions']","['Agriculture durable', 'en:UTZ Certified']",['Lidl'],['France'],"['Thé vert ', 'origine asie']",,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,3,-82%,1,-92%,3 kj(1 kcal),-94%,0,-100%,0,-100%,"0,2",-91%,"0,02",-98%,0,-100%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,
3,Emmental français - Étoile d'Or - 200g,20592998,D,Fromage à pâte pressée cuite,200 g,"['Barquette', 'Plastique']","[""Étoile d'Or""]","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Fromages pasteurisés', 'Fromages en tranches']",,,['France'],"['lait de vache', 'sel', 'ferments lactiques ', 'lait', 'présure']",,,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.6 g,en quantité modérée,?,,380,+12%,1590 kj(380 kcal),+12%,30,+12%,21,+15%,"0,5",-51%,"0,5",-27%,27,+17%,"0,6",-65%,"0,24",-65%,11,-30%,D,-30%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['France'],"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",,,,,
4,"Cornichons extra-fins - Regalo - 660g (360g net égoutté), 720ml",26044163,,Cornichons pasteurisés au vinaigre,"660 g (360 g net égoutté), 720 ml","['Bocal', 'Verre', 'Couvercle', 'Métal', 'Conserve', 'Plastique']",['Regalo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons extra-fins', 'Cornichons au vinaigre']","['Point Vert', 'Cueillis-a-la-main', 'Eco-emballages']",['Aldi'],['France'],"['Cornichons ', 'conservateur : métabisulfite de potassium', 'eau', 'oignons', ""vinaigre d'alcool"", 'sel', 'graines de moutarde et de coriandre', 'arôme']","['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,"['Moutarde', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,1.8 g,en quantité élevée,?,,15,-25%,63 kj(15 kcal),-18%,"0,5",+56%,"0,1",+46%,"0,6",-61%,"0,6",-36%,"1,2",+6%,"1,8",-1%,"0,72",-1%,0,-100%,B,-100%,,,,,,,,"['Reitzel Briand - 2 Chemin du Poliveau - 41400 Bourré', 'Loir-et-Cher', 'Centre-Val de Loire', 'France']",,,,,,
5,Sélection 3 riz - Taureau Ailé - 500g,3017490001483,C,"Mélange de Riz long grain étuvé, de Riz Rouge et de Riz Sauvage* (Graminée )",500 g,"['Papier', 'Sachet en plastique', 'Enveloppe']",['Taureau Ailé'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', '3riz']",,['Magasins U'],"['France', 'Suisse']","['Riz long grain étuvé 80% ', 'Riz Rouge 10', '5%', 'Riz sauvage 9', '5%']",,,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.6 g,en faible quantité,0.8 g,en faible quantité,0.6 g,en faible quantité,0.05 g,en faible quantité,1529,+5%,361,+7%,1529 kj(361 kcal),+8%,"1,6",+33%,"0,8",+197%,77,+6%,"0,6",+73%,8,+10%,"0,05",+68%,"0,02",+68%,-3,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,['0970809112'],http://www.taureauaile.fr/#/les-saveurs-d-ici-et-d-ailleurs//riz_melanges/3_riz,,,,
6,"Lulu la Coqueline Goût Chocolat Noisette - LU - 165g, 6sachets de 4gâteaux",3017760015264,D,,"165 g, 6 sachets de 4 gâteaux","['Carton', 'Emballage alu']","['LU', 'Mondelez France S.A.S.']","['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']","['en:Charte LU Harmony', 'Nouvelle recette']","['Simply Market', 'Magasins U', 'Intermarché']",['France'],"['Farine de blé 25,5%', 'sucre', 'oeufs 15,8%', 'huiles végétales ', 'palme', 'tournesol', 'coton en proportions variables', 'sirop de glucose', 'sirop de glucose-fructose', 'chocolat 6,4% [pâte de cacao', 'sucre', 'émulsifiant ', 'lécithine de soja', 'cacao maigre en poudre]', 'stabilisant ', 'glycérol', 'lait écrémé en poudre', 'lait entier en poudre', 'poudre à lever ', ""carbonate acide d'ammonium"", 'diphosphate disodique', 'carbonate acide de sodium', 'émulsifiants ', 'E471', ""mono - et diglycérides d'acides gras"", 'lécithine de tournesol', 'sel', 'arômes ', 'vanille', 'noisette']","['E322i - Lécithine', 'E422 - Glycérol', ""E503ii - Carbonate acide d'ammonium"", 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Huile de palme'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien']",4,20 g,en quantité modérée,8.7 g,en quantité élevée,32 g,en quantité élevée,0.5 g,en quantité modérée,?,,421,-4%,1761 kj(421 kcal),-4%,20,-15%,"8,7",+10%,56,+14%,32,+4%,"6,2",+7%,"0,5",-4%,"0,2",-4%,21,+14%,E,+14%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,,https://www.lu.fr/lululourson/produit/la-coqueline-de-lulu-chocolat?p=3368,['Agriculteurs partenaires en France'],,,
7,"Ferme , Caramel - Nestlé - 4x 125g",3023290008331,,,4 x 125 g,"['Frais', 'Plastique', 'Pot']","['Nestlé', 'Sveltesse']","['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert']",,['Intermarché'],['France'],"['Lait à 1,1% de matière grasse ', '85,4%', 'caramel ', '6,6%', ' ', 'sucre', 'sirop de glucose', 'eau', 'inuline', 'fructose', 'glucose', 'poudre de lait écrémé', 'sucre', 'arômes', 'amidon de maïs', 'amidon modifié de tapioca', 'lactose ', 'lait', 'gélifiant ', 'carraghénanes', 'colorant ', 'rocou', ""correcteur d'acidité "", 'hydroxyde de sodium', 'édulcorants ', 'acésulfame K', 'cyclamates', 'néohespéridine DC']","['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160b - Rocou', 'E524 - Hydroxyde de sodium', 'E950 - Acésulfame K', 'E952 - Acide cyclamique et ses sels', 'E959 - Néohespéridine dihydrochalcone']",,['Lait'],['Non végétalien'],4,0.9 g,en faible quantité,0.6 g,en faible quantité,10.6 g,en quantité modérée,0.2 g,en faible quantité,?,,73,-44%,305 kj(73 kcal),-44%,"0,9",-80%,"0,6",-78%,"12,2",-33%,"10,6",-31%,"3,3",-2%,"0,2",+30%,"0,08",+30%,-2,-142%,A,-142%,,,,,,,,,"['FR 14.630.010 CE', 'Saint-Martin-des-Entrées (Calvados, France)']",,['France'],,,
8,"Mousse à la crème de marron Maronsui's - Nestle la laitiere - 8pots de 68,8g",3023290009178,,Mousse à la crème de marron Maronsui's,"8 pots de 68,8g",['8 pots'],['Nestle la laitiere'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Mousses sucrées', 'Mousses lactées']",,['Magasins U'],"['Afghanistan', 'France']","['Crème de marrons ', '54,3%', ' [châtaignes ', '27,7%', 'sucre', 'sirop de glucose', 'brisures de marrons glacés', 'arôme naturel de vanille]', 'eau', 'crème ', 'lait', ' ', '14,2%', 'lait écrémé ', '9,5%', 'gélatine bovine', 'poudre de lait écrémé', 'émulsifiant ', 'E471', 'épaississant ', 'farine de graines de caroube', 'arôme naturel de vanille', ' Lait origine France']","['E428 - Gélatine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube']",,['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,6.8 g,en quantité modérée,4.6 g,en quantité modérée,28.6 g,en quantité élevée,0.004 g,en faible quantité,?,,217,+14%,908 kj(217 kcal),+19%,"6,8",-26%,"4,6",-23%,"35,9",+84%,"28,6",+62%,"2,2",-46%,"0,004",-98%,"0,002",-98%,10,+9%,C,+9%,,,,,,,,['France 93160 Noisy le Grand'],"['FR 44.212.001 CE', 'Vallet (Loire-Atlantique, France)']",,"[""Crème de marrons de France et d'Italie""]",,,
9,Light & Free Pêche Fruit de la passion - Danone - 480g,3033491333941,B,,480 g,"['Pot', 'Plastique']",['Danone'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la pêche']","['Nutriscore', 'Nutriscore A', 'Sans édulcorants']",['Magasins U'],['France'],"['Lait écrémé ', 'Origine : France', 'pêche ', '7,1%', 'crème ', 'lait', ' ', 'Origine: France', 'lait écrémé concentré ou en poudre ', 'Origine : UE', 'sucre de canne ', '3,1%', 'fruit de la passion ', '2%', 'protéines de lait', 'amidons', 'arômes', 'concentré de carotte', 'épaississant ', 'pectine', ""correcteurs d'acidité "", 'acide citrique', 'citrate de sodium', 'ferments lactiques ', 'lait']","['E440 - Pectines', 'E330 - Acide citrique', 'E331 - Citrates de sodium']",,['Lait'],"['Sans huile de palme', 'Non végétalien']",4,1.2 g,en faible quantité,0.8 g,en faible quantité,8 g,en quantité modérée,0.15 g,en faible quantité,?,,64,-30%,268 kj(64 kcal),-31%,"1,2",-53%,"0,8",-50%,"9,2",-31%,8,-34%,4,+13%,"0,15",+40%,"0,06",+40%,-1,-151%,A,-151%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,
