,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,packaging,manufacturing,traceability_code,additives,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,markets,allergens,origin_detail,producer_info,palm_ingredients,brand_owner
0,Fromage à tartiner/poivres Les Recettes de Madame Loïc - Paysan Breton,3412290071818,['Paysan Breton'],['France'],[],[],?,256,1071 kj(256 kcal),?,17,?,"2,5",6,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Crème d'amandes Complètes - Senfas - 300g,3412940200018,['Senfas'],"['France', 'Suisse']","[""100% crème d'amandes complètes"", "" ingrédient issu de l'agriculture biologique""]",[],2620,634,2620 kj(634 kcal),"53,4",4,"1,5",1,"25,4","0,04","0,016",300 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",53.4 g,en quantité élevée,4 g,en quantité modérée,1 g,en faible quantité,0.04 g,en faible quantité,+130%,+135%,+134%,+549%,+205%,-96%,-97%,+995%,-79%,-79%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,,,
2,Sorbet framboise mangue - HÄÄGENE-DAZS - 4 * 100ml,3415581587005,['HÄÄGENE-DAZS'],['France'],"['Sorbet mangue : eau', 'purée de mangue ', '37%', 'sucre', 'sirop de glucose déshydraté', 'gélifiant : pectines', 'arôme naturel', ' Sorbet framboise : purée de framboise 35%', 'eau', 'sucre', 'sirop de glucose déshydraté', 'purée de mûres', 'jus de citron issu de concentré', 'arôme naturel de framboise', 'gélifiant : pectines']",[],?,112,469 kj(112 kcal),"0,2",0,"26,9","25,5","0,2","0,01","0,004",4 * 100 ml,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la mangue', 'Sorbets à la framboise']","['Point Vert', 'Fabriqué en France']",0.2 g,en faible quantité,0 g,en faible quantité,25.5 g,en quantité élevée,0.01 g,en faible quantité,,-9%,-9%,-22%,-100%,-8%,0%,-49%,-70%,-70%,4,-26%,C,-26%,C,Sorbet mangue et sorbet framboise,"['Pot', 'Carton', 'Surgelé']",['France'],"['FR 62.817.030 CE', 'Tilloy-lès-Mofflaines (Pas-de-Calais, France)']",['E440 - Pectines'],4,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,,
3,Poivre noir grains - Cook - 200g,3417960015475,"['Cook', 'Arcadie']",['France'],['Poivre noir'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']","['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture non UE', 'FR-BIO-01', 'Point Vert', 'Biopartenaire']",,,,,,,,,,,,,,,,,,,,,,,B,,"['Pot', 'Plastique']",,,,1,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,['Madagascar'],http://www.arcadie.fr/produits-bio/epices-bio/poivre-noir-bio.html,['Bio14'],,,,,
4,Curry 35 g - Cook,3417960022657,"['Cook', 'Arcadie']","['France', 'Pays-Bas']","['Curcuma', 'coriandre', 'gingembre', 'cannelle', 'fenugrec', 'oignon', 'poivre noir', 'carvi', 'girofle', 'muscade']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,35 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curry']","['Bio', 'Bio européen', 'FR-BIO-01', 'Biopartenaire']",,,,,,,,,,,,,,,,,,,,,,,A,Epice,"['Flacon', 'Verre', 'Bouchon', 'Plastique']",,,,1,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,http://www.arcadie.fr/produits-bio/epices-bio/curry-bio.html,"['Biocoop', 'Bio14', 'Ekoplaza']",,,,,
5,Galettes de riz chocolat au lait sans gluten - Terres et Céréales - 100g,3421557602047,['Terres et Céréales'],['France'],"['Chocolat au lait* 55% ', 'sucre de canne*', 'beurre de cacao*', 'poudre de lait entier*', 'masse de cacao*', 'riz* 45%', "" *Ingrédients issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,494,2067 kj(494 kcal),24,15,60,26,"8,1","0,1","0,04",100 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz au chocolat au lait']","['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Afdiag']",24 g,en quantité élevée,15 g,en quantité élevée,26 g,en quantité élevée,0.1 g,en faible quantité,,+1%,+1%,+7%,+13%,-5%,-4%,+15%,-24%,-24%,17,-13%,D,-13%,B,Galettes de céréales nappées de chocolat issues de l'agriculture biologique,"['Sachet', 'Plastique']",['France'],,,3,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,['Lait'],,,,
6,Menthe tilleul verveine - Les 2 marmottes - 45g (30sachets),3422150000230,['Les 2 marmottes'],['France'],"['Verveine odorante 35%', 'tilleul 35%', 'menthe douce et poivrée 30%']",[],?,1,4 kj(1 kcal),0,0,"0,5","0,5",0,0,0,45 g (30 sachets),"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions', 'Thés à la menthe', 'Thés verts à la menthe', 'Thés en sachets']","['Point Vert', 'Fabriqué en France']",,,,,,,,,,-75%,-64%,-100%,-100%,-22%,+120%,-100%,-100%,-100%,,,,,A,,"['Etui', 'Carton', 'Sachet']",['France'],,,1,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,https://www.les2marmottes.fr/les-infusions/infusion-menthe-tilleul-verveine.html,,,,,,
7,Mes potages Bio Petits pois et légumes verts - Crealine - 950ml,3422440003675,['Crealine'],['France'],"['Légumes 55 % ', 'légumes verts 29 % ', 'petits pois* 11 %', 'poivrons verts*', 'brocolis', 'pommes de terre*', 'céleri branche*', 'oignons*', 'eau', 'sel', 'amidon de maïs', 'persil*', 'poivre*', "" *Ingrédients issus de l'agriculture biologique"", ' Fabriqué dans un atelier qui utilise du lait', ' A conserver entre O°C et +4°C']",[],?,29,121 kj(29 kcal),"< 0,5","< 0,1","4,9","1,1","1,2","0,67","0,268",950 ml,"['Plats préparés', 'Soupes', 'Soupes froides']","['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France']",0.5 g,en faible quantité,0.1 g,en faible quantité,1.1 g,en faible quantité,0.67 g,en quantité modérée,,-33%,-34%,-80%,-76%,+40%,-56%,+46%,-0%,-0%,0,-100%,B,-100%,,,['bouteille plastique'],,,,3,,,,,,,,,,['Casino'],,,,,
8,Biscuit nature et bienfaits blé raisins - Bio Soleil - 250g,3423720001022,['Bio Soleil'],['France'],"['Farine de blé T80* ', '61%', ' ', ' huile de sésame* ', ' flocons de blé* ', '10%', ' ', ' raisins* ', '9%', ' ', 'raisin sultanine*', 'huile de tournesol*', ' ', ' sirop d’orge malté* ', ' sel de mer non raffiné', '\xa0\r*Ingrédients issus de l’agriculture biologique']",['Sans huile de palme'],?,403,1686 kj(403 kcal),12,2,63,11,"9,4","0,97","0,388",250 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France', 'en:palm-oil-free', 'AB Agriculture Biologique']",12 g,en quantité modérée,2 g,en quantité modérée,11 g,en quantité modérée,0.97 g,en quantité modérée,,-15%,-15%,-42%,-80%,-2%,-63%,+45%,+65%,+65%,8,-60%,C,-60%,C,Biscuit 100% végétal - sans levure - blé raisins,"['Plastique', 'Sachet']",['France'],,,3,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,http://www.biosoleil.com/index.php?query=catalog/product/id/9,,"['Gluten', 'Graines de sésame']",,,,
9,Pizza surgelée 3 fromages - C'est qui le patron ?! - 450g,3424600000791,"[""C'est qui le patron ?!"", 'La marque du consommateur']",['France'],"['Garniture 60% : Emmental grand cru Label Rouge ', '21%', 'purée de tomates cultivée en Provence ', '14', '7%', 'raclette Label Rouge ', '11,5%', 'comté AOC ', '8,3%', 'eau', 'oignons', 'huile d‘olives vierge extra ', '1', '5%', 'sel', 'mélange d‘herbes de  Provence et persil', 'ail', 'sucre', ' \rPâte ', '40%', ': Farine de blé', 'eau', ""huile d'olives vierge extra"", 'levure', 'sel']",['Non végétalien'],1117,267,1117 kj(267 kcal),"14,4","8,5","19,2",1,"14,5","1,25","0,5",450g,"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas aux trois fromages']","['AOC', 'Label Rouge']",14.4 g,en quantité modérée,8.5 g,en quantité élevée,1 g,en faible quantité,1.25 g,en quantité modérée,+10%,+8%,+8%,+51%,+68%,-30%,-60%,+29%,+1%,+1%,15,+46%,D,+46%,B,Pizza aux trois fromages surgelée,['Surgelé'],"['Manosque', 'France']","['FR 04.112.005 CE', 'Manosque (Alpes-de-Haute-Provence, France)']",,3,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,['France'],,['Auchan'],"['Gluten', 'Lait']",,,,
