,name,bar_code,eco_score,quantity,brand,categories,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,ingredients_origins,manufacturing,labels,allergens,generic_name,link,palm_ingredients,origin_detail,brand_owner,producer_info
0,Tournedos de dinde certifiée - Volandry - 250g,3564700735855,D,250 g,"['Volandry', 'Marque Repère']","['Viandes', 'Volailles', 'Dindes']","['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",['Leclerc'],['France'],"['Filet de dinde 87% min', 'barde de porc reconstituée ', 'eau', 'gras de porc', 'protéines de porc', 'gélifiant : alginate de sodium', 'sel', 'vinaigre']",['E401 - Alginate de sodium'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3.7 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0.3 g,en quantité modérée,494,-23%,?,,494 kj(118 kcal),-12%,"3,7",+13%,0,-100%,0,-100%,0,-100%,21,+0%,"0,3",-67%,"0,12",-67%,-3,-356%,A,-356%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
1,Jambon cru fumé de la Forêt Noire 6 tranches - Saint-Azay - 100g,3564700798300,,100 g,"['Saint-Azay', 'Marque Repère']",['D'],['DE NI-33333 EG'],['Leclerc'],['France'],"['Jambon de porc ', 'origine : UE', ' ', ' sel ', ' sirop de glucose ', ' dextrose ', "" extraits d'épices "", ' épices ', ' conservateurs : E250', 'E252', ' Fumé au bois de conifères de la Forêt Noire ', 'conformément au cahier des charges IGP']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,12 g,en quantité modérée,4.5 g,en quantité modérée,1 g,en faible quantité,5 g,en quantité élevée,869,,?,,869 kj(208 kcal),,12,,"4,5",,1,,1,,24,,5,,2,,16,,D,,,,,,,,,"['Barquette', 'Barquette', 'Opercule en plastique']",['Union européenne'],['forêt noire'],,,,,,,,
2,Mélange riz basmati et 2 quinoa - Marque Repère - 400g,3564700838266,,400 g,"['Marque Repère', 'Nat&Vie']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Mélanges de céréales et légumineuses en grains']",,['Leclerc'],['France'],"['Riz basmati 60 %', 'quinoa blanc 20 %', 'quinoa rouge 20 %', ' Traces de gluten et de soja']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,3.2 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,0.1 g,en faible quantité,1041,-3%,?,,1041 kj(249 kcal),-13%,"3,2",-71%,"1,9",-2%,46,+39%,"0,5",-95%,"6,9",+22%,"0,1",-78%,"0,04",-78%,-8,-337%,A,-337%,,,,,,,,"['Carton', 'boîte', 'Sachet', 'Plastique']",,,"['Point Vert', 'Nouveau']",,,,,,,
3,Curry - flacon - Rustica - 42g,3564700998281,,42 g,"['Rustica', 'Marque Repère']",,,['Leclerc'],['France'],"['Curcuma', 'graines de coriandre', 'fenugrec', 'amidon de pomme de terre', 'graine de moutarde', 'oignon déshydraté', 'cardamome', 'sel', 'gingembre', 'anis', 'fenouil', 'girofle', 'ail déshydraté', 'piment de la Jamaïque', 'cannelle', 'romarin', 'sarriette', 'marjolaine', 'origan', 'basilic', 'thym']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,1279,,?,,1279 kj(306 kcal),,"6,5",,"0,8",,35,,"2,9",,11,,4,,"1,6",,,,,,,,,,,,,,,,,['Moutarde'],,,,,,
4,Pain mie nature sans gluten - Marque Repère - 300g,3564706510005,B,300 g,"['Marque Repère', 'Chaque Jour Sans Gluten']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits sans gluten', 'Pains', 'Pains de mie', 'Pains sans gluten', 'Pains de mie sans gluten']",,['Leclerc'],['France'],"['Eau ', ' amidon de maïs ', ' farine de maïs ', ' fécule de manioc ', ' fécule de pomme de terre ', ' huile de tournesol ', ' levure ', ' fibres solubles de psyllium ', ' humectant : glycérol ', ' farine de riz ', "" poudre de blanc d'œuf "", ' fibres de bambou ', ' épaississants : gomme guar', 'E464 ', ' sucre ', ' sel ', ' dextrose ', ' conservateur : E282', 'Traces de fruits à coque']","['E422 - Glycérol', 'E412 - Gomme de guar', 'E464 - Hydroxypropylméthylcellulose', 'E282 - Propionate de calcium']",['Non végétalien'],4,12 g,en quantité modérée,1.2 g,en faible quantité,3.2 g,en faible quantité,0.9 g,en quantité modérée,1203,+6%,?,,1203 kj(288 kcal),+12%,12,+96%,"1,2",+13%,37,-14%,"3,2",-19%,"3,7",+2%,"0,9",-20%,"0,36",-20%,0,-100%,B,-100%,57.4%,21.5%,10.0%,10.3%,0.7%,0.0%,89,,,,['en:gluten-free'],,,,,,,
5,Navettes fleur d'oranger au petit épeautre - Biscuiterie de Provence - 220g,3571376902207,B,220 g,['Biscuiterie de Provence'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,['France'],"['Farine de blé T65*', 'sucre de canne roux* ', 'beurre de baratte* ', 'œufs* ', 'farine de petit épeautre de Haute Provence IGP* 4 %', 'sel', 'poudre à lever* ', 'amidon de blé* ', 'bicarbonate de sodium', 'bitartrate de potassium', ""arôme naturel d'oranger* 0,5 %"", "" Produits issus de l'Agriculture Biologique""]",['E500ii - Carbonate acide de sodium'],['Non végétalien'],3,14.7 g,en quantité modérée,8.7 g,en quantité élevée,27.7 g,en quantité élevée,0.74 g,en quantité modérée,?,,446,-6%,1866 kj(446 kcal),-6%,"14,7",-29%,"8,7",-14%,"69,9",+9%,"27,7",-6%,"7,6",+17%,"0,74",+26%,"0,296",+26%,21,+6%,E,+6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Boîte', 'Carton', 'Plastique']","['France', 'Haute Provence']",['France'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']","['Œufs', 'Gluten', 'Lait']",,,,,,
6,Nonnette - Saveurs D'enfance - 150g,3580280745008,,150 g,"[""Saveurs D'enfance""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Nonnettes']",,,['France'],"['Farine de blé', ""marmelade d'orange 25% "", 'sirop de glucose-fructose', ""purée d'orange "", '5%', 'gélifiant : pectines', ""correcteur d'acidité: acide citrique"", ""huile essentielle d'orange"", 'miel 21%', 'sucre', 'sirop de sucre inverti', ""jaune d'oeuf salé "", ""jaune d'oeuf"", 'sel', 'poudres à lever ', 'carbonates de sodium', ""carbonates d'ammonium"", 'arôme']","['E440 - Pectines', 'E330 - Acide citrique', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",['Non végétalien'],4,2.3 g,en faible quantité,0.4 g,en faible quantité,44.9 g,en quantité élevée,0.375 g,en quantité modérée,?,,338,-0%,1414 kj(338 kcal),-0%,"2,3",+16%,"0,4",-4%,"75,3",-1%,"44,9",-1%,"3,4",-8%,"0,375",-29%,"0,15",-29%,14,-7%,D,-7%,,,,,,,,,,,,"['Œufs', 'Gluten']",,,,,,
7,Trio de lentilles - Grain de Frais - 500g,3580281320082,B,500 g,['Grain de Frais'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles']",,['Grand Frais'],['France'],"['Lentilles vertes 40 %', 'lentilles roses 30 %', 'lentilles jaunes 30 %']",,[],,2 g,en faible quantité,0.4 g,en faible quantité,2.3 g,en faible quantité,0.01 g,en faible quantité,?,,358,+47%,1498 kj(358 kcal),+47%,2,+36%,"0,4",+54%,55,+67%,"2,3",+85%,26,+46%,"0,01",-97%,"0,004",-97%,-6,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,"['Sachet', 'Plastique']",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,
8,sauce napolitaine - Les saveurs de Savino - 350g,3580282110026,A,350 g,['Les saveurs de Savino'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces aux légumes', 'Sauces napolitaines', 'Sauces tomate aux petits légumes']",,['Grand Frais'],['France'],"['Purée et pulpe de tomate 76,7% ', 'origine France', 'oignons 10%', 'carottes 6%', 'huile de tournesol', 'sucre', 'sel', 'amidon transformé de maïs', 'épices et plantes aromatiques ', 'basilic', 'origan', 'poivre', 'laurier', 'ail', 'céleri', 'vin blanc', 'acidifiant : E330']","['E14XX - Amidons modifiés', 'E330 - Acide citrique']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",4,2.4 g,en faible quantité,0.3 g,en faible quantité,6.5 g,en quantité modérée,0.9 g,en quantité modérée,249,-1%,60,+2%,249 kj(60 kcal),+2%,"2,4",-1%,"0,3",-11%,"6,5",-5%,"6,5",+17%,"1,5",+6%,"0,9",-7%,"0,36",-7%,-1,-176%,A,-176%,55.2%,17.7%,10.0%,9.7%,4.3%,3.0%,88,"['Bocal', 'Verre']",['Tomates origine France'],"['Provence', 'France']",['Cuisiné en Provence'],['Céleri'],Sauce tomate aux légumes,,,,,
9,Asperges blanches grosses - Oustadea,3580282205159,C,,['Oustadea'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges blanches', 'Asperges en conserve']",,,['France'],"['asperges blanches', 'eau', 'sel', 'acidifiant : acide citrique']",['E330 - Acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,?,,15,-21%,63 kj(15 kcal),-17%,"0,5",+117%,0,-100%,2,+6%,1,-18%,"1,3",-18%,1,+23%,"0,4",+23%,-1,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,,,,,
