,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,nova_score,packaging,additives,allergens,manufacturing,traceability_code,ingredients_origins,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
0,Pur jus de citron - Monoprix Bio,3350033653474,D,"['Monoprix Bio', 'Monoprix']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",['Bio'],['Monoprix'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,?,,27,0%,113 kj(27 kcal),+1%,0,-100%,0,-100%,"6,7",+88%,2,+20%,0,-100%,0,-100%,0,-100%,-4,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,
1,Pesto vert - Franprix,3263850665097,C,['Franprix'],"['Epicerie', 'Sauces', 'Sauces Pesto']",,['Franprix'],['France'],[],[],32 g,en quantité élevée,3.5 g,en quantité modérée,0.6 g,en faible quantité,1.2 g,en quantité modérée,?,,324,-24%,1356 kj(324 kcal),-23%,32,-22%,"3,5",-42%,"4,3",-35%,"0,6",-81%,"3,7",-17%,"1,2",-48%,"0,48",-48%,12,-34%,D,-34%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,,,,,,
2,Bouteille cristalline - Cristaline,1274624005003,,['Cristaline'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,VInaigre de riz - Tanoshi,11112778,,['Tanoshi'],,['Sans additifs'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Galettes de riz nappées de chocolat - moulin des moines - 150g,13474393,B,['moulin des moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz au chocolat noir']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,['France'],"['Riz complet', 'chocolat 35 % ', ' sucre de canne', 'pâte de cacao', 'beurre de cacao', ' Cacao: 55% dans le chocolat mis en oeuvre']",[],16.5 g,en quantité modérée,9.83 g,en quantité élevée,12.6 g,en quantité élevée,0.02 g,en faible quantité,?,,473,-2%,1979 kj(473 kcal),-2%,"16,51",-24%,"9,83",-26%,"72,5",+18%,"12,62",-44%,7,+2%,"0,02",-66%,"0,008",-66%,13,-20%,D,-20%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,150g,3,,,,,,,,,,,,
5,Queso tierno en lonchas - El Ventero,8410633561021,D,['El Ventero'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'es:Queso tierno', 'es:Queso tierno en lonchas']",,,"['France', 'Espagne']",[],[],32 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,378,+15%,1582 kj(378 kcal),+15%,32,+20%,23,+29%,"1,5",+24%,"0,5",-33%,21,+3%,"1,4",+8%,"0,56",+8%,15,+9%,D,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
6,Crostini Classiques,3760077537379,,,,['en:palm-oil-free'],,['France'],[],['Sans huile de palme'],,,,,,,,,?,,451,,1887 kj(451 kcal),,16,,"2,5",,65,,"3,5",,11,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mini espelta - florbu - 100g,8411414013784,,['Florbu'],['Biscuits sucrés bio'],"['Bio', ""À l'huile de tournesol""]",,['France'],"[""farine d'épeautre* "", '60%', 'sucre de canne*', 'huile de tournesol*', ""flocons d'épeautre* "", '9,6%', 'lait entier en poudre*', 'sel', ""poudre à lever : bicarbonate d'ammonium et bicarbonate de sodium"", 'émulsifiant : lécithine de tournesol* et arôme naturel', "" * Ingrédients issus de l'agriculture biologique""]",[],14 g,en quantité modérée,1.2 g,en faible quantité,20 g,en quantité élevée,0.85 g,en quantité modérée,?,,446,,1866 kj(446 kcal),,14,,"1,2",,67,,20,,11,,"0,85",,"0,34",,9,,C,,,,,,,,,100g,,,,,,,,,,,,,
8,Maxi club select&go,20296827,,,,,,['France'],[],[],,,,,,,,,?,,230,,962 kj(230 kcal),,"9,7",,"2,4",,24,,"3,3",,"9,9",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,
9,Semoule au lait - Milbona,20557348,B,['Milbona'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Semoules au lait']",,['Lidl'],['France'],[],[],3.4 g,en quantité modérée,2.2 g,en quantité modérée,14 g,en quantité élevée,0.09 g,en faible quantité,?,,495,+306%,2071 kj(495 kcal),+304%,"3,4",-14%,"2,2",-13%,19,+8%,14,+9%,"2,9",-14%,"0,09",-18%,"0,036",-18%,11,+180%,D,+180%,57.6%,19.3%,8.9%,7.9%,4.9%,1.3%,91,,,['Pot'],,,,,,,,,,,
