,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,labels,ingredients_origins,traceability_code,manufacturing,markets,additives,palm_ingredients,link,producer_info,brand_owner,origin_detail
0,Bière - Brasserie de Bretagne - 25cl,3760010134115,C,25 cl,['Brasserie de Bretagne'],"['Boissons', 'Boissons alcoolisées', 'Bières']",['France'],[],[],?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pâtes Coquillettes cuisson 3 min - Barilla - 800g,8076809574884,C,800 g,['Barilla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Coquillettes', 'Coquillettes de blé dur']",['France'],"['Semoule de blé dur', 'eau', ' peut contenir des traces de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,359,+1%,2,+14%,"70,9",-1%,"12,8",+7%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,Coquillettes,['Gluten'],1,2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.013 g,en faible quantité,1502 kj(359 kcal),+0%,"0,5",+48%,"3,5",+9%,"0,013",+18%,"0,005",+18%,-4,,A,,,,,,,,,,,,,
2,Thé vert - Destination Premium - 40g,3700110035813,,40 g,['Destination Premium'],,['France'],"['thé vert Ceylan* ', '97%', 'arôme naturel bergamote* ', '3%', "" * Issue de l'agriculture biologique""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,,?,,?,,?,,?,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,['20 sachets'],['Bio'],['St James'],['TGT1CC0C152802'],,,,,,,,
3,Pane Di Segala,8012678010436,,,,,['France'],[],[],?,,233,,"0,9",,"45,9",,"7,6",,,,,,,,,,,,,,,,,,,,975 kj(233 kcal),,"0,2",,"5,7",,"1,1",,"0,44",,,,,,,,,,,,,,,,,
4,Saint Eloi Coeurs de céleri,3250391590681,,,['Saint Eloi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Céleri en conserve', 'Coeurs de céléri']",['France'],"['Caeurs de céleri', 'eau', 'sel', ' INFORMATIONS: Egoutter soigneusement les caeurs de céleri et les réchauffer dans une casserole avec une noix de beurre', "" Les caeurs de céleri peuvent également se servir arrosés dun jus de viande ou encore nappés d'une sauce blanche et gratinés au four""]",[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Risotto de verduras - GutBio - 250g,24058872,B,250 g,['GutBio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Plats à base de riz', 'Plats préparés déshydratés', ""Plats préparés d'origine végétale"", 'Risottos', 'Risottos aux légumes']","['France', 'Espagne']","['arroz* 87%', 'berenjena* 5,6%', 'sal marina', 'tomate*', 'pasta de tomate*', 'harina de arroz*', 'cebolla*', 'apio*', 'zanahoria*', 'perejil*', 'aceite de oliva virgen extra*', 'ajo*', 'almidón de maíz*', 'miso* ', 'habas de soja*', 'arroz*', 'agua', 'sal', 'koji ', 'Aspergillus oryzae', 'extracto de levadura', 'especias*', ' *Procedente de la agricultura ecológica']",['Sans huile de palme'],?,,338,+37%,"0,9",-71%,"73,9",+71%,"7,5",+31%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,Producto deshidratado para la preparación de arroz con berenjena.,"['Céleri', 'Soja']",3,,,,,,,,,1414 kj(338 kcal),+41%,"0,2",-85%,"2,9",+82%,"1,6",+83%,"0,64",+83%,,,,,"['Plástico', 'Cartón', 'Envasado en atmósfera protectora']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'Point Vert', 'IT-BIO-004', 'IT-BIO-015']",,,['Italia'],['Aldi'],,,,,,
6,Côtes du Rhône bio A.O.C. 2017 - Marque Repère - 75cl,3564707110884,B,75 cl,"['Marque Repère', 'Rives et Terrasses']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",['France'],['Contient des sulfites'],[],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['Anhydride sulfureux et sulfites'],3,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],,,['Leclerc'],,,,,,
7,Refresh Fruit Rouges,3271792836284,,,,,['France'],[],[],?,,41,,0,,10,,"0,1",,,,,,,,,,,,,,,,,,,,172 kj(41 kcal),,0,,10,,"0,03",,"0,012",,,,,,,['Sans conservateurs'],,,,,,,,,,
8,Mary Trini,6111242530416,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mars Celebrations,5000159457897,,,,,['France'],[],[],?,,494,,"24,4",,"62,3",,"5,5",,,,,,,,,,,,,,,,,,,,2067 kj(494 kcal),,"14,4",,"55,3",,"0,39",,"0,156",,,,,,"['card-box', 'pp-lid', 'mixed plastic-wrapper']",,,,,,,,,,,
10,Alp tea classic - Cremo - 1litre,7610553512016,,1 litre,"['Cremo', 'Bio']",,"['France', 'Suisse']","['Eau', 'sucre ', 'Amérique du Sud', 'plantes ', 'Suisse', ': menthe*', 'alchémille*', 'verveine', 'plantain*', 'acidifiant: acide citrique']",[],75,,18,,0,,"4,5",,0,,,,,,,,,,,,,,,,,,,,75 kj(18 kcal),,0,,"4,5",,0,,0,,,,,,,['Bio'],,,,,['E330 - Acide citrique'],,,,,
11,Tomates cerise,3700007900378,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Tomates', 'Tomates cerise']",['France'],[],[],?,,?,,?,,?,,?,,59.5%,0.0%,0.0%,17.7%,17.2%,5.6%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:produced-in-bretagne'],,,,,,,,,,
12,Pâtes Penne Rigate cuisson 3 min - Barilla - 800g,8076809574891,C,800 g,['Barilla'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",['France'],"['Semoule de blé dur', 'eau', ' peut contenir des traces de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,359,+1%,2,0%,"70,9",+2%,"12,8",+2%,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,['Gluten'],1,2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.013 g,en faible quantité,1502 kj(359 kcal),+0%,"0,5",+13%,"3,5",+12%,"0,013",-53%,"0,005",-53%,-4,,A,,,,,,,,,,,,,
