,name,bar_code,brand,traceability_code,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,packaging,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,producer_info,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
0,Crispy chicken - Carrefour,3560071086312,['Carrefour'],"['EMB 44014B', 'Bignon (Loire-Atlantique, France)']",['Carrefour'],['France'],"['Morceaux de filets de POU/et traités en salaison 73%', 'panés 27%', 'frits et cuits', ' Ingrédients ', 'à la mise en Œuvre', ' : Morceaux de filets de poulet 56%', 'chapelure ', 'farine de blé', 'levure} sel', 'eau', 'farine de blé', 'amidon modifié de manioc', 'épices ', 'dont poivre', 'piment', 'sel', 'arôme', 'poudres à lever : E450 E500f épaississant : algue Euchéma transformées', 'gluten de blé', ' Huile de tournesol Pourcentages exprimés sur le produit total avant friture', ' - Peut_contenir des traces de lait et œuf']","['E14XX - Amidons modifiés', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition']",['Gluten'],"['Non végétalien', 'Non végétarien']",4,?,247,1033 kj(247 kcal),11,"1,4",21,"1,2",15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mini financiers aux amandes et à la framboise - Carrefour Sélection - 120g,3560071091187,"['Carrefour Sélection', 'Carrefour']","['EMB 23040', 'Celle-sous-Gouzon (Creuse, France)']",['Carrefour'],['France'],"['Sucre roux de canne', ""blancs d'œufs"", 'beurre 19 %', ""poudre d'amandes 13,7 %"", 'farine de blé', 'humectant : glycérol', 'brisures de framboises 2,8 %', 'éclats de biscuit à la framboise 2,8 % ', 'framboises', 'sucre', 'farine de blé', 'arôme naturel de framboise 0,9 %', 'poudres à lever : carbonates et diphosphates de sodium', 'amidon de blé', ""préparation à base de jus de citron et d'agrumes à base de concentrés et de pulpes micronisées "", 'jus à base de concentrés de citron', 'orange et pamplemousse', 'eau', 'pulpes de pamplemousse', 'acidifiant : acide citrique', 'arômes naturels', 'antioxydant : acide ascorbique', 'œufs', 'sel', 'arôme ', 'contient alcool']","['E422 - Glycérol', 'E500 - Carbonates de sodium', 'E450i - Pyrophosphate de sodium acide', 'E330 - Acide citrique', 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,?,432,1807 kj(432 kcal),25,12,44,31,"7,9","0,59","0,236",D,120 g,['Carton'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Financiers', 'Financiers aux framboises']",['Approuvé par Gault & Millau'],25 g,en quantité élevée,12 g,en quantité élevée,31 g,en quantité élevée,0.59 g,en quantité modérée,,-4%,-4%,-7%,-6%,+2%,-4%,-3%,+78%,+78%,21,-3%,E,-3%,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,,,,,,,,
2,Ethiopie Yrgacheffe - Carrefour Sélection - 52g,3560071093310,"['Carrefour Sélection', 'Carrefour']","['EMB 59368F', 'Madeleine (Nord, France)']",['Carrefour'],['France'],"[""100 % café moulu Arabica d' Ethiopie Yrgacheffe""]",,,[],,?,1,4 kj(1 kcal),1,1,1,0,0,0,0,,52 g,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",['Fabriqué en France'],,,,,,,,,,-93%,-95%,+32%,+154%,-58%,-100%,-100%,-100%,-100%,,,,,,,,,,,,Capsules de café moulu pur Arabica.,Voir F22,Torréfié et conditionné par EMB59368F pour Interdis.,,,,,
3,Sirop citron,3560071094034,,,,['France'],[],,,[],,?,308,1289 kj(308 kcal),0,0,74,70,0,,,B,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",,,,,,,,,,,+46%,+44%,-100%,-100%,+41%,+41%,-100%,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
4,Galettes de pommes de terre - Carrefour,3560071094416,['Carrefour'],"['EMB 68298', 'Sainte-Marie-aux-Mines (Haut-Rhin, France)']",['Carrefour'],['France'],"['Pommes de terre 71%', 'faine de blé', 'œufs frais 7,9%', 'huile de tournesol', 'sel', 'plantes aromatiques déshydratées ', 'échalote', 'persil', 'ail', 'ciboulette', 'épices ', 'muscade', 'poivre', ',']",,['Œufs'],['Non végétalien'],3,?,207,866 kj(207 kcal),"8,8","1,2",26,1,"4,3","0,62","0,248",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Aliments à base de plantes surgelés', 'Pommes de terre surgelés']",,8.8 g,en quantité modérée,1.2 g,en faible quantité,1 g,en faible quantité,0.62 g,en quantité modérée,,+28%,+26%,+37%,-10%,+27%,+7%,+72%,+20%,+20%,1,,B,,,,,,,,,,,,,,,,
5,Filets de thon listeo au citron - Carrefour,3560071094553,['Carrefour'],"['EMB 92026O', 'Courbevoie (Hauts-de-Seine, France)']",['Carrefour'],['France'],[],,,[],,?,158,661 kj(158 kcal),"7,8",1,"1,9",1,20,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Gâteau aux Amandes - Carrefour Sélection - 310g e,3560071095277,['Carrefour Sélection'],"['EMB 33063', 'Bordeaux (Gironde, France)']",['Carrefour'],['France'],"['Sucre de canne', 'amandes en poudre 31 %', 'farine de blé', 'farine de blé complète', 'amandes effilées 3 %', 'poudres à lever : diphosphates et carbonates de sodium', 'épaississant : gomme xanthane', 'antioxydant : extraits de romarin']","['E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane', 'E392 - Extrait de romarin']","['Gluten', 'Fruits à coque']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,466,1950 kj(466 kcal),18,"1,5",63,53,10,"0,5","0,2",,310 g e,"['Carton', 'boîte', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aides culinaires', 'Produits déshydratés', 'Gâteaux', 'Préparations pour desserts', 'Produits lyophilisés à reconstituer', 'Aides à la pâtisserie', 'Préparations pour gâteaux']",['Approuvé par Gault & Millau'],,,,,,,,,,+25%,+26%,+75%,-65%,+7%,+76%,+67%,-20%,-20%,,,,,,,,,,,,Préparation en poudre pour Gâteau aux Amandes,,,,,,,
7,Foie gras entier - Carrefour - 200g,3560071095741,['Carrefour'],"['FR 40.230.005 CE', ""Pontonx-sur-l'Adour (Landes, France)""]",['Carrefour'],['France'],[],,,[],,?,550,2301 kj(550 kcal),56,25,"3,4","0,9","7,3","0,8","0,32",B,200 g,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']","['Viande Française', 'Canard Français', 'IGP']",56 g,en quantité élevée,25 g,en quantité élevée,0.9 g,en faible quantité,0.8 g,en quantité modérée,,+4%,+4%,+3%,+8%,+40%,-33%,-3%,-33%,-33%,19,-8%,E,-8%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,['France'],,,,
8,9 précieux - Carrefour - 126g,3560071095772,['Carrefour'],"['EMB 44223B', 'Geneston (Loire-Atlantique, France)']",['Carrefour'],['France'],"['Sucre', 'beurre', 'amandes 8,7%', 'sucre glace', 'marrons 7,6%', ""blanc d'œuf"", 'œuf', 'fromage frais ', 'crème de lait', ""correcteur d'acidité : acide citrique"", 'lait entier', 'praliné noisette 3,8% ', 'noisettes 2,2%', 'sucre', 'crème', 'jus de citron 2,9%', ""jaune d'œuf"", 'noisettes 2,3%', 'spécialité fromagère ', 'lait entier', 'crème', 'protéine de lait', 'sel', 'sirop de glucose', 'meringue 0,8% ', 'sucre', ""blanc d'œuf"", 'épaississants : adipate de diamidon acétylé - gomme xanthane - gomme guar - carraghénanes', 'amidon de maïs', 'fécule de pomme de terre', 'rhum', 'extrait de vanille', 'colorant : curcumine', 'grains de vanille épuisée', 'cacao en poudre', "" Peut contenir des traces d'arachides"", 'de graines de sésame', 'de gluten', ""de soja et d'autres fruits à coques""]","['E330 - Acide citrique', 'E1422 - Adipate de diamidon acétylé', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E100 - Curcumine']","['Œufs', 'Lait', 'Fruits à coque']",['Non végétalien'],4,1673,400,1673 kj(400 kcal),22,"7,8",43,42,"7,4","0,12","0,048",,126 g,,"['Desserts', 'Surgelés', 'Desserts glacés']","['Point Vert', 'Fabriqué en Belgique', 'Fabriqué en France']",22 g,en quantité élevée,7.8 g,en quantité élevée,42 g,en quantité élevée,0.12 g,en faible quantité,+87%,+98%,+97%,+159%,+42%,+53%,+78%,+205%,-0%,-0%,18,+59%,D,+59%,,,,,,,,"Assortiment de 9 pâtisseries congelées composées de 3 biscuits (32,5%) aux amandes, garnis d'une préparation (64,7%) au citron et décorés d'une meringue (2,8%), de 3 biscuits (26%) aux amandes et à la vanille, garnis d'une préparation (54%) au praliné et d'une préparation (13,3%) à la vanille, décorés de noisettes, de 3 biscuits (26%) aux amandes, garnis d'une préparation (54%) aux marrons et d'une préparation (13,3%) à la vanille, décorés de morceaux de biscuit (6,4%)",,Fabriqué en France par EMB 44223B pour Interdis,,,,,
9,"8 Eclairs Chocolat, Vanille, Fruit de la passion, Cassis - Carrefour - 120g",3560071095789,['Carrefour'],"['EMB 44223C', 'Geneston (Loire-Atlantique, France)']",['Carrefour'],['France'],"['Lait', 'sucre', 'œuf', 'eau', 'cassis 6,7%', 'chocolat blanc ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'beurre', 'farine de blé', 'fruits de la passion 4,3%', 'purée de pomme ', 'pomme', 'sucre', 'antioxydant : acide ascorbique', 'noix de pécan caramélisées 2,5% ', 'noix de pécan 2,4%', 'sucre', 'sirop de glucose', 'miel', 'flocons de chocolat 1,5% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'poudre de l_ait_ entier', 'matière grasse laitière anhydre', 'arôme naturel de vanille', 'amidon de maïs', 'sirop de glucose', 'chocolat au lait 1,2% ', 'sucre', 'poudre de lait entier', 'beurre de cacao', 'pâte de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ""jaune d'oeuf"", 'chocolat noir 1% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'arôme naturel de vanille', 'chocolat noir 0,9% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'épaississants : adipate de diamidon acetylé-pectines-carraghénanes', 'pâte de cacao', 'noisettes 0,5%', 'noix de coco 0,25%', 'sel', 'colorants : rouge de betterave - anthocyanes - curcumine', 'arôme naturel de cassis', 'jus de citron', 'poudre de vanille', 'gluten de blé', 'acidifiant : acide citrique', 'grains de vanille épuisée', 'agent de traitement de la farine : acide ascorbique']","['E322i - Lécithine', 'E300 - Acide ascorbique', 'E1422 - Adipate de diamidon acétylé', 'E162 - Rouge de betterave', 'E163 - Anthocyanes', 'E100 - Curcumine', 'E330 - Acide citrique']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,1548,371,1548 kj(371 kcal),21,12,38,28,"5,9","0,5","0,2",,120 g,,"['Desserts', 'Surgelés', 'Desserts glacés']",['Fabriqué en France'],21 g,en quantité élevée,12 g,en quantité élevée,28 g,en quantité élevée,0.5 g,en quantité modérée,+73%,+84%,+82%,+148%,+119%,+35%,+19%,+143%,+317%,+317%,21,+86%,E,+86%,,,,,,,,"Assortiment de 8 mini éclairs congelés composés de 2 choux (29%) garnis d'une préparation (51%) au cassis, glacés et décorés de noisettes, de 2 choux (29%) garnis d'une préparation (47%) au chocolat, glacés et décorés de flocons de chocolat, de 2 choux (29%) garnis d'une préparation (52%) au fruit de la passion, glacés et décorés de noix de coco, de 2 choux (29%) garnis d'une préparation (43%) à la vanille, glacés et décorés d'éclats de noix de pécan caramélisées.",,Fabriqué en France par EMB 44223C pour Interdis,,,,,
