,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,categories,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,palm_ingredients,traceability_code,ingredients_origins,brand_owner,producer_info,origin_detail
0,Marou Chocolate Ben Tre 78% - Dolikats,8938505214344,['Dolikats'],"['Bio', 'en:gluten-free', 'Sans lactose']",['France'],[],[],?,596,2494 kj(596 kcal),"41,9","26,9","46,1","27,8",8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FILMA,8992826126243,,,['France'],[],[],?,100,418 kj(100 kcal),5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Coffeeshot Classic - Kopico - 150g,8996001320051,"['Kopico', 'Mayora']",,"['Australie', 'France']","['Sucre', 'glucose', 'huile végétale', 'extrait de café ', '4,9%', 'beurre', 'émulsifiant ', 'E322', 'lécithine de soja', 'colorant : caramel ', 'E150d', 'sel', 'arôme naturel de café']",[],?,436,1824 kj(436 kcal),"9,9","9,9","86,2","67,1","0,6",0,0,Bonbon Café,150 g,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['Indonésie'],9.9 g,en quantité modérée,9.9 g,en quantité élevée,67.1 g,en quantité élevée,0 g,en faible quantité,,-18%,-17%,-69%,-43%,+65%,+41%,-90%,-100%,-100%,24,-2%,E,-2%,,,,,,,,,,,,,,,,,,,
3,Trink Cacao - Manner - 450g,9000331606200,['Manner'],,"['Autriche', 'France']","['Zucker', 'fettarmer Kakao ', '25%', 'Kann Spuren von Soja und Milch enthalten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,393,1644 kj(393 kcal),"1,9","1,1",84,75,"6,3","0,03","0,012",,450 g,"['Papier', 'Aluminium']","['Boissons', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Cacaos en poudre', 'Chocolats en poudre']",,,,,,,,,,,+12%,+13%,-86%,-86%,+223%,+601%,-63%,-72%,-72%,,,,,C,http://www.manner.com,"['Spar', 'Billa', 'Billa Plus', 'Interspar']",3,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,,,,,,,,
4,Manner Mini Original Neapolitaner - Napolitaner,9000331607160,['Napolitaner'],['Arômes naturels'],['France'],"['Emulgator: Lecithine ', 'Soja', 'natürliches Aroma', 'Kann Spuren von anderen Nüssen und sugar', 'wheat flour low f in the cream', '/17 Veo']",[],?,485,2029 kj(485 kcal),22,13,65,46,"5,6","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,['E322 - Lécithines'],"['Lait', 'Soja']",,,,,,
5,Original schoko-bananen - Casali - 150g,9000331972442,"['Casali', 'Josef Manner & comp.']",,"['Autriche', 'République tchèque', 'France']",[],[],?,396,1657 kj(396 kcal),12,"7,2",70,53,"1,8","0,02","0,008",,150 g,['Stück'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Orange Marmelade - Julius Meinl Austria GmbH - 500g,9000403846275,['Julius Meinl Austria GmbH'],,"['Autriche', 'France', 'Allemagne', 'Italie']","['Orangen ', 'Pulpe mit mittelfein geschnittenen Schalen', 'Zucker', 'Zitronensaftkonzentrat', ' Geliermittel: Pektin', ' Hergestellt aus 52 g Früchten je 100 g']",[],858,202,858 kj(202 kcal),"0,1",0,49,48,"0,5","0,1","0,04",Orange Marmelade naturrein - Marmellata di arance,500 g,['Glas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades']",['Österreich'],0.1 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,0.1 g,en faible quantité,-13%,-15%,-14%,-46%,-100%,-17%,-15%,+40%,+230%,+230%,12,0%,D,0%,,http://www.meinl.com,,4,,,,,,,,['E440 - Pectines'],,,,,,,
7,Pfefferoni scharf - Efko - 300g,9000451004238,['Efko'],,"['France', 'Allemagne']",[],[],?,26,109 kj(26 kcal),?,,4,4,1,,,,300g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Milde tyrolini,9001745051624,,,['France'],[],[],?,508,2125 kj(508 kcal),42,17,"0,5","0,5",32,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Flan pâtissier - Docello - 1,2kg e",9002100033521,"['Docello', 'Nestlé']","['Végétarien', 'Produits destinés aux professionnels']",['France'],"['Sucre', 'amidon modifié', 'œufs entiers en poudre 3,8 %', 'arôme', 'colorants ', 'riboflavines', 'extrait de paprika']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,385,1611 kj(385 kcal),"1,6","0,5","90,6","60,3",2,"0,5","0,2",Préparation en poudre pour Flan Pâtissier ou Crème Pâtissière,"1,2 kg e","['Carton', 'boîte', 'Sachet', 'Plastique']","['Biscuits et gâteaux', 'Aides culinaires', 'Produits déshydratés', 'Préparations pour desserts', 'Produits lyophilisés à reconstituer', 'Pâtisseries', 'Préparations pour desserts lactés']",,,,,,,,,,,+15%,+28%,-44%,-71%,+50%,+83%,-0%,+331%,+331%,,,,,,,,4,,,,,,,,"['E14XX - Amidons modifiés', 'E101i - Riboflavine', 'E160c - Extrait de paprika']",['Œufs'],,,,,,
10,Erdbeer confiture fraise,9002355004369,,,['France'],[],[],?,227,950 kj(227 kcal),0,0,54,54,0,0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,0 g,en faible quantité,0 g,en faible quantité,54 g,en quantité élevée,0 g,en faible quantité,,+5%,+4%,-100%,-100%,+2%,+7%,-100%,-100%,-100%,7,-20%,C,-20%,D,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,
11,Zumo Coco Pago,9002515427380,,['en:gluten-free'],['France'],[],[],?,98,410 kj(98 kcal),"3,9","3,5",14,14,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pagovred sensation - Pago,9002515458186,['Pago'],['en:gluten-free'],['France'],[],[],?,53,222 kj(53 kcal),"0,5",0,12,12,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fancy Gold Trüffel Kaffee 200g Packung Maître Truffout,9002859038761,,['Fabriqué en France'],['France'],[],[],?,614,2569 kj(614 kcal),"47,2","35,4",40,"33,5","4,9","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mini Muffins Cacao & Hazelnut 8er 240g Blister Meister Moulin - 240g,9002859042843,['Meister Moulin'],,['France'],"['farine de blé ', '26%', 'sucre', 'huile végétale ', 'soja', 'garniture au cacao et aux noisettes 20%: ', 'sucre', 'eau', 'sirop de glucose-fructose', 'graisse végétale ', 'palme', '\rcomposants du lait ', 'lactosérum à base de lait', ' ', '1%', 'dextrose', 'cacao maigre en poudre', 'huile végétale ', 'tournesol', 'amidon modifié', 'pâte de noisettes', '\rémulsifiant: E322 ', 'soja', ' conservateur: E202', ' acidifiant E330', ' arômes', 'vanille', 'Œufs', 'sirop de glucose', ""conservateur d'humidité: E420i"", 'E422', ' poudre à lever: \rE450i', 'E500ii: sel', 'conservateur: E200', 'arômes']",['Huile de palme'],?,430,1799 kj(430 kcal),19,"4,2",60,29,"4,2","0,7","0,28",Mini quatre-quarts fourré au cacao et aux noisettes (20%),240 g,['Plastic'],"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,19 g,en quantité modérée,4.2 g,en quantité modérée,29 g,en quantité élevée,0.7 g,en quantité modérée,,+9%,+8%,-6%,+12%,+23%,+8%,-19%,-6%,-6%,18,+17%,D,+17%,,,,4,,,,,,,,"['E322 - Lécithines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E420i - D-glucitol', 'E422 - Glycérol', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']","['Œufs', 'Soja']",['Huile de palme'],,,,,
15,"Vinegar ""aceto Balsamico Di Modena"" 500ml Bottle Piacelli - 500mL",9002859043048,['Piacelli'],['Fabriqué en Italie'],['France'],['wine vingare'],[],?,64,268 kj(64 kcal),0,0,11,11,"0,6","0,1","0,04",,500 mL,,"['en:Vinaigres', 'en:Vinaigres balsamiques', 'en:Vinaigres balsamiques de Modène']",,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité modérée,0.1 g,en faible quantité,,,,,,,,,,,2,,B,,,,,,,,,,,,,,,,,,,,
16,Knusprige Backerbsen 300g Beutel Niko,9002859044717,,,['France'],[],[],?,555,2322 kj(555 kcal),35,17,50,2,8,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tomato Ketchup,9002859047862,,"[""Fabriqué dans l'UE""]",['France'],[],[],?,55,230 kj(55 kcal),"0,2",0,12,7,"0,8",0,0,,,,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,0.2 g,en faible quantité,0 g,en faible quantité,7 g,en quantité modérée,0 g,en faible quantité,,-48%,-48%,-18%,-100%,-47%,-64%,-38%,-100%,-100%,1,-92%,B,-92%,B,,,,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,,
18,Flintstones cerealien honey drops - Gina,9002859047985,['Gina'],,"['France', 'Espagne']",[],[],?,391,1636 kj(391 kcal),"4,1","0,7",78,"39,4","8,2","0,25","0,1",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,4.1 g,en quantité modérée,0.7 g,en faible quantité,39.4 g,en quantité élevée,0.25 g,en faible quantité,,-2%,-2%,-53%,-68%,+17%,+136%,-12%,-30%,-30%,13,+141%,D,+141%,C,,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,,,
19,"Chocolate Sticks mint flavour, 75G",9002859053801,,,['France'],[],[],?,524,2192 kj(524 kcal),28,17,62,60,"2,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Feine Kokoskugeln Im 300g Beutel Von Papagena,9002859055027,,"[""Fabriqué dans l'UE""]",['France'],[],[],?,631,2640 kj(631 kcal),46,25,47,42,"4,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
