,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,origin_detail,manufacturing,allergens,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,markets,ingredients_origins,link,brand_owner,producer_info,generic_name,palm_ingredients
0,Original senza zuccheri aggiunti,5000357107983,['France'],[],[],?,250,1046 kj(250 kcal),"0,6","0,6",97,"1,5","0,5","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jus multifruit bio,3274936603704,['France'],[],[],?,48,201 kj(48 kcal),0,0,12,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mini Bones,4062911003484,['France'],[],[],?,40,167 kj(40 kcal),4,4,50,20,30,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,836,0894545000836,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bäckerkrönung Weizen Toastbrötchen,22039736,['France'],[],[],?,221,925 kj(221 kcal),"8,9","8,3",43,"3,6","8,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gelée de pomme 100% Belchard,3760025710083,['France'],[],[],?,?,,?,,?,,?,0,0,"['EMB 17179', 'Gonds (Charente-Maritime, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mini calissons,3760018273380,['France'],[],[],?,458,1916 kj(458 kcal),"20,1","1,7","58,9","50,4","9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saucisson à cuire superieur,0206556031165,['France'],[],[],?,251,1050 kj(251 kcal),"19,8","7,8","0,9","0,7","17,1","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Confiture Abricot,50745104,['France'],[],[],?,272,1138 kj(272 kcal),0,0,66,66,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sardines genereuses,3263670006094,['France'],[],[],?,245,1025 kj(245 kcal),17,"4,1",0,0,23,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Curry madras massala hot,3471540082059,['France'],[],[],?,?,,?,,?,,?,,,"['EMB 77215A', 'Gretz-Armainvilliers (Seine-et-Marne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Confiture,3174061039112,['France'],[],[],?,173,724 kj(173 kcal),"0,5","0,1",40,36,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tempura Onion Bhajis,29033652,['France'],[],[],?,270,1130 kj(270 kcal),"19,2",3,"17,1","4,2","5,5",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Cracke integrali,8023797097680,['France'],[],[],?,424,1774 kj(424 kcal),12,"1,4",66,2,11,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pain de mie 7 céréales,3029330072461,['France'],[],[],?,288,1205 kj(288 kcal),"6,5","0,8",44,"6,7","8,7",1,"0,4",,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Miele di acacia,8023797032933,['France'],[],[],?,322,1347 kj(322 kcal),0,0,0,80,"0,6",,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,,+11%,+11%,-100%,-100%,-100%,+13%,+73%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,
16,Carrefour Monviso Sprkling Water,80472896,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Baguette excellente Ble Crc,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Calamars farcis aux encornets ( surgelés),8420902035160,['France'],[],[],?,69,289 kj(69 kcal),"1,1","0,8","0,6","0,5",14,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Jus de poires des alpes,3534770000153,['France'],[],[],?,61,255 kj(61 kcal),"0,1",0,15,"13,4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Rillettes pure volaille,3760164970010,['France'],[],[],?,289,1209 kj(289 kcal),25,7,"2,8",0,14,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Buonisssima cioccolata funzionale linea fondente,8017331061909,['France'],[],[],?,543,2272 kj(543 kcal),"43,7","27,2","28,5","1,6",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Donut sucre,0202952005250,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"préparation à base d'algues, d'échalotes et de citron - algae - 500g",3467740040111,['France'],[],[],?,?,,?,,?,,?,,,,['Produit en Bretagne'],,"[""Préparation d'algue""]",,,,,,,,,,,,,,,,,,,,,,500g,['Plastique'],['Algae'],,,,,,,,,,,,,,,,,,,,
24,Senza glutine capricci di mare anelli alla romana - Pescanova,8410063063034,['France'],[],[],?,219,916 kj(219 kcal),"10,6",1,"24,5",2,"5,7","1,68","0,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pescanova'],,,,,,,,,,,,,,,,,,,,
25,Pâtes fraiches aux oeufs avec farce,9054931983070,['France'],[],[],?,246,1029 kj(246 kcal),"6,2","2,6","35,2","1,1","12,4","1,09","0,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Epices a massale curry de la reunion,3471541344934,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MiniMINI stick piccanti - Fratelli Beretta,8007660453223,['France'],[],[],?,2,8 kj(2 kcal),32,25,32,23,35,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fratelli Beretta'],,,,,,,,,,,,,,,,,,,,
28,Pitta kebab,5410803060005,['France'],[],[],?,678,2837 kj(678 kcal),"74,8","5,1","0,1","0,1","1,2","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Filet haddock transformé France,0207604026768,['France'],[],[],?,75,314 kj(75 kcal),"0,1","0,098","1,3",0,"17,3","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Poulet Blanc,0203339026172,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Thai Black Jasmine,8855273020062,['France'],[],[],?,354,1481 kj(354 kcal),"3,5",1,69,"2,6","9,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,speculoos à l'épeautre,81192496,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Oat And Honey Granola Bars - Tesco,5057753493516,['France'],[],[],?,490,2050 kj(490 kcal),"25,1","12,1","55,6","18,7","7,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,['Tesco'],,,,,,,,,,,,,,,,,,,,
34,Cous cous vegetale tempestini,8001246209754,['France'],[],[],?,178,745 kj(178 kcal),"6,2","1,1",24,22,47,"0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Rescue Pastiglie Ribes Nero 50,5000488108613,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,7290017068411,7290017068411,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,FUET EXTRA,8421395005333,['France'],[],[],?,478,2000 kj(478 kcal),38,14,"3,3","2,6",30,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Galettes farine de blé noir agriethique 6 x 60 g - Tre Galette - 360g,3507001000093,['France'],"['Farine de blé noir* 51%', 'eau', 'miel', 'sel de Guérande', ' *Ingrédient issu du commerce équitable français', '\r Allergènes: Traces de blé', 'œuf et lait']",['Non végétalien'],813,192,813 kj(192 kcal),"1,8","0,4","35,3","1,7","7,3","1,21","0,484",,"['Commerce équitable', 'Nutriscore', 'Nutriscore E', 'Produit en Bretagne', 'Agri-Éthique France', ""Emballage papier kraft permettant de réduire l'usage du plastique de 50\xa0%"", 'Farine responsable']",A,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",1.8 g,en faible quantité,0.4 g,en faible quantité,1.7 g,en faible quantité,+9%,+8%,+10%,-54%,-75%,+29%,+137%,+7%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,360 g,['Emballage-papier-kraft'],['Tre Galette'],Bretagne,"['Z.A de Kerboulard', '56250 Saint Nolff']",['Gluten'],3,1.21 g,en quantité modérée,-8%,-8%,1,-81%,B,-81%,,,,,,,,
39,Crêpes de froment fraîches farine agriethique 4 x 50 g - Tre Galette - 200g,3507001000055,['France'],"['Farine de blé* 37%', 'œufs entiers plein air 20%', 'lait entier frais', 'sucre 13%', 'bière blonde ', 'orge', 'eau', 'huile de tournesol', 'sel', '* Ingrédient issu du commerce équitable français', 'Allergènes : gluten', 'œuf et lait']",['Non végétalien'],1169,278,1169 kj(278 kcal),8,2,"41,9","15,7","8,8","0,41","0,164",,"['Commerce équitable', 'Produit en Bretagne', 'Agri-Éthique France', ""Emballage papier kraft permettant de réduire l'usage du plastique de 50\xa0%"", 'Farine de froment équitable française', 'Oeufs de volaille élevée en plein air']",A,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']",8 g,en quantité modérée,2 g,en quantité modérée,15.7 g,en quantité élevée,-0%,-4%,-4%,+3%,-31%,-10%,-23%,+15%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,200 g,['Emballage-papier-kraft'],['Tre Galette'],Bretagne,"['Z.A de Kerboulard', '56250 Saint Nolff']","['Œufs', 'Gluten', 'Lait']",4,0.41 g,en quantité modérée,-48%,-48%,2,-81%,B,-81%,,,,,,,,
