,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,labels,eco_score,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,allergens,additives,generic_name,link,palm_ingredients,origin_detail
0,Escalope de dinde,0217638032932,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Papaye lamelle deshydratee,2600432014699,['France'],[],[],?,342,0,85,0,1431 kj(342 kcal),0,76,"0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pomelo Corsica comptoir de Corse,3760139220218,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SAU ZERO Choco,7427029591679,['France'],[],[],?,20,"0,2","2,6","0,5",84 kj(20 kcal),0,1,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Petits filous fruits misés,3329770078918,['France'],[],[],?,86,"2,4",10,"5,3",360 kj(86 kcal),"1,6","9,4","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Le nostre selezioni dal mondo noci sgusciate mezzi frutti,8028618003963,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Saumon asc,3250393048661,['France'],[],[],?,?,?,?,?,,,,,,['ASC-C-01912'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mini tuiles au cassis,3760183296085,['France'],[],[],?,338,14,46,37,1414 kj(338 kcal),"5,3",12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pain au chocolat beurre aop,2020003162534,['France'],[],[],?,386,22,42,"6,7",1615 kj(386 kcal),15,12,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Le bio nature,3368850006984,['France'],[],[],?,68,"3,6","5,4","3,3",285 kj(68 kcal),"2,4","5,4","0,13","0,052",,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pâte à sucre chocolat,3700105232890,['France'],[],[],?,391,"6,3","82,6","0,7",1636 kj(391 kcal),"3,9",81,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pâte à sucre gout vanille,3700105230698,['France'],[],[],?,386,"4,3","87,6",0,1615 kj(386 kcal),"2,7","85,1","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,escalope de poulet - Le Gaulois - 2,2276755018692,['France'],['poulet'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,"1,3",?,23,,,,"0,18","0,072","['FR 72.264.002', 'Sablé-sur-Sarthe (Sarthe, France)']","['Sans OGM', 'Nutriscore', 'Nutriscore A']",B,2,['Film en plastique'],['Le Gaulois'],"['Viandes', 'Viandes fraîches', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",['France'],['France'],['Leclerc'],1,1.3 g,en faible quantité,0.18 g,en faible quantité,,,-52%,,+6%,-59%,-59%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,
