,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,additives,nova_score,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,producer_info,allergens,palm_ingredients,brand_owner,origin_detail
0,Vinaigre de riz,8858960300010,B,"['Vinaigres', 'Vinaigres de riz']",['en:gluten-free'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,11.3 g,en quantité élevée,?,,17,-41%,71 kj(17 kcal),-40%,0,-100%,0,-100%,2,-61%,2,+19%,1,+182%,"11,3",+2129%,"4,52",+2129%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,,,,,,,
1,Pain 6 cereales,0231022010825,,,,['France'],[],[],,,,,,,,,?,,272,,1138 kj(272 kcal),,"4,3",,"0,7",,60,,"1,4",,14,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,fond de volaille - titok - 90g,3760103007180,,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Sauces', 'Bouillons', 'Marmites de bouillon', 'Sauces déshydratées', 'en:Poultry-stock-for-sauce-and-cooking-dehydrated']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['amidon de maïs', 'sel', 'extrait de levure,viande de volail 4 %', 'antioxydant:extrait de romarin', 'oignon', 'ail', 'huile de tournesol', ' poivre blanc romarin curcuma']",[],,,,,,,,,1300,,307,+339%,1300 kj(307 kcal),+255%,"3,1",-23%,"0,5",-75%,62,+520%,"1,3",-61%,"7,3",+162%,17,+39%,"6,8",+39%,,,,,,,,90 g,['Metal'],['Titok'],['France'],['olonne sur mer'],['BIO4022'],3760103007180,['Bio'],['E392 - Extrait de romarin'],3,,,,,,,,,,
3,Camomille - 25 Sachets,3250391370672,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Amaretto d'Italia - Matilde Vicenzi - 175g,8000350006105,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,"['France', 'Italie']",[],[],10.2 g,en quantité modérée,1 g,en faible quantité,76 g,en quantité élevée,0.13 g,en faible quantité,?,,433,-9%,1812 kj(433 kcal),-9%,"10,2",-51%,1,-90%,77,+20%,76,+158%,"6,9",+6%,"0,13",-78%,"0,052",-78%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,175 g,['Plastica'],['Matilde Vicenzi'],,['San Giovanni Lupatoto'],,,,,,12,-39%,D,-39%,,,,,,
5,Natural azucarado No lactosa! - Carrefour - 500g(4x 125g),3560071007928,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",['Sans lactose'],"['France', 'Espagne']",[],[],3.5 g,en quantité modérée,2.3 g,en quantité modérée,11 g,en quantité modérée,0.1 g,en faible quantité,378,+36%,?,,378 kj(90 kcal),+27%,"3,5",-3%,"2,3",-1%,11,+126%,11,+148%,"3,2",-23%,"0,1",-17%,"0,04",-17%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,500 g(4 x 125 g),,['Carrefour'],,,['ES 15.00008/S CE'],,['Carrefour'],,,4,+607%,C,+607%,"Leche fermentada natural azucarada, sin lactosa.",Fabricado por RGSEAA 15.00008/S para Interdis.,,,,
6,Véritables truffe,3173287325603,,,,['France'],[],[],,,,,,,,,?,,605,,2531 kj(605 kcal),,46,,28,,40,,38,,"4,7",,"0,001",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Thé earl grey - U - 100g,3256226397388,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,['France'],"['Thé noir Ceylan 95 %', 'huile essentielle de bergamote 3 %', 'pétales de bleuets 2 %']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,100 g,"['doypack vrac', 'sachet vrac']",['U'],,,,,['Magasins U'],,1,,,,,,,,,,
8,Panettone,3760077535818,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,['France'],[],[],14.9 g,en quantité modérée,10 g,en quantité élevée,22 g,en quantité élevée,0.7 g,en quantité modérée,?,,360,-4%,1506 kj(360 kcal),-3%,"14,9",-1%,10,+11%,"53,2",+3%,22,-15%,"8,4",+23%,"0,7",+59%,"0,28",+59%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,20,+8%,E,+8%,,,,,,
9,6 Samossas aux légumes sauce aigre douce -  - 170g,3222477062559,E,"['Plats préparés', 'Samoussas', 'Samoussas aux légumes']",,['France'],"['samossa aux légumes 6x25g 88% : chou pommé 22,8%* - farine de blé - eau - chair de tige noix de coco - carotte 8,3%* - échalote 8,3%* - poivron vert 5,2%* - huile de son de riz - sel - huile de noix de coco - sucre - poivre - curry en poudre 0,1% ', 'graine de moutarde - graine de coriandre - graine de fénugrec - piment - poivre - graine de fenouil - graine de cumin - farine de blé - curcuma - sel', ' *pourcentages exprimés sur le samossa aux légumes', ' sauce aigre douce 20g 12% : ketchup 23,9%*', 'tomate - sucre - vinaigre - sel - eau', ' - sucre - vinaigre - sauce soja 5,4%* [extrait de graine de soja ', 'eau - graine de soja dégraissée - sel - blé', ' - eau - sucre - sel] - ananas 4,6%* - oignon 3,4%* - eau - amidon transformé de tapioca - poivron vert 2,3%* - sel - huile de son de riz - ail', ' *pourcentages exprimés sur la sauce aigre douce', "" traces d'arachides"", 'sulfites', 'crustacés', 'graines de sésame', 'lait', 'mollusques', 'fruits à coque', 'oeufs et poissons']",[],6.9 g,en quantité modérée,2.5 g,en quantité modérée,8.1 g,en quantité modérée,1.6 g,en quantité élevée,824,,196,+8%,824 kj(196 kcal),+7%,"6,9",+4%,"2,5",+140%,29,+12%,"8,1",+100%,"3,3",-23%,"1,6",+108%,"0,64",+108%,94.1%,2.8%,0.7%,0.7%,0.4%,1.4%,7,170 g,,,,,,,,['E14XX - Amidons modifiés'],4,10,+196%,C,+196%,"6 galettes de blé (38,1%) préfrites garnies d'une farce aux légumes et au curry (61,9%), accompagnées d'un sachet de sauce aigre-douce à base de ketchup, légumes, sauce soja et ananas, surgelés",,"['Gluten', 'Moutarde', 'Soja', 'Samossa aux légumes 6x25g 88', 'Sauce aigre douce 20g 12', 'Samossa aux légumes 6x25g 88\xa0%', 'Sauce aigre douce 20g 12\xa0%']",,,
