,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,generic_name,categories,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,link,palm_ingredients,ingredients_origins,traceability_code,brand_owner,origin_detail
0,"Balisto Muesli Mix, Bars, Chocolat, 20 Sacs",5000159418553,['Balisto'],"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['France'],[],[],?,93,389 kj(93 kcal),25,11,61,44,"6,2","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M &M'S 1KG Choco Maitosuklaata Rapealla Sokerikuorella - 1kg,5000159441896,,,"['Autriche', 'France']",[],[],?,480,2008 kj(480 kcal),19,"11,7","70,7","67,3",5,"0,13","0,052",1 kg,"['Stück', 'mixed plastic-packet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Twix Minis 443GR,5000159473149,['Twix'],,['France'],[],[],?,99,414 kj(99 kcal),"4,7","2,8",13,"9,8","0,9","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bounty Mini - 443g (14pièces de 28.5g),5000159473507,['Bounty'],,"['Belgique', 'France']","['Sucre', 'noix de coco séchée ', '21%', 'sirop de glucose', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre', 'émulsifiants ', 'lécithine de soja', ' E471', 'lactose', 'matière grasse du lait', 'petit-lait en poudre', 'humectant ', 'glycérol', 'sel', 'extrait naturel de vanille']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",2036,487,2036 kj(487 kcal),"25,7","21,2","58,9","48,2","3,7","0,25","0,1",443 g (14 pièces de 28.5 g),['Sachet plastique'],C,Chocolat au lait fourré de noix de coco blanche et tendre,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées à la noix de coco']",['Pays-Bas'],['Coop'],"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E422 - Glycérol']","['Lait', 'Soja']",4,25.7 g,en quantité élevée,21.2 g,en quantité élevée,48.2 g,en quantité élevée,0.25 g,en faible quantité,-0%,+1%,+1%,0%,+4%,+6%,+8%,-14%,+1%,+1%,27,+8%,E,+8%,74.2%,16.2%,3.8%,4.7%,1.1%,0.0%,62,,,,,,
4,McVitie's Hobnobs Choc Chip,5000168176000,"[""McVitie's"", 'McVities']",,['France'],[],[],?,471,1971 kj(471 kcal),21,"9,8","59,9","27,7","7,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Italian White Wine Vinegar - Sharwood's,5000197520386,"[""Sharwood's"", 'Morrisons']","['Huile de palme durable', 'Sans huile de palme']","['France', 'Royaume-Uni']","['Sugar', 'Mangoes ', '45%', 'Salt', 'Acid ', 'Acetic Acid', 'Spices', ' Allergy Advice: May contain sesame']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,240,1004 kj(240 kcal),"0,4",0,"59,5","44,7","0,5","2,9","1,16",,['glass-jar'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Chutneys de fruit', 'Chutneys de mangue']",,,['E260 - Acide acétique'],,3,0.4 g,en faible quantité,0 g,en faible quantité,44.7 g,en quantité élevée,2.9 g,en quantité élevée,,+34%,+32%,-2%,-100%,+38%,+11%,-8%,+157%,+157%,16,+33%,D,+33%,,,,,,,,,,,,,
6,Napolina Olive Oil 500Ml - 500mL,5000232919892,['Napolina'],,['France'],"['Olive oil composed of refined olive oils and virgin olive oils', ' Oil comprising I exclusively olive oils that have undergone refining and oils obtained directly from olives Napolina is are istered trademarkof tlapolina Ltd', 'Packed in the EU for tlapolina Ltd„ Royal Liver Building', 'Pier Head', 'Liverpool L3 INX', 'UK', 'www', 'napolina', 'com']",[],3382,823,3382 kj(823 kcal),"91,4","13,1",0,0,0,0,0,500 mL,['pet-bottle'],D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,91.4 g,en quantité élevée,13.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,-4%,-6%,-4%,-6%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,
7,Yogurt coated cranberries,5000234051262,,,['France'],[],[],?,468,1958 kj(468 kcal),"19,4",12,"70,6","63,2",2,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cheddar Cheese - Tesco,5000358279658,"['Tesco', 'Waitrose']",['Végétarien'],"['France', 'Royaume-Uni']","['Peanuts ', '45%', 'Rapeseed Oil', 'Potato Starch', 'Modified Maize Starch', 'Maize Starch', 'Caster Sugar', 'Modified Tapioca Starch', 'Sugar', 'Wheat Starch', 'Salt', 'Buttermilk Powder ', 'Milk', 'Onion Powder', 'Soy Sauce Powder ', 'Soya Bean', 'Maltodextrin', 'Salt', 'Wheat', 'Garlic Powder', 'Acacia', 'Yeast Extract Powder', 'Milk Sugar', 'Paprika', 'Tomato Powder', 'Parsley', 'Acid ', 'Citric Acid', 'Chilli Powder', 'Sunflower Oil', 'Chilli Extract', 'Ginger Powder', 'Flavouring', 'Coriander Powder', 'Fennel Seed', 'Colours ', 'Curcumin', 'Paprika Extract', ' Allergy advice For allergens', 'including cereals containing gluten', 'see ingredients in bold', ' Alsot may contain Other nuts', ' V Caution Not suitable for small children Who can choke on nuts', ' Suitable for vegetarians']","['Non végétalien', 'Végétarien']",?,534,2234 kj(534 kcal),"34,2","4,9","38,1",8,"15,9","1,7","0,68",,['mixed plastic film-packet'],,,,,,"['E330 - Acide citrique', 'E100 - Curcumine', 'E160c - Extrait de paprika']","['Gluten', 'Lait', 'Arachides', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Spring Lemon Lime Flavoured Sparkling Spring Water,5000382102205,,,['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,5","0,5",0,"0,01","0,004",,['pet-bottle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
