,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,traceability_code,ingredients_origins,markets,palm_ingredients,producer_info,origin_detail
0,Pesto au Basilic - Panzani - 265g,3038359001604,C,"Préparation à base de Basilic, d'huile de tournesol et de fromages italiens",265 g,"['Bouteille', 'Bouchon', 'Plastique', 'Frais']",['Panzani'],"['Epicerie', 'Sauces', 'Sauces pour pâtes', 'Sauces Pesto', 'Pestos au basilic']","http://www.panzani.fr/produits/toute-gamme-panzani/pates/pestos,produits,32,13,228.html",['France'],"['Basilic 29 %', 'huile de tournesol 21 %', 'eau', 'sirop de glucose', '  farine de __NOIX DE CAJOU_', 'FROMAGES italiens** 3 % ', 'GRANA PADANO ', 'ŒUF', 'PECORINO ROMANO', 'protéines de LAIT', 'sel', 'fibres végétales', 'amidon de maïs', 'arômes ', 'fruits à coque', 'PIGNONS 0,5 %', 'amidon transformé de mais', 'acidifiant : acide lactique', 'conservateur : sorbate de potassium']","['E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Lait', 'Fruits à coque', 'PECORINO ROMANO', 'PIGNONS']",['Non végétalien'],4,26 g,en quantité élevée,3.4 g,en quantité modérée,6.1 g,en quantité modérée,2.2 g,en quantité élevée,?,,310,-31%,1297 kj(310 kcal),-31%,26,-41%,"3,4",-48%,15,+154%,"6,1",+166%,"3,4",-28%,"2,2",-11%,"0,88",-11%,13,-33%,D,-33%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,
1,Bolognaise au poulet - Panzani,3038359004063,,,,,['Panzani'],,,['France'],"['Pulpe de tomates avec morceaux et purée de tomates ', '46%', 'poulet 18%', 'eau', 'légumes 12% ', 'oignons', 'carottes', 'poivrons rouges', 'huile de tournesol', 'sucre', 'sel', 'amidon transformé de ma ', 'antes aroma', 'arômes ', 'LAIT', 'vin blanc', 'ail']",['E14XX - Amidons modifiés'],['Lait'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,89,,372 kj(89 kcal),,"4,2",,"0,9",,7,,"5,3",,5,,"1,3",,"0,52",,,,,,,,,,,,,['Sans colorants'],,,,,,,
2,Sushi rolls - Comptoir Sushi - 382g,3038680020831,,"Préparation culinaire à base de riz, de produits de la mer et de légumes et son assortiment de sauces",382 g,['Boîtes'],['Comptoir Sushi'],"['Plats préparés', 'Sushis et makis', 'Sushis']",,['France'],[],,"['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Moutarde', 'Graines de sésame']",[],,6.4 g,en quantité modérée,1.8 g,en quantité modérée,2.3 g,en faible quantité,1.6 g,en quantité élevée,?,,160,+2%,669 kj(160 kcal),+3%,"6,4",+52%,"1,8",+90%,20,-16%,"2,3",-47%,"5,6",-1%,"1,6",+5%,"0,64",+5%,6,-6%,C,-6%,,,,,,,,,['Transformé en France'],"['FR 62.160.113 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,,,,
3,Douceur de crabe - Delpierre,3038680041904,,,,,['Delpierre'],,,['France'],[],,,[],,,,,,,,,,?,,139,,582 kj(139 kcal),,"8,3",,"4,9",,"8,5",,"1,4",,7,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,
4,Filets de morue salée - Delpierre - 400g,3038680047326,E,,400 g,"['Barquette', 'Plastique']",['Delpierre'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Morues', 'Filets de cabillaud']",,['France'],"['Cabillaud ', 'Gadus macrocephalus - pêché en Océan Pacifique FAO 67', 'avec lignes et hameçons', 'casiers et pièges', 'sel ', '18 % minimum']",,['Poisson'],"['Non végétalien', 'Non végétarien']",3,0.8 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,4 g,en quantité élevée,330,-11%,78,-33%,330 kj(78 kcal),-30%,"0,8",-74%,"0,4",-2%,0,-100%,0,-100%,18,+15%,4,+747%,"1,6",+747%,5,,C,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,"['Pêché à la ligne', 'Pêché au casier', 'Poisson sauvage']",['France'],"['FR 17.197.004 CE', 'Jonzac (Charente-Maritime, France)']","['FAO 67', 'Océan Pacifique']",['Carrefour'],,,
5,Filets de harengs fumés - Delpierre,3038680063166,B,,,,['Delpierre'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Harengs', 'Poissons fumés', 'Harengs fumés', 'Filets de harengs']",,['France'],[],,,[],,12 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,10.5 g,en quantité élevée,?,,180,-2%,753 kj(180 kcal),-1%,12,-2%,3,+1%,"1,2",+177%,0,-100%,17,+1%,"10,5",+185%,"4,2",+185%,14,+1%,D,+1%,64.6%,0.0%,6.7%,24.9%,3.0%,0.8%,76,['Fabriqué en France'],,,,,,,
6,Viande hachee bolognaise - Socopa - 650g,3039050041050,,,650 g,,['Socopa'],,,['France'],"['VIANDE BOVINE ', '73""', 'EAU', 'FIBRES VEGETALES ', '27%', 'roMAIE OEXTROSE', 'ACIOlFtANTS: 826', '-262', 'VINAIGRE', 'AltfOOU', 'Stt,AROMES', 'AROMATIQUES', 'BETTERAVE ROUGE EH POUDRE', 'TOURNESOL', '800', ' EN FRANCE AltURSNUTRlTtONNE11ES Pour 100g MOYENNES']",,,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,167,,699 kj(167 kcal),,10,,"3,7",,"1,3",,"0,6",,18,,"0,7",,"0,28",,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,
7,Steak Haché Frais Pur Boeuf Race Charolaise,3039050143099,E,,,,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",,['France'],[],,,[],,15 g,en quantité modérée,6.2 g,en quantité élevée,0 g,en faible quantité,0.2 g,en faible quantité,?,,207,+11%,866 kj(207 kcal),+10%,15,+21%,"6,2",+19%,0,-100%,0,-100%,18,-6%,"0,2",-9%,"0,08",-9%,3,+9%,C,+9%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,
8,Viande hachée nature 15% MG Socopa,3039050335661,,,,,['Socopa'],,,['France'],"['INGRE01ENrs: BOVINE ORIGINE FRANCE ', '75%', 'EAU', 'FIBRES VEGEVALEs ', '28""', 'ACIOlflANTS•', ' 026', 'E262', 'AMIDON', 'sa', 'AROMC-', 'CETTERAVE ROUGE EN POUDRE', 'ANTIOXYDANT: ', '-300', ' FRANCE']",['E262 - Acétates de sodium'],,[],,,,,,,,,,?,,204,,854 kj(204 kcal),,15,,7,,"5,8",,"0,8",,"0,4",,"0,7",,"0,28",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,
9,Haché l'Ultra Tendre - Socopa - 100g,3039050343178,,,100 g,,['Socopa'],,,['France'],"['VtANûE 80VlNE ORIGINE FRANCE ', '75%', 'EAU', 'FIBRES ', '2F4', 'ACIOlftANTS: 826', '-262', 'AMIDON', 'SEL', 'AROlltr-', 'ROUGE EN POUDRE', '800', ' EN fRANCE VALEURS NUTRITIONNEIIES Pour MOYENNES']",,,[],,,,,,,,,,?,,204,,854 kj(204 kcal),,15,,7,,"1,9",,"0,4",,13,,"0,7",,"0,28",,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,"['FR 84.054.001 CE', 'Isle-sur-la-Sorgue (Vaucluse, France)']",,,,,
