,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,brand,markets,generic_name,producer_info,traceability_code,origin_detail,allergens,nova_score,additives,palm_ingredients,manufacturing,link,ingredients_origins,brand_owner
0,AloeVera Green Tea & Lemon,7350021420251,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",['France'],[],[],?,,36,+200%,151 kj(36 kcal),+215%,0,-100%,0,-100%,9,+302%,0,-100%,"0,02",-90%,"0,01",-32%,"0,004",-32%,6,+43%,D,+43%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pain Chocolat x10 pur beurre - 55g,2030500475914,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,55 g,['surgelé'],,,,,,,,,,,,,,,,,,,,,,,
2,Gelée Coings 375G,3263627973363,,,['France'],[],[],?,,246,,1029 kj(246 kcal),,"0,2",,0,,60,,58,,"0,2",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Amandes décortiquées,3760099530662,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,"['Bio', 'Bio européen', 'ES-ECO-023-MA', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,
4,120G Thon Huile Vegetale Adonis -,5601203122114,E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile de tournesol""]",['France'],[],[],?,,213,-2%,891 kj(213 kcal),-2%,13,-6%,"2,1",+17%,0,-100%,0,-100%,23,+2%,"1,38",+27%,"0,552",+27%,5,+62%,C,+62%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,13 g,en quantité modérée,2.1 g,en quantité modérée,0 g,en faible quantité,1.38 g,en quantité modérée,,,,,,,,,,,,,,
5,Barquitas mexicanas integrales 8 unidades envase 193 g - Old El Paso,8410076472854,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']","['France', 'Espagne']",[],[],?,,302,+20%,1264 kj(302 kcal),+20%,7,+103%,1,+86%,"47,9",+12%,2,-45%,"9,3",+6%,1,-15%,"0,4",-15%,2,+201%,B,+201%,,,,,,,,,,['Sans conservateurs'],7 g,en quantité modérée,1 g,en faible quantité,2 g,en faible quantité,1 g,en quantité modérée,['Old El Paso'],,,,,,,,,,,,,
6,Sélection Dessert crème de Marrons - Migros,7616600701112,,,['France'],[],[],?,,234,,979 kj(234 kcal),,"15,6",,"8,5",,20,,18,,"3,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,['Migros'],,,,,,,,,,,,,
7,Cornichon extra-fin,3217450006668,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",['France'],[],[],?,,16,-41%,67 kj(16 kcal),-37%,"0,2",-32%,"0,2",+193%,"0,7",-80%,0,-100%,"1,2",+19%,"1,5",-13%,"0,6",-13%,1,-54%,B,-54%,,,,,,,,,['Bocal'],,0.2 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,,,,,,,,,,,,,,
8,café sensation burundi - Auchan,3245678169445,,,['France'],[],[],?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,['Auchan'],['Auchan'],,,,,,,,,,,,
9,Mangues -,3760222091992,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mangues séchées']",['France'],[],[],?,,275,-17%,1151 kj(275 kcal),-17%,0,-100%,0,-100%,70,-7%,50,-13%,5,+165%,0,-100%,0,-100%,5,-25%,C,-25%,,,,,,,,,,"['Bio', 'Bio européen']",0 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,0 g,en faible quantité,,,,,,,,,,,,,,
