,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,packaging,traceability_code,ingredients_origins,quantity,generic_name,additives,allergens,nova_score,manufacturing,markets,link,palm_ingredients
0,Escalopes extra fines de dinde,0212693022706,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Nutriscore', 'Nutriscore A']",['France'],[],[],1.3 g,en faible quantité,0.4 g,en faible quantité,0.4 g,en faible quantité,0.13 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,"1,3",-2%,"0,4",-1%,"0,5",-83%,"0,4",-48%,25,+9%,"0,13",-77%,"0,052",-77%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,
1,Cordon de volaille - Sélection des comptoirs,3760239183857,,,"['Bio', 'Bio européen']",['France'],[],[],,,,,,,,,?,,216,,904 kj(216 kcal),,10,,"2,2",,17,,"0,6",,14,,"1,2",,"0,48",,,,,,,,,,,,,['Sélection des comptoirs'],,,,,,,,,,,,
2,2 filets poulet fermier loué,0217247046702,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Saucisses goût chorizo,3266110801150,,,,['France'],[],[],,,,,,,,,?,,263,,1100 kj(263 kcal),,20,,"7,1",,4,,"2,7",,18,,"1,7",,"0,68",,,,,,,,,,,,,,"['Barquette', 'Film en plastique']","['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",,,,,,,,,,
4,Assortiment duo rolls et nigiri,3760253240123,,,,['France'],[],[],,,,,,,,,?,,191,,799 kj(191 kcal),,6,,"0,7",,25,,"4,9",,"8,1",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
5,Soft bakes breakfast,59558187,,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,14,,"3,2",,60,,20,,"5,9",,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,,,,,
6,limouzi saveurs,3760268980366,,,,['France'],[],[],,,,,,,,,?,,552,,2310 kj(552 kcal),,0,,0,,36,,26,,"7,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rhum passion,3255610048028,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,-100%,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,,,,
8,Les milanaises,0217217031226,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Miche Blanche (Les moulins de Armel),0260003010509,,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,"1,45",,"0,4",,"53,4",,"1,9",,"9,2",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
