,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,ingredients_origins,manufacturing,traceability_code,markets,additives,allergens,nova_score,palm_ingredients,link,producer_info
0,Moules du Pacifique - Odyssée - 500g,3250391101580,C,500g,"['Odyssée', 'Odyssée']","['Produits de la mer', 'Mollusques', 'Moules', 'Moules du Pacifique']",['France'],"['100% chairs de moules* ', 'Mytilus cbilensis', ' Elevées en Océan Pacifique Sud-Est', ' Origine : Chili', ' *Mollusques']",[],2.2 g,en faible quantité,0.6 g,en faible quantité,0.5 g,en faible quantité,0.93 g,en quantité modérée,?,,99,-15%,414 kj(99 kcal),-16%,"2,2",-53%,"0,6",-60%,"4,9",+38%,"0,5",+4%,"14,4",+2%,"0,93",+6%,"0,372",+6%,0,-100%,B,-100%,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,,,,,,,,,,,,,
1,Sandwich au jambon fumé fromage frais ciboulette - Monique Ranou - 135g,3250391101733,C,135 g,['Monique Ranou'],"['Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au fromage', 'Sandwichs au jambon', 'Sandwichs Jambon Fromage', 'Sandwichs polaires']",['France'],"['Garniture 55,8% : jambon cuit standard fumé 53,1% ', 'jambon de porc origine France', 'eau', 'sel', 'sirop de glucose', 'arôme', 'émulsifiant : E451', 'antioxydant : E316', 'conservateur : E250', 'fromage frais 26,6% ', 'lait de vache pasteurisé', 'crème pasteurisée ', 'lait', 'sel', 'ferments lactiques', 'salade', 'mayonnaise allégée ', 'eau', 'huile de colza', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'conservateur : E222', 'sucre', ""vinaigre d'alcool"", ""jaune d'œuf"", 'amidons modifiés', 'sel', 'épaississant : E415', 'ciboulette décongelée 0,4%', '\r Pain suédois décongelé 44,2% : farine de blé', 'eau', 'sucre', 'farine de seigle', 'levure', 'sel', 'huile de colza', 'levain de seigle dévitalisé', ' émulsifiants : E471 - E472e', ' poudre levante : E503', 'agent de traitement de la farine : E300']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",6.8 g,en quantité modérée,3.1 g,en quantité modérée,3.7 g,en faible quantité,1.43 g,en quantité modérée,?,,226,-4%,946 kj(226 kcal),-6%,"6,8",-27%,"3,1",+10%,"30,7",+10%,"3,7",-24%,"9,5",-8%,"1,43",+4%,"0,572",+4%,11,+48%,D,+48%,75.0%,14.2%,6.0%,2.8%,1.5%,0.4%,47,"Sandwichs au jambon cuit standard fumé, fromage frais et ciboulette sur pain suédois","['Barquette', 'Plastique']","['Labels de distributeurs', 'Viande-francaise', 'Sélection Intermarché', 'Viande-porcine-francaise']",['France'],['France'],"['EMB 56251C', 'Theix (Morbihan, France)']",['Intermarché'],"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E222 - Bisulfite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", ""E503 - Carbonates d'ammonium"", 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait', 'Moutarde']",4,,,
2,10 petits Chèvres Doux - Netto - 200g,3250391102174,E,200 g,['Netto'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages pasteurisés']",['France'],"['Lait de chèvre pasteurisé', 'sel', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",20 g,en quantité modérée,14 g,en quantité élevée,1.5 g,en faible quantité,1.4 g,en quantité modérée,?,,252,-11%,1054 kj(252 kcal),-11%,20,-12%,14,-12%,2,+20%,"1,5",+55%,16,-8%,"1,4",+4%,"0,56",+4%,14,+5%,D,+5%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,Fromage de chèvre au lait pasteurisé,"['Plastique', 'Carton']",,,['France'],"['FR 79.299.001 CE', 'Saint-Varent (Deux-Sèvres, France)']",['Netto'],,['Lait'],3,,,
3,Sauce Poivre Vert - Netto - 29g,3250391102549,,29 g,['Netto'],"['Produits déshydratés', 'Sauces au poivre déshydratées']",['France'],"['Farine de blé', 'huile de tournesol en poudre ', 'huile de tournesol', 'sirop de glucose', 'protéines de lait', 'protéines végétales hydrolysées', 'arômes', 'sel', 'oignon', 'poivre vert en grains 3 %', 'extrait de levure', 'exhausteur de goût : glutamate monosodique', 'colorant : caramel', 'épaississant : gomme xanthane', 'ail', 'curcuma']",['Non végétalien'],21 g,en quantité élevée,3.6 g,en quantité modérée,5.5 g,en quantité modérée,14.2 g,en quantité élevée,1697,+41%,?,,1697 kj(406 kcal),+39%,21,+237%,"3,6",+73%,40,-14%,"5,5",-79%,"11,3",+120%,"14,224",+855%,"5,69",+855%,14,+206%,D,+206%,,,,,,,,Préparation déshydratée pour sauce au poivre vert,"['Sachet', 'Papier']",,,['Italie'],,['Netto'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E150 - Caramel', 'E415 - Gomme xanthane']","['Gluten', 'Lait']",4,,,
4,Sauce Béchamel - Netto - 55g,3250391102587,,55 g,['Netto'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Sauces', 'Sauces déshydratées']",['France'],"['Farine de blé', 'huile de tournesol en poudre ', 'huile de tournesol', 'sirop de glucose', 'protéines de lait', 'amidon modifié de tapioca', 'sel', 'fromage fondu en poudre ', 'fromage', 'lactosérum ', 'lait', 'sel', 'exhausteur de goût : glutamate monosodique', 'protéines végétales hydrolysées', 'oignon']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,1807,+47%,?,,1807 kj(432 kcal),+64%,"18,9",+306%,3,+107%,"55,5",+23%,"2,4",-72%,"8,6",+11%,"7,6",-31%,"3,04",-31%,,,,,,,,,,,,Préparation déshydratée pour sauce béchamel,"['Sachet', 'Plastique']",,,['Espagne'],,['Netto'],"['E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait']",4,,,
5,Glace Menthe avec Morceaux de Chocolat - Netto - 1000ml (511g),3250391102624,B,1000 ml (511 g),['Netto'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['France'],"['Eau', 'sucre', 'lactose et protéines de lait', 'matière grasse végétale ', 'coprah', 'sirop de glucose', 'morceaux de chocolat ', '3,5 %', ' ', 'cacao 40 % min', ' ', 'sucre', 'pâte et beurre de cacao', 'émulsifiant : lécithines ', 'soja', 'arôme naturel menthe', 'émulsifiant : E471', 'stabilisants : gomme guar', 'farine de graines de caroube', 'colorants : E141', 'E160a']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",7.7 g,en quantité modérée,6.2 g,en quantité élevée,22.2 g,en quantité élevée,0.17 g,en faible quantité,764,-22%,?,,764 kj(183 kcal),-21%,"7,7",-34%,"6,2",-18%,"25,6",-8%,"22,2",-5%,"1,3",-59%,"0,17",+13%,"0,068",+13%,10,-25%,C,-25%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"['Plastique', 'Surgelé']",,,,"['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']",['Netto'],"['E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E410 - Gomme de caroube', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E160a - Carotènes mélangés']","['Lait', 'Soja']",4,,,
6,"Picodon Chèvre Aop, La Barquette De 2 - 120g",3250391103997,E,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages à pâte molle à croûte naturelle', 'Picodon']",['France'],[],[],26 g,en quantité élevée,20 g,en quantité élevée,1 g,en faible quantité,1.2 g,en quantité modérée,?,,318,-2%,1331 kj(318 kcal),-1%,26,+1%,20,+12%,1,-30%,1,+24%,20,+3%,"1,2",-11%,"0,48",-11%,13,-4%,D,-4%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,,,,,,,
7,Sainte Maure de Touraine Appellation d'Origine Protégée - FE - 250g,3250391104017,E,250 g,['FE'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages à pâte molle à croûte naturelle', 'Sainte-Maure de Touraine']",['France'],"['Lait cru entier de chèvre', 'sel', ""ferments lactiques et d'affinage"", 'présure', 'colorant : charbon végétal', ' Paille de céréale ', 'non consommable']",[],22 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,1139,,?,,1139 kj(272 kcal),-3%,22,-4%,17,0%,"1,1",+11%,0,-100%,18,+1%,"1,3",-7%,"0,52",-7%,13,-4%,D,-4%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,"['FR 37.186.031 CE', 'Pont-de-Ruan (Indre-et-Loire, France)']",['Intermarché'],['E153 - Charbon végétal médicinal'],['Lait'],4,,,
8,Quenelles de veau sauce financière - Netto - 400g,3250391108985,D,400 g,['Netto'],"['Plats préparés', 'Quenelles', 'Quenelles de veau']",['France'],"['Eau', 'quenelles 37% [farine de blé ', 'graisse de bœuf ', 'eau', 'viande de veau 4', '8%', ""blancs d'œufs "", 'sel', 'gluten de blé ', 'lactose ', 'dont _lait', '_ et protéines de lait ', 'extrait naturel de poivre]', 'champignons 3', '1% ', 'champignons', 'eau', 'sel,acidifiant: acide citrique', 'antioxydant: acide ascorbique', ']', 'olives dénoyautées 3', '1% ', 'olives', 'eau', 'sel', 'acidifiant: acide citrique', 'acide lactique', 'concentré de tomates', 'farine de blé ', 'huile de tournesol', 'amidons transformé de maïs et natif de riz', 'arômes ', 'dont blé ', 'vin blanc', 'agent crémeux ', 'huile de tournesol', 'sirop de glucose', 'protéines de lait ', 'épices et aromates']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",10.5 g,en quantité modérée,5.4 g,en quantité élevée,1.1 g,en faible quantité,1.12 g,en quantité modérée,657,,158,+5%,657 kj(158 kcal),+3%,"10,5",+2%,"5,4",0%,"11,4",+6%,"1,1",+35%,4,-4%,"1,12",+21%,"0,448",+21%,7,-17%,C,-17%,83.4%,6.0%,2.8%,2.0%,1.2%,4.6%,40,,,,,,,['Netto'],"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E270 - Acide lactique', 'E14XX - Amidons modifiés']","['Œufs', 'Gluten', 'Lait']",4,,,
9,Langue De boeuf  410 g - Netto,3250391109043,E,,['Netto'],"['Viandes', 'Bœuf', 'Langues de bœuf']",['France'],"['de bœuf en tranches 50%', ' Sauce piquante 50% : eau', 'arômes', 'oignons 5%', 'cornichons farine de blé', 'amidon modifié de pomme de terre', 'vin blanc ', 'contient des sulfites', 'vinaigre', 'saindoux', 'épaississant : gomme xanthane', 'exhausteur de goût : glutamate monosodique', 'persil', ' ', '*Pourcentages exprimés sur la sauce', ' Traces éventuelles dloeuf', 'moutarde', 'sulfite et céleri', ' poids net ']","['Non végétalien', 'Non végétarien']",9.02 g,en quantité modérée,4 g,en quantité modérée,1.6 g,en faible quantité,1.15 g,en quantité modérée,?,,146,-5%,611 kj(146 kcal),-5%,"9,02",-12%,4,-4%,"5,1",+27%,"1,6",+10%,"10,7",-1%,"1,15",+17%,"0,46",+17%,4,-17%,C,-17%,97.7%,0.4%,0.8%,0.7%,0.4%,0.1%,10,,,,,,,['Netto'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Anhydride sulfureux et sulfites'],4,,,
