,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,allergens,manufacturing,generic_name,markets,ingredients_origins,link,palm_ingredients,brand_owner,origin_detail,producer_info
0,JAMBON BLANC DECOUENNE - Bioporc - 180g,3483190011143,D,180 g,['Bioporc'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']","['EMB 85059B', 'Châtaigneraie (Vendée, France)', 'FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)']",['France'],"['jambon de porc ', '90%', 'sel', 'sirop de glucose*', 'sucre de canne ', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'plante aromatique', 'huile essentielle de poivre*', "" **Ingrédients agricoles issus de l'agriculture biologique""]","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2.7 g,en faible quantité,0.9 g,en faible quantité,0.6 g,en faible quantité,2.17 g,en quantité élevée,?,,106,-20%,444 kj(106 kcal),-19%,"2,7",-44%,"0,9",-51%,"0,6",-10%,"0,6",+1%,20,-5%,"2,175",+16%,"0,87",+16%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,
1,"Rosette de porc 80g, Bio",3483190011181,D,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,19.5 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,4.7 g,en quantité élevée,?,,295,-19%,1234 kj(295 kcal),-19%,"19,5",-32%,"6,9",-39%,"0,5",-74%,"0,5",-66%,"29,7",+16%,"4,7",+4%,"1,88",+4%,19,-19%,E,-19%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
2,Chipolatas herbes - Bioporc,3483190011655,D,,['Bioporc'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],[],,[],,17 g,en quantité modérée,6.3 g,en quantité élevée,0.6 g,en faible quantité,1.6 g,en quantité élevée,?,,218,-13%,912 kj(218 kcal),-12%,17,-15%,"6,3",-18%,"0,6",-53%,"0,6",-3%,16,+7%,"1,6",-10%,"0,64",-10%,15,-13%,D,-13%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,
3,Paupiettes De Porc - Bioporc  - 440g,3483190011686,,440g,['Bioporc'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']","['FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)', 'EMB 85059B', 'Châtaigneraie (Vendée, France)']",['France'],[],,[],,,,,,,,,,?,,260,,1088 kj(260 kcal),,21,,"7,7",,"0,8",,"0,5",,17,,"0,67",,"0,268",,,,,,,,,,,,,,,,,,,,,,,
4,Demi-jambonneau - Bioporc,3483190011785,,,"['Bioporc', 'Biopord']",,"['Bio', 'Bio européen', 'FR-BIO-01']","['FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)']",['France'],"['jambonneaux de couenne de porc*:', 'sel', 'sirop de glucose/', 'sucre de canne*:', 'antioxydant: ascorbate de sodium', 'conservateur: nitrite de sodium', 'plante aromatique*', 'huile essentielle de poivre$', "" Ingrédients issus de L'agriculture biologique""]","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",[],4,,,,,,,,,?,,194,,812 kj(194 kcal),,"9,8",,3,,"0,5",,"0,5",,26,,"2,63",,"1,052",,,,,,,,,,,,,,,,,,,,,,,
5,Filet mignon de porc traite en salaison fumé aux herbes - Bioporc,3483190012324,,,['Bioporc'],"['Viandes', 'Charcuteries']","['Bio', 'Bio européen', 'Point Vert', 'Fumé au bois de hêtre', 'Triman']","['FR 85.059.004 CE', 'Châtaigneraie (Vendée, France)', 'EMB 85059B', 'Châtaigneraie (Vendée, France)']",['France'],"['Filet mignon de porc ', '90 %', 'bouillon aromatique ', 'eau', 'ail', 'plantes aromatiques', 'poivre', 'clous de girofle', 'sel', 'enrobage: herbes de Provence', 'sucre de canne', ' Fumage au bois de hêtre']",,"['Non végétalien', 'Non végétarien']",3,3.9 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,1.35 g,en quantité modérée,?,,526,+102%,2201 kj(526 kcal),+104%,"3,9",-80%,"1,5",-79%,"< 0,5",-66%,"< 0,5",-37%,"22,4",+20%,"1,35",-43%,"0,54",-43%,12,-25%,D,-25%,,,,,,,,"['Frais', 'Plastique']",,,,,,,,,,
6,Crevette nature - Sacré marins! - 100g,3483190060110,,100g,['Sacré marins!'],,"['Bio', 'Sans colorants']",,['France'],"['crevettes* ', 'Penaeus vannamei - crustacés dont sulfite', ' décortiquées ', '98%', 'sel', "" *Ingrédients issus de l'agriculture biologiques""]",,"['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,74,,310 kj(74 kcal),,"1,1",,"0,4",,"0,5",,"0,5",,16,,"1,9",,"0,76",,,,,,,,,,,,,,['Crustacés'],,,,,,,,,
7,Salade vitalite,3483190085007,,,,,"['Bio', 'Bio européen']","['EMB 85161A', 'Nieul-le-Dolent (Vendée, France)']",['France'],[],,[],,,,,,,,,,?,,135,,565 kj(135 kcal),,"10,2",,"1,1",,"9,1",,7,,"0,7",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,
8,"Quinoa gourmand (quinoa,courgettes,abricots&fruits secs)",3483190085038,,,,,,"['EMB 85161A', 'Nieul-le-Dolent (Vendée, France)']",['France'],[],,[],,,,,,,,,,?,,335,,1402 kj(335 kcal),,"13,3",,"1,3",,"48,5",,"5,9",,"9,9",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,
9,Jambon de Bayonne - Saveurs Du Bocage - 80g,3483190090162,E,80 g,['Saveurs Du Bocage'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,['France'],"[""Jambon de Bayonne issu de l'agriculture biologique"", ' Jambon frais de porc biologique', 'sel', 'conservateur : nitrate de potassium']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",3,15.2 g,en quantité modérée,6.9 g,en quantité élevée,0.5 g,en faible quantité,4.97 g,en quantité élevée,?,,258,+5%,1079 kj(258 kcal),+5%,"15,2",+9%,"6,9",+16%,"0,8",+26%,"0,5",+8%,"29,5",+1%,"4,975",+4%,"1,99",+4%,19,+6%,E,+6%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,['France'],,,,,,,,
