,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,categories,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,manufacturing,additives,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,link,traceability_code,palm_ingredients,brand_owner,producer_info
0,SoFish Burgers - SoFine,8718885890808,['SoFine'],"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,202,845 kj(202 kcal),"12,6","1,7","12,9","1,2","7,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Galettes aux asperges et courgettes - SoFine - 80g,8718885891010,['SoFine'],"['Végétarien', 'Végétalien', 'Union Végétarienne Européenne']",['France'],[],"['Végétalien', 'Végétarien']",?,174,728 kj(174 kcal),"9,7","1,1","14,2","1,7","6,2","0,98","0,392",80 g,['Pot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Nuggets Veggie aux pétales de maïs - SoFine,8718885891034,['SoFine'],"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,267,1117 kj(267 kcal),17,2,14,2,12,"1,33","0,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Batonnets veggie aux algues marines - So Fine - 180g,8718885891157,['So Fine'],['V.label.ue'],['France'],"['Tofu ', 'eau', 'fèves de soja', 'coagulant : sulfate de calcium', 'chapelure ', 'farine de blé', 'levure', 'sel', 'paprika', 'légumes ', 'carotte', 'tomate', 'oignon', 'ail', 'riz', 'pâte à frire ', 'eau', 'farine de blé', 'sel', 'algues réhydratées ', 'laitue de mer', ' 7%', 'huile de tournesol', 'eau', ""flocons d'avoine"", 'herbes aromatiques', 'farine de sarrasin', 'arôme naturel', 'gluten de blé', 'flocons de pommes de terre ', 'soja', 'vitamines ', 'B2', 'B12', 'pyrophosphate de fer', 'Oxyde de zinc']",[],?,219,916 kj(219 kcal),"10,2","1,3","20,7","1,9","9,5",1,"0,4",180g,['Barquette'],['Vegan'],['Monop'],"['Gluten', 'Soja']",4,10.2 g,en quantité modérée,1.3 g,en faible quantité,1.9 g,en faible quantité,1 g,en quantité modérée,,+5%,+6%,+34%,+5%,+20%,-66%,+46%,+59%,+59%,2,-40%,B,-40%,,,,,,,,,,,,,,,,,
4,Biologisch Sinaasappelsap Pak - AH,8718906124066,['AH'],['Bio'],['France'],[],[],?,41,172 kj(41 kcal),"0,2",0,9,9,"0,7",0,0,,['SIG combifit'],,,,,,,,,,,,,,,,,,,,,,,,,,,['AH'],,,,,,,,,,,,,,,,
5,On biologisch waldkorn beschuit,8718906156067,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Albert Heijn Muesli Appel Kaneel Gedroogd Fruit Rozijnen,8718906179707,['Albert heijn'],,['France'],"['Muesli gedroogd fruit en kaneel 315ge/ ca portie ', '40 g', ' Ingrediênten: volkoren havervlok', 'gcrstevlok', 'gedroogd fruit ', '16% rozijn', '4% appel', 'mais', 'plantaardige Olie ', 'zonnel', 'loelll$ katoenzaad', 'suiker', '0,3% kaneelj zout', 'gerstemoutl emulgator ', 'lecittline', 'antioxidant trozemarijn - extract', 'E223 ', 'sulfiet', 'l', 'voedingSZUUr ', 'ascorbinezuur', 'citroenzuur', ' Allergie-informatia: bevat havergluten', 'verstgluten', 'suifiet', "" Gemaakt in een 'o«rijf ook noten worden verwerkt"", ' ', 'loe 40 gram mllesli in koli', ' melki halfvOlle tot: zie acliterziLé', '-L Aren', ' Na ope']",[],?,350,1464 kj(350 kcal),"4,5","0,7",64,14,"9,5","0,2","0,08",,,,['Albert Heijn'],['Anhydride sulfureux et sulfites'],,,,,,,,,,,,,,,,,,,,,,,,,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E330 - Acide citrique']",,,,,,,,,,,,,,,
7,Varken Mager Half Om Half Gehakt Schaaltje 300 Gram Koeling - Albert heijn,8718906189164,['Albert heijn'],,['France'],"['Ingrediënten: 49,8% varkensvlees', ' 49,8% rundvleest ', 'citrus', 'granaatappel']",[],?,190,795 kj(190 kcal),12,5,"0,3","0,1",20,"0,2","0,08",,,,['Albert Heijn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pittige Chili Sauce - AH,8718906223318,['AH'],,['France'],[],[],?,71,297 kj(71 kcal),"0,1",0,15,10,1,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fusilli van durum,8718906255487,,,['France'],[],[],?,350,1464 kj(350 kcal),1,"0,2",72,3,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
