,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,quantity,markets,packaging,brand_owner,generic_name,ingredients_origins,manufacturing,link,palm_ingredients,producer_info,origin_detail
0,Biscuits à la cuillère pour dégustation - Brossard,3660140822152,C,['Brossard'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Boudoirs']",['France'],"['Sucre', 'œufs frais 36%', 'farine de blé 26,5%', ""jaune d'œufs frais 9%"", 'stabilisant : glycérol', 'sirop de sucre inverti', 'arôme', 'sel', 'acidifiant : tartrates de potassium', ""blanc d'œufs en poudre "", 'agent foisonnant : citrate de triéthyle', 'épaississant : gomme xanthane', ' Présence possible de : lait']","['E422 - Glycérol', 'E336 - Tartrates de potassium', 'E1505 - Citrate de triéthyle', 'E415 - Gomme xanthane']","['Œufs', 'Gluten']",['Non végétalien'],4,5.9 g,en quantité modérée,1.9 g,en quantité modérée,47.4 g,en quantité élevée,0.53 g,en quantité modérée,?,,356,-6%,1490 kj(356 kcal),-6%,"5,9",+56%,"1,9",+68%,"66,8",-14%,"47,4",-3%,"8,4",+10%,"0,53",+145%,"0,212",+145%,17,+18%,D,+18%,75.5%,12.8%,5.1%,3.5%,3.1%,0.0%,73,,,,,,,,,,,,,
1,Elephant rose,3296180007978,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,Trèfle des rois,2274819052415,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sauce soja,8436015595163,B,,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",['France'],[],,,[],,0.1 g,en faible quantité,0 g,en faible quantité,1.5 g,en faible quantité,14 g,en quantité élevée,?,,54,-51%,226 kj(54 kcal),-51%,"0,1",-19%,0,-100%,"5,8",-67%,"1,5",-88%,"7,5",+17%,14,+17%,"5,6",+17%,6,-46%,C,-46%,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,"['Bio', 'Bio européen', 'ES-ECO-019-CT']",,,,,,,,,,,,
4,Coffret roquefort aop,3023260031826,,,,['France'],[],,,[],,,,,,,,,,?,,365,,1527 kj(365 kcal),,"31,7",,"22,5",,"0,8",,0,,19,,"3,7",,"1,48",,,,,,,,,,,,,['Point Vert'],"['FR 12.203.018 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",,,,,,,,,,,
5,Pain multi céréales - auchan - 300g,2090000173086,,['Auchan'],,['France'],"['Céréales 58% ', 'farine de BLE', 'GLUTEN DE BLE', 'flocons de BLE malté', ""flocons d'AVOINE"", 'farine de BLE malté', 'eau', 'graine 6', '5 % ', 'lin brun', 'SESAME', 'tournesol', 'levure', 'sel', 'émulsifiant ', 'E472e', 'agent de traitement de la farine ', 'E300', 'enzymes ', 'alpha-amylases', 'endoxylanases', 'Xylanases', 'glucose oxydase transglutaminases', ' Peut contenir des traces de ŒUFS SOJA', 'LAIT', 'FRUITS A COQUE']","[""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique', 'E1100 - Amylases', 'E1102 - Glucose oxydase']","['Gluten', 'Avoine', 'Graines de sésame']","[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,300 g,['Auchan'],,,,,,,,,
6,"Quaker Simply Granola Oats, Honey & Almonds - 793g",0030000067000,B,['Quaker'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['France', 'Espagne', 'États-Unis']","['Whole grain rolled oats', 'whole grain rolled wheat', 'brown sugar', 'canola oil', 'whey', 'inulin', 'almonds', 'nonfat dry milk', 'whey protein concentrate', 'honey', 'natural flavor ', 'contains coconut ingredients', 'sunflower oil', 'tocopherols ', 'added to preserve freshness', ' _CONTAINS ALMOND', 'COCONUT', 'MILK AND WHEAT INGREDIENTS', '_']",['E306 - Extrait riche en tocophérols'],"['Lait', 'Fruits à coque']",['Non végétalien'],4,11.6 g,en quantité modérée,1.24 g,en faible quantité,20.3 g,en quantité élevée,0.13 g,en faible quantité,?,,421,+1%,1761 kj(421 kcal),+1%,"11,62",-11%,"1,24",-63%,"73,66",+22%,"20,34",+20%,"10,55",+7%,"0,13",-25%,"0,052",-25%,0,-100%,B,-100%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,793g,,"['Cardboard box', 'Plastic bag']",QTG,,,,,,,
7,Champagne Denis Extra Brut,3350033493261,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Champagnes', 'Champagnes extra bruts']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,
8,Vegetarian Cucumber Maki -,3760199050312,,,"['Plats préparés', 'Sushis et makis', 'Makis']",['France'],[],,,[],,,,,,,,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,Makis au concombre,,,,,,
9,Galette des rois Bio,2848803055760,D,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],,,[],,27 g,en quantité élevée,17 g,en quantité élevée,9 g,en quantité modérée,1 g,en quantité modérée,?,,400,-5%,1674 kj(400 kcal),-5%,27,+2%,17,+15%,33,-15%,9,-30%,7,+10%,1,+43%,"0,4",+43%,19,-1%,E,-1%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
