,name,bar_code,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,additives,link,generic_name,producer_info,brand_owner,palm_ingredients
0,cuisses de caille - le fumet des dombes - 200,3356994112005,200,['sous vide'],['le fumet des dombes'],['Viandes'],"['Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs']",['Rhône Alpes'],"['FR 01.333.001 CE', 'Saint-André-de-Corcy (Ain, France)', '01 333C-FR-01-333-001 EC']",['ferme la'],['France'],"['cuisse de cailles semi-desossée,sel']",[],3,14.9 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,3.2 g,en quantité élevée,?,,223,-1%,933 kj(223 kcal),-0%,"14,9",+2%,"3,5",-34%,"0,2",-88%,0,-100%,"21,9",+15%,"3,2",+76%,"1,28",+76%,15,+32%,D,+32%,,,,,,,,,,,,,,,,
1,Pain complet meunier,,,,,,,,,,['France'],[],[],,,,,,,,,,?,,238,,996 kj(238 kcal),,"1,1",,"0,2",,43,,"1,4",,11,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,
2,Glace vanille de Madagascar - Adelie - 1l,6230320600671,1l,"['Bac', 'surgelé']",['Adelie'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['Fabriqué en France'],['France'],"['EMB 35360C', 'Vitré (Ille-et-Vilaine, France)']",['Intermarché'],['France'],"['Eau', ' crème fraîche 29,9%', ' sucre', ' lait écrémé réhydraté']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,10.2 g,en quantité modérée,7.2 g,en quantité élevée,21.8 g,en quantité élevée,0.21 g,en faible quantité,?,,203,-13%,849 kj(203 kcal),-13%,"10,2",-13%,"7,2",-5%,"25,2",-10%,"21,8",-7%,"2,2",-30%,"0,21",+40%,"0,084",+40%,13,-3%,D,-3%,B,['Lait'],60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,
3,3225820067188,3225820067188,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
4,Moissac des Cévennes,3303320001472,,,,,,,,,['France'],[],[],,,,,,,,,,?,,340,,1423 kj(340 kcal),,27,,19,,"1,1",,"1,1",,21,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,
5,Bûche de chèvre à la truffe - cobreros,8437004770400,,,['Cobreros'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']",,,,,"['France', 'Espagne']",[],[],,26 g,en quantité élevée,17 g,en quantité élevée,1.6 g,en faible quantité,1.2 g,en quantité modérée,?,,305,+7%,1276 kj(305 kcal),+8%,26,+14%,17,+6%,"1,6",-4%,"1,6",+65%,17,-2%,"1,2",-11%,"0,48",-11%,13,-2%,D,-2%,E,,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,,,,
6,2 éclairs goût vanille,3567741001262,,,,,,,,,['France'],[],[],,,,,,,,,,?,,234,,979 kj(234 kcal),,"9,6",,"5,7",,33,,13,,"3,4",,"0,38",,"0,152",,,,,,,,,,,,,,,,,,,,,
7,Fitou,3700956502593,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Fitou']",,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,C,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],,,,,,
8,Lentilles au chocolat,4043651146228,,,,,,,,,['France'],[],[],,,,,,,,,,?,,464,,1941 kj(464 kcal),,16,,"9,9",,76,,75,,"2,6",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,
9,Fleur De Bach Cherry Plum - Biofloral,3760029841066,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,
10,Vin,7804633850000,,,,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,
11,Cafe quindio - 50g,7702728232536,50 g,,,,,,,,['France'],[],[],,,,,,,,,,?,,5,,21 kj(5 kcal),,3,,"0,05",,5,,5,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,
