,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,traceability_code,generic_name,palm_ingredients,link
0,Pain au comte,0204667011151,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,
1,Galette brioches 6pers - Leclerc,0204669027556,,,['France'],"['eau', ' monohydratéet farino do chicotée 107']",[],,,,,,,?,,291,,1218 kj(291 kcal),,"9,4",,"5,2",,42,,"8,5",,"8,5",,,,,,,,,['Leclerc'],"1,3","0,52",,,,,,,,,,,,,,,,,,,,,
2,Moelleux chocolat 6/8P decongele,0204676038378,,,['France'],[],[],,,,,,,?,,429,,1795 kj(429 kcal),,26,,16,,42,,33,,"6,5",,,,,,,,,,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,
3,Maki black saumon -,0204693022305,,"['Plats préparés', 'Sushis et makis', 'Makis']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pizza aux 4 fromages,0204705042642,C,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas aux quatre fromages']",['France'],[],[],8.3 g,en quantité modérée,2.8 g,en quantité modérée,1.7 g,en faible quantité,?,,211,-16%,883 kj(211 kcal),-16%,"8,3",-20%,"2,8",-50%,22,-18%,"1,7",-39%,11,-5%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,,"1,3","0,52",1.3 g,en quantité modérée,+2%,+2%,4,-66%,C,-66%,,,,,,,,,,,,,
5,Saumon Farci - Picard - 1.9kg maximum,0204706328110,,"['Surgelés', 'Plats préparés', 'Plats préparés au poisson']",['France'],"['Saumon Atlantique entier qualité sans arête ', 'Salmo salar ', ' poisson', ' 71,5%', ""filet de colin d'Alaska qualité sans arête* "", 'poisson', ' 8,9 %', 'saumon Atlantique qualité sans arête ', 'poisson', ' 5,9%', 'noix de Saint-Jacques ', 'Zygochlamys patagonica', 'Argentine ', 'AR', ' et/ou Etats-Unis ', 'US', ' et/ou Argopecten purpuratus', 'Pérou ', 'PE', ' et/ou Chlamys albidus', 'Russie ', 'RU', ' ', ' mollusque', ' 5,4 %', 'huile de tournesol', ""blanc d'œuf liquide pasteurisé "", ""blanc d'œuf"", 'stabilisants : gomme guar', 'gomme xanthane', 'carotte', 'oignon', 'eau', 'persil', 'sel', ""huile d'olive"", 'ail', 'poivre', 'sel', 'décor 1,1 % ', 'gélifiant : alginate de sodium', 'stabilisants ', 'sulfate de calcium', 'diphosphates', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', 'colorants ', 'extrait de paprika', 'complexes cuivre-chlorophylles et cuivre-chlorophyllines', 'ciboulette', 'gélatine de poisson', 'eau']","['Non végétalien', 'Non végétarien']",15 g,en quantité modérée,2.2 g,en quantité modérée,0.2 g,en faible quantité,?,,207,+16%,866 kj(207 kcal),+20%,15,+44%,"2,2",-19%,"0,4",-95%,"0,2",-87%,18,+93%,,,,,,,,['Picard'],"0,72","0,288",0.72 g,en quantité modérée,-30%,-30%,2,-58%,B,-58%,1.9 kg maximum,"['surgelé', 'Carton', 'boîte']",['Fabriqué en France'],"['États-Unis', 'Argentine', 'Pérou', 'Russie']",['France'],['Picard'],"['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E401 - Alginate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E141i - Complexes cuivriques de chlorophylles', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E428 - Gélatine']","['Œufs', 'Poisson', 'Mollusques']",4,,,,
6,Saumon farci,0204706354416,,,['France'],[],[],,,,,,,?,,207,,866 kj(207 kcal),,15,,"2,2",,"0,4",,"0,2",,18,,,,,,,,,,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,
7,Saumon farci,0204706374629,,,['France'],[],[],,,,,,,?,,862,,3607 kj(862 kcal),,15,,"2,2",,"0,4",,"0,2",,18,,,,,,,,,,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,
8,Edam tendre IGP,0204715010952,,,['France'],[],[],,,,,,,?,,321,,1343 kj(321 kcal),,24,,16,,0,,0,,26,,,,,,,,,,"2,5",1,,,,,,,,,,,,,,,,,,,,,
9,Mimolette vieille label rouge,0204722020920,,,['France'],[],[],,,,,,,?,,390,,1632 kj(390 kcal),,28,,19,,"1,5",,"1,5",,33,,,,,,,,,,3,"1,2",,,,,,,,,,,,,,,,,,,,,
10,Tomme noire des Pyrénées,0204726028861,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme des Pyrénées', 'Tomme noire des Pyrénées']",['France'],[],[],28 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,?,,346,+0%,1448 kj(346 kcal),+1%,28,-0%,20,+1%,"1,5",+29%,0,-100%,22,+7%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"1,8","0,72",1.8 g,en quantité élevée,+1%,+1%,16,0%,D,0%,,,,,,,,,,,,,
11,Pain vitalité,0204747009849,,,['France'],[],[],,,,,,,?,,307,,1284 kj(307 kcal),,"7,8",,"1,3",,45,,10,,12,,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,
12,Curry d'émincés de poulet -,0204801019296,D,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Poulets', 'Volailles cuites', 'Plats à la volaille', 'Poulets cuisinés', 'Plats au poulet', 'Poulets au curry']",['France'],[],[],6.2 g,en quantité modérée,3.9 g,en quantité modérée,3 g,en faible quantité,?,,108,-21%,452 kj(108 kcal),-17%,"6,2",+35%,"3,9",+115%,"5,5",-60%,3,+67%,"6,7",-6%,80.4%,13.1%,1.9%,2.8%,1.1%,0.8%,36,,"0,88","0,352",0.88 g,en quantité modérée,+14%,+14%,3,+119%,C,+119%,,,,,,,,,,,,,
13,Salade wakame,0204801019357,,,['France'],[],[],,,,,,,?,,92,,385 kj(92 kcal),,"3,7",,0,,22,,0,,"1,6",,,,,,,,,,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,
14,Salade au choux,0204802007674,,,['France'],[],[],,,,,,,?,,77,,322 kj(77 kcal),,"1,3",,"0,2",,12,,"6,4",,"3,3",,,,,,,,,,"3,6","1,44",,,,,,,,,,,,,,,,,,,,,
15,Quatro kiwi ananas fraise,0204826023421,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Lou perac goustal,0204826061737,,,['France'],"['Fromage de brebis au LAIT pasteurisé ', 'LAIT', 'crème pasteurisée de brebis', 'sel', 'ferments lactiques', 'présure', 'chlorure de calcium', 'colorant de croûta ', 'caramel', ',']",['Non végétalien'],,,,,,,?,,361,,1510 kj(361 kcal),,33,,24,,0,,0,,16,,,,,,,,,['Lou Perac'],"1,6","0,64",,,,,,,,,,,,,,,['E150 - Caramel'],['Lait'],4,,,,
17,Crabe royal cru décortiqué,0204832213717,,,['France'],[],[],,,,,,,?,,73,,305 kj(73 kcal),,1,,"0,2",,"0,8",,"0,4",,16,,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,
18,Crabe royal cru decortiqué,0204832288821,,,['France'],[],[],,,,,,,?,,73,,305 kj(73 kcal),,1,,"0,2",,"0,8",,"0,5",,16,,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,"['FR 62.894.101 CE', 'Wimille (Pas-de-Calais, France)']",,,
19,Tarte multifruits,0204833053138,,,['France'],[],[],,,,,,,?,,171,,715 kj(171 kcal),,"4,5",,"2,9",,29,,16,,"2,7",,,,,,,,,,"0,27","0,108",,,,,,,,,,,,,,,,,,,,,
20,Baguette de caractere - Leclerc,0204844005386,,,['France'],"['INGREOIENTS ', ' caractére : eau', "": • Far ine de fronent' 35'5% raines "", 'Lin', "" Tournesol' SESÊhE"", ""' FARINE OE SEIGLE"", 'BLE', 'sel ', '3,69', ""FARINE O'ÊUOINE prégélatinisée"", ""FIBRES OE EHtrait de d'ORGE"", 'Enulsif FÊRINE OE BLE Agent de traitenent de la far ine E300', ""Enzynes' Amylases"", '0HYdases', ' Cél lulases', "" Traces de LAIT' OEUFS"", 'SOJA et LUPIN', ': levure', ' LEUURE']",['Non végétalien'],,,,,,,?,,327,,1368 kj(327 kcal),,"7,7",,"1,1",,48,,"2,7",,13,,,,,,,,,['Leclerc'],"1,4","0,56",,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lupin', 'Lait', 'Soja']",,,,,
21,"Doony's Glacés - Leclerc - 0,220kg",0204858023611,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Donuts']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,['Leclerc'],,,,,,,,,,,"0,220 kg",['Plastique'],,,,,,,,,Donut glacé,,
22,Boule miche froment 400g - 400g,0204862006495,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,"1,6",,"0,4",,60,,"1,7",,11,,,,,,,,,,"1,5","0,6",,,,,,,,,400 g,,,,,,,,,,,,
23,Pain complet,0204868007540,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",['France'],[],[],1.3 g,en faible quantité,0.2 g,en faible quantité,1.5 g,en faible quantité,?,,274,+9%,1146 kj(274 kcal),+9%,"1,3",-62%,"0,2",-63%,50,+17%,"1,5",-59%,12,+37%,,,,,,,,,"1,7","0,68",1.7 g,en quantité élevée,+45%,+45%,5,+653%,C,+653%,,,,,,,,,,,,,
24,Saint Necter - E.Leclerc,0204873030502,,,['France'],"['16300 E', 'Leclerc@ RAYON FROMAGE ST NECTAIRE FERMIER St Nectaire Fermisr ', 'LAIT cru de présure', 'ferments uache', 'France', 'sel', 'lactiques', 'Fromage au LAIT CRU de vache -AOP', 'Comptoir de', 'produit soumis à la dessication', 'Fabriqué à la ferme affiné par Les Fromageries occitanes -Ueillac-15270 Lanobre', 'Soruico consommateurs:LF0 SAR -3129C Uiilefranche de Laraugais', ' ConservAion entre OOC ot49C', ' 100 Valaurg nutritionnallag mo gnng8']",['Non végétalien'],,,,,,,?,,344,,1439 kj(344 kcal),,22,,20,,1,,"0,5",,22,,,,,,,,,['E.Leclerc'],"1,1","0,44",,,,,,,,,,,,,,,['E270 - Acide lactique'],['Lait'],,,,,
25,Poitrine de porc avec is,0204875023816,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['pièce'],,,,,,,,,,,
26,Salade alaska,0204879014230,,,['France'],[],[],,,,,,,?,,162,,678 kj(162 kcal),,11,,"0,9",,10,,"4,6",,"3,9",,,,,,,,,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,
27,Pain crocodile 400g - 400g,0204883005255,,,['France'],[],[],,,,,,,?,,303,,1268 kj(303 kcal),,"1,6",,"0,4",,60,,"1,7",,11,,,,,,,,,,"1,5","0,6",,,,,,,,,400 g,,,,,,,,,,,,
