,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,ingredients_origins,nutriment_saturated-fat_tr_diff,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,traceability_code,generic_name,manufacturing,link,markets,additives,allergens,nova_score,brand_owner,palm_ingredients,producer_info
0,Hami frol,3469980014136,['Bio'],['France'],[],[],?,?,?,0,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Véritable chorizo espagnol,2688497017459,,['France'],[],[],?,426,"34,3","27,1","0,1","29,4",1782 kj(426 kcal),"0,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Glace au lait de brebis agrumes,3770017575026,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2254562070218,2254562070218,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sauce aux poivres,0066701001050,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Protein Vegetable Freaking Good peanut butter flavor,5600961107784,,['France'],[],[],?,390,"5,3","1,5","6,6",79,1632 kj(390 kcal),0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Original,5060113918062,,['France'],[],[],?,90,"0,5","0,3",19,2,377 kj(90 kcal),10,"0,287","0,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Comté Affiné 18 mois AOP,2480477075509,,['France'],[],[],?,?,?,,?,?,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ferme la grande fontaine,3760274810008,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bonbons framboise et myrtille,3760193720211,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Glace chocolat Geronimi - Chocolat Bonnat,01345001,,['France'],[],[],?,211,10,"4,8",25,"4,4",883 kj(211 kcal),19,"0,2","0,08",,,,,,,,,,,,,,,['Chocolat Bonnat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,chateau beaulieu,3604894721170,,['France'],[],[],?,?,?,0,?,?,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['France'],-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,230g,8425408016835,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,230 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,honeybush roibos,6009214501574,,['France'],[],[],?,1,0,0,"0,2","0,1",4 kj(1 kcal),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Millville,4099100116373,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,['Millville'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ricore,4376595505913,,['France'],[],[],?,1,0,0,"0,3","0,2",4 kj(1 kcal),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Limoncello,8003253000157,,['France'],[],[],?,?,?,0,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jelly belly flaming,0071570012359,,['France'],[],[],?,360,0,0,90,0,1506 kj(360 kcal),69,"0,32","0,128",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Jelly beans']",,+3%,-100%,+5%,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,-100%,,0 g,en faible quantité,0 g,en faible quantité,69 g,en quantité élevée,0.32 g,en quantité modérée,+3%,+12%,+286%,+286%,15,+9%,D,+9%,,,,,,,,,,,,
18,"Poulet fumé - Fumets des Salazés - 1,405kg",2249916052545,,['France'],[],[],?,199,"14,2",0,"0,5","17,5",833 kj(199 kcal),0,"1,05","0,42",D,"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Volailles cuites', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches', 'Blancs de poulet fumé']",,+27%,+84%,-62%,-8%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Fumets des Salazés'],,-100%,"1,405 kg",14.2 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,1.05 g,en quantité modérée,+32%,-100%,-39%,-39%,1,-84%,B,-84%,['Sous-vide'],,,,,,,,,,,
19,Timbale fraise Chantilly E.LECLERC,,,['France'],[],[],?,830,13,"8,8",18,"2,1",3473 kj(830 kcal),15,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Cocktail plaisir,3481010093140,,['France'],[],[],?,?,?,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
