,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,generic_name,quantity,packaging,ingredients_origins,manufacturing,link,additives,palm_ingredients,nova_score,markets,traceability_code,producer_info
0,Datte de tunisie - Deglet Nour,3166320001060,C,['Deglet Nour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",['France'],"['DATTERI Dl TUNISIA DEGLET NOUR CATEGORIA NGREDIENTI : DATTERI', 'SCIROPPO Dl 3LUCOSIO', 'CONSERVANTE E202 Valori nutrizionali medi per 100 g di prodotto: Energia 13500/']",[],0.1 g,en faible quantité,0.1 g,en faible quantité,65 g,en quantité élevée,0.1 g,en faible quantité,?,,319,+7%,1335 kj(319 kcal),+7%,"0,1",-65%,"0,1",+102%,73,+6%,65,+11%,"2,4",+11%,"0,1",+361%,"0,04",+361%,2,-59%,B,-59%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,,,
1,Fromage de chèvre moulé à la main,3166350001474,,,,['France'],[],[],,,,,,,,,?,,180,,753 kj(180 kcal),,14,,"10,8",,"2,5",,"2,5",,11,,1,,"0,4",,,,,,,,,,,,,"['Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,,,
2,"Pâte Brisée Pur Beurre Marie,",3166350010971,,['Marie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'en:baked-shortcrust-pastry']",['France'],[],[],19.2 g,en quantité modérée,12.4 g,en quantité élevée,2.2 g,en faible quantité,0.8 g,en quantité modérée,?,,379,+1%,1586 kj(379 kcal),+0%,"19,2",-1%,"12,4",+27%,"45,9",+8%,"2,2",-4%,"5,6",-6%,"0,8",-22%,"0,32",-22%,17,+6%,D,+6%,,,,,,,,,,,,,,,,,,,,,
3,Pâtes à la bolognaise Marie,3166353931006,,['Marie'],,['France'],"['Pâtes cuites ', 'lasagnettes', ' 42,4% ', 'eau', 'semoule de blé dur', 'huile de colza', 'tomates 21,9% ', 'tomates pelées concassées et jus de tomates', 'viande de bœuf cuite 9,1%', 'concentré de tomates 5,9%', 'eau', 'échalotes 4,5%', ' emmental 3%', 'crème fraîche 1,8%', ""huile d'olive vierge extra"", 'farine de blé', 'grana padano ', 'contient lait', 'œuf', 'ail', 'sucre', 'sel', 'basilic', 'poivre']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,158,,661 kj(158 kcal),,"6,2",,"2,1",,18,,"2,6",,7,,"0,53",,"0,212",,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,,,,,,,,,,
4,"Tarte aux Noix de St Jacques, Petits Légumes Cuisinés - Marie - 350g",3166359209444,,['Marie'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Réfrigérés', 'Plats aux fruits de mer', 'Plats préparés réfrigérés', 'Plats aux noix de Saint-Jacques']",['France'],"['Garniture 63,5 % eau', 'noix de Saint Jacques 10,2 %', 'carottes 7,5%', 'œufs 7%', 'fromage blanc 5,5 %', 'poivrons jaunes 5,5 %', 'crème fraîche', 'emmental', 'poireaux 1,8 %', 'huile de colza', 'vermouth', 'grana padano ', 'contient lait', 'œuf', 'amidon de maïs', 'ail', 'persil 0,4 %', 'fumet de poisson ', 'chair et jus de poisson', 'sel', 'sel', 'concentré de tomates', ""extrait d'épice"", ' Pâte feuilletée 36,5 % farine de blé 16 %', 'eau', 'margarine végétale ', 'huile de palme et de colza', 'eau', 'sel', 'émulsifiant:  E 471', ""correcteur d'acidité: acide citrique"", 'sel']","['Huile de palme', 'Non végétalien', 'Non végétarien']",12.8 g,en quantité modérée,6.4 g,en quantité élevée,2.3 g,en faible quantité,0.9 g,en quantité modérée,?,,236,+48%,987 kj(236 kcal),+59%,"12,8",+66%,"6,4",+48%,"21,2",+68%,"2,3",+29%,"8,2",+26%,"0,9",+13%,"0,36",+13%,10,+93%,C,+93%,,,,,,,,['Cuisiné en France'],"['Œufs', 'Poisson', 'Gluten', 'Lait', 'Mollusques']","Plat préparé réfrigéré - Tarte aux Noix de St Jacques, Petits Légumes Cuisinés",350 g,"['Carton', 'Plastique', 'Frais']","['États-Unis', 'Argentine', 'Irlande', 'Pérou', 'Philippines', 'Viêt Nam']",['France'],https://www.marie.fr/plats-prepares/tartes-et-crepes/tartes-a-partager/tarte-aux-noix-de-st-jacques/61,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique']",['Huile de palme'],4,,,
5,Curry Poudre Ducros - 42g,3166890800407,B,['Ducros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curry', 'Curry en poudre']",['France'],"['Curcuma', 'graine de coriandre ', '10%', 'fenugrec ', '8,5%', 'amidon de pomme de terre', 'graine de moutarde', 'oignon déshydraté', 'cardamome ', '4%', 'sel', 'gingembre', 'anis', 'fenouil', 'girofle', 'ail déshydraté', 'épices', 'plantes aromatiques']","['Sans huile de palme', 'Végétalien', 'Végétarien']",6.3 g,en quantité modérée,0.8 g,en faible quantité,2.9 g,en faible quantité,4 g,en quantité élevée,?,,308,+73%,1289 kj(308 kcal),+62%,"6,3",-1%,"0,8",-44%,35,+72%,"2,9",-19%,11,+67%,4,+13%,"1,6",+13%,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,['Moutarde'],curry doux,42g,['flacon en verre'],,['France'],http://www.ducros.fr/Produits/Poivres-Herbes-Epices/Epices/Curry/Curry-poudre,,,3,['Monoprix'],,
6,Clous de girofle - Ducros - 23g,3166890800568,A,['Ducros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Clous de girofle']",['France'],['clous de girofle'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.8%,0.0%,18.2%,12.0%,6.0%,0.0%,79,,,,23 g,['Verre'],['France'],,,,,1,,,
7,Anis vert - Ducros - 37g,3166890800704,,['Ducros'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,37 g,,,,,,,,,,
8,3166891528706,3166891528706,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Dattes,3167314952801,,,,['France'],[],[],,,,,,,,,?,,329,,1377 kj(329 kcal),,"0,4",,0,,75,,"63,3",,"2,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
