,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,generic_name,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,quantity,packaging,manufacturing,palm_ingredients,markets,traceability_code,ingredients_origins,link,brand_owner
0,Écorces d'Orange confite enrobée de chocolat,3760145825001,['France'],[],[],?,478,2000 kj(478 kcal),21,13,64,53,"4,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,La cure gourmande,3760145827111,['France'],[],[],?,477,1996 kj(477 kcal),20,"8,1",66,44,"6,6","0,27","0,108",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Amandes enrobées de chocolat,3760145829948,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Biscuit fourré chocolat - La Cure Gourmande,3760145841971,['France'],[],[],?,497,2079 kj(497 kcal),22,"9,9",68,34,"5,6","0,18","0,072",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Chocolat noir orange - La Cure Gourmande,3760145843586,['France'],[],[],?,574,2402 kj(574 kcal),34,20,59,59,5,"0,03","0,012",['La Cure Gourmande'],['Fabriqué en France'],E,Chocolat noir à l'arôme naturel d'orange,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aromatisés', 'Chocolats noirs aromatisés']",34 g,en quantité élevée,20 g,en quantité élevée,59 g,en quantité élevée,0.03 g,en faible quantité,,+4%,+4%,-9%,-11%,+41%,+65%,-27%,-8%,-8%,27,+24%,E,+24%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,
5,Chocolat noir - La Cure Gourmande,3760145843593,['France'],[],[],?,581,2431 kj(581 kcal),36,22,54,0,5,0,0,['La Cure Gourmande'],['Fabriqué en France'],E,Chocolat noir à l'édulcorant (maltitol),"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats édulcorés', 'Chocolats noirs', 'Chocolats noirs aux édulcorants']",36 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+16%,+16%,-7%,-4%,+45%,-100%,-31%,-100%,-100%,17,+29%,D,+29%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,
6,Chocolat au lait allegé en sucre - La Cure Gourmande,3760145843630,['France'],"['édulcorant: maltitol ', 'ble', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'émulsifiant lécithine de soja', 'arôme naturel de vanille', ' Contient lait', 'soja', 'blé Peut également contenir amande', 'noisette', 'pistache', 'sésame', ' Une consommation excessive peut avoir des effets laxatifs']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,562,2351 kj(562 kcal),37,22,50,"7,8","6,8","0,2","0,08",['La Cure Gourmande'],"['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre', 'Une consommation excessive peut avoir des effets laxatifs', 'Fabriqué en France', 'Avec édulcorants']",E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats édulcorés', 'Chocolats au lait', 'Chocolats au lait édulcorés']",37 g,en quantité élevée,22 g,en quantité élevée,7.8 g,en quantité modérée,0.2 g,en faible quantité,,+13%,+13%,+5%,+6%,+10%,-19%,-7%,-10%,-10%,18,+10%,D,+10%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['E965 - Maltitol'],"['Gluten', 'Lait', 'Fruits à coque', 'Graines de sésame', 'Soja']",4,,,,,,,,,
7,Caramel au beurre sale,3760145845061,['France'],[],[],?,436,1824 kj(436 kcal),16,10,67,57,"5,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Caramels au sel, chocolat, vanille et orange",3760145845238,['France'],[],[],?,437,1828 kj(437 kcal),16,10,67,56,"5,6","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Biscuit fourré au citron - La Cure Gourmande,3760145845931,['France'],[],[],?,445,1862 kj(445 kcal),16,"8,6",69,20,"5,2","0,18","0,072",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
