,name,bar_code,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,quantity,packaging,brand,categories,ingredients_origins,additives,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,markets,manufacturing,link,traceability_code,palm_ingredients,brand_owner
0,MHD 30.8.17 Amaretti Virginia Weiche Amaretti In Geschenkdose -,8001311041883,['en:gluten-free'],['France'],"[""SUCRE NOYAUX D'ABRICOTS 36% - AMANDES 7,5%-BLANC D'OEUF - MIEL - AGENT""]","['Œufs', 'Fruits à coque']",['Non végétalien'],?,471,1971 kj(471 kcal),25,"1,7",46,45,13,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8001311043474,8001311043474,,['France'],[],,[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Baci di Dama - Amaretti Virginia - 80g,8001311172372,,['France'],"['Farine de blé', 'margarine végétale ', 'huile et graisse végétale', 'eau', 'sel', 'emulsifiants : E472c', 'E471', 'acidifiant : E330', 'arômes', 'colorant : E160a', 'sucre', 'noisettes grillées 17%', 'pur chocolat noir 12% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'emulsifiant : lécithine de soja', 'arôme : vanille', 'pâte de noisettes 3%', 'cacao en poudre 1%', ""blanc d'oeuf""]","['Œufs', 'Gluten']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,?,,?,,?,,?,,,D,Biscuit de pur style Ligurien. Produit de patisserie cuit au four.,80 g,"['Sachet', 'Plastique']",['Amaretti Virginia'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['Italie'],"[""E472c - Ester citrique des mono et diglycérides d'acides gras alimentaires"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160a - Carotènes mélangés', 'E322i - Lécithine']",4,,,,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,,,,,,,,,,,
3,Amaretti Virginia Mini Panettone In Box 100 G (pack of ),8001311480491,,['France'],[],,[],?,375,1569 kj(375 kcal),14,9,54,7,1,"1,03","0,412",C,,,,['Amaretti Virginia'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,+0%,-7%,+5%,-85%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,14 g,en quantité modérée,9 g,en quantité élevée,7 g,en quantité modérée,1.03 g,en quantité modérée,+1%,+0%,-73%,+134%,+134%,17,-9%,D,-9%,,,,,,
4,Panettone Virginia - Sassello,8001311481993,,['France'],"['FARINE DE BLE - AMARETTO ', 'SUCRE', ""NOYAUX D'ABRICOTS 21 0%"", 'BLANC d’œuf- CHOCOLAT NOIR 12% ', 'SUCRE', 'PATE DE BEURRE DE CACAO', 'EMULSIFIANT: LECITHINE DE SOJA', 'AROME NATUREL DE VANILLE', ' - BEURRE JAUNE JOEUF - SUCRE - LEVAIN NATUREL ', 'BLE', ' - SUCRE INVERTI - EMULSIFIANTS: MONO E DIGLYCERIDES DES ACIDES GRAS - LAIT - SEL - NATURELS', ' PEUT CONTENIR DES TRACE DE FRUITS A COQUE', "" CONSERVER A L'ABRI DE LA CHALEUR ET DE L'HUMIDITE""]","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],?,385,1611 kj(385 kcal),16,10,52,26,7,"0,4","0,16",C,,,,['Sassello'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,['E322i - Lécithine'],4,,+3%,+7%,+1%,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,16 g,en quantité modérée,10 g,en quantité élevée,26 g,en quantité élevée,0.4 g,en quantité modérée,+3%,+11%,+0%,-9%,-9%,19,+2%,E,+2%,,,,,,
5,Dolce di Natale / Panettone - Amaretti Virginia Srl,8001311482402,['Une consommation excessive peut avoir des effets laxatifs'],['France'],"[""FARINE DE BLE - RAISIN SEC 17,8% - JAUNE D'OEUF - BEURRE - EDULCORANT: MALTITOL - LEVAIN NATUREL "", 'BLE', ' - EMULSIFIANTS: MONO ET DYGLYCERIDES DES ACIDES GRAS - MALT ', 'BLE', ' - SEL - AROMES - AGENT DE CONSERVATION: SORBATE DE POTASSIUM', 'IL PEUT CONTENIR DES TRACES DE FRUITS A COQUE', ' CONTIENT NATURELLEMENT SUCRES', ' UNE CONSOMMATION EXCESSIVE PEUT AVOIR DES EFFETS LAXATIFS', "" CONSERVER A L'ABRI DE LA CHALEUR ET DE L'HUMIDITE""]","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",['Non végétalien'],?,366,1531 kj(366 kcal),15,10,47,10,"8,4","0,3","0,12",C,,,,['Amaretti Virginia Srl'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,"['E965 - Maltitol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,-2%,0%,-9%,+23%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,15 g,en quantité modérée,10 g,en quantité élevée,10 g,en quantité modérée,0.3 g,en quantité modérée,-2%,+11%,-61%,-32%,-32%,16,-14%,D,-14%,,,,,,
6,Raibi fraise,8001323007334,,['France'],[],,[],?,76,318 kj(76 kcal),"1,5",1,"12,6","11,8",3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Yogourt coco,8001344011914,"['en:gluten-free', 'Sans conservateurs']",['France'],[],,[],?,115,481 kj(115 kcal),"3,2",2,18,17,"3,5","0,1","0,04",,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,,,+25%,-2%,+64%,-7%,,,,,,,,3.2 g,en quantité modérée,2 g,en quantité modérée,17 g,en quantité élevée,0.1 g,en faible quantité,+25%,-2%,+68%,-13%,-13%,3,-2%,C,-2%,,,,,,
8,Yogurt Cremoso stracciatella,8001344017107,"['en:gluten-free', 'Sans conservateurs']",['France'],[],,[],?,125,523 kj(125 kcal),"4,3","2,8",18,18,"3,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,High protein shaker,8001344026079,['en:gluten-free'],['France'],[],,[],?,75,314 kj(75 kcal),"1,6","1,1","4,8","4,8",10,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
