,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,palm_ingredients,traceability_code,ingredients_origins,brand_owner
0,Crêpes Nature - Bofrost - 1kg,0089769028524,B,Crêpes surgelées,1 kg,"['Carton', 'Plastique', 'surgelé']",['Bofrost'],"['Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Crêpes et galettes', 'Crêpes', 'Gâteaux et pâtisseries surgelés']",https://www.bofrost.fr/shop/boulangerie-patisserie/crepes-gaufres-beignets/crepes-sucrees.html?ff_data=JmZmX2lkPTAyODUyJmZmX21hc3RlcklkPTAyODUyJmZmX3RpdGxlPUNyw6pwZXMgc3VjcsOpZXMmZmZfcXVlcnk9Y3JlcGVzJmZmX3Bvcz01JmZmX29yaWdQb3M9OCZmZl9wYWdlPTEmZmZfcGFnZVNpemU9MTImZmZfb3JpZ1BhZ2VTaXplPTEyJmZmX3NpbWk9OTkuOTg=,['Bofrost'],['France'],"['Lait entier', 'farine de blé', 'sucre', 'matières grasses végétales ', 'colza', 'palme', 'œuf', 'vanilline', 'émulsifiants ', ""mono- et diglycérides d'acides gras"", 'lécithine de tournesol', 'poudres à lever ', 'carbonate de sodium', 'diphosphates', 'sel', ' ', 'Traces de soja']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E500i - Carbonate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,12 g,en quantité modérée,5.9 g,en quantité élevée,17 g,en quantité élevée,0.62 g,en quantité modérée,?,,278,-17%,1163 kj(278 kcal),-18%,12,-30%,"5,9",-36%,"36,4",-6%,17,-33%,"5,7",+13%,"0,62",+127%,"0,248",+127%,13,-17%,D,-17%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,
1,4 chocolate & hazelnut,4088600032153,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,321,,1343 kj(321 kcal),,10,,"1,9",,49,,27,,"6,8",,"0,56",,"0,224",,,,,,,,,,,,,,,,,,
2,bon bon,2024408399991,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,552,,2310 kj(552 kcal),,"36,6",,"22,9",,"50,4",,"47,4",,"4,8",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,
3,Bourbon creams,5010893042686,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,487,,2038 kj(487 kcal),,22,,13,,66,,30,,"5,4",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,
4,Saucisses de Toulouse,0202164017652,E,,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,
5,Sucre de fleur de COCO - Pure Via,18456561,,,,,['Pure Via'],,,,['France'],[],,,[],,,,,,,,,,?,,378,,1582 kj(378 kcal),,0,,0,,93,,83,,"1,3",,"0,31",,"0,124",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,
6,Panna Cotta au Coulis de Baies - Manor Food - 110g e,2099460040594,C,,110 g e,"['Plastique', 'Frais']",['Manor Food'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Panna cottas', 'Réfrigérés', 'Panna cottas au coulis de fruits']",,,['France'],"['Crème', 'lait entier', 'sucre de canne brut', 'baies ', 'framboises', 'fraises', 'myrtilles', ' 8 %', 'amidon de riz', 'épaississant : E406', 'sel marin', 'gousses de vanille', ' Tous les ingrédients agricoles sont issus de la production biologique']",['E406 - Agar-agar'],['Lait'],['Non végétalien'],4,16 g,en quantité modérée,13 g,en quantité élevée,16 g,en quantité élevée,0.6 g,en quantité modérée,?,,221,+12%,925 kj(221 kcal),+11%,16,+39%,13,+64%,17,-16%,16,-4%,"2,5",-7%,"0,6",+417%,"0,24",+417%,17,+49%,D,+49%,62.1%,26.2%,4.5%,4.1%,2.5%,0.7%,68,,,,,,
7,Nut bar -,9403110062950,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Fruits à coques et dérivés', 'Barres', 'Barres de fruits à coques']",,,['France'],"['Arachides ', '37%', 'fruits ', '20%', ' ', 'raisins secs', 'abricot sec ', 'conservateur ', 'E220', 'dattes', 'composé de yaourt ', '12%', ' ', 'sucre', 'huile végétale ', 'émulsifiants ', 'E492', 'lécithine de soja', 'acide ', 'citrique', ' ', 'Solides de lait', 'poudre de yaourt ', '0,4%', 'émulsifiant ', 'lécithine de soja', 'arôme', 'maltodextrine', 'glucose', 'huile de tournesol', 'blé soufflé', 'cassonade', 'graines ', 'tournesol', 'citrouille', 'humectant ', 'glycérol', 'sucre', 'miel', 'Émulsifiant ', 'lécithine de soja', 'sucre caramélisé']","['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E422 - Glycérol']","['Gluten', 'Arachides', 'Soja', 'Anhydride sulfureux et sulfites']",['Non végétalien'],4,26.9 g,en quantité élevée,6.8 g,en quantité élevée,29.7 g,en quantité élevée,0.022 g,en faible quantité,?,,487,-1%,2038 kj(487 kcal),-2%,"26,9",-11%,"6,8",+18%,"45,8",+22%,"29,7",+20%,"12,5",-18%,"0,022",-92%,"0,009",-92%,17,+37%,D,+37%,,,,,,,,,,,,,
8,Soupe de tomates et viande. - Unox,8712100570452,,,,,['Unox'],,,,['France'],[],,,[],,,,,,,,,,?,,48,,201 kj(48 kcal),,"1,5",,"0,4",,"6,7",,"4,3",,"1,9",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,
9,Terrine de campagne - les foies gras de Saulzoir - 90g,3760122672024,,,90g,['pot en verre'],['les foies gras de Saulzoir'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,,['France'],"['viande de porc ', 'foie', 'gorge', 'épaule', 'bière du Nord ', ""malt d'orge"", ' ', '5%', 'oignons', 'gelée', 'sel', 'épices']",,['Gluten'],"['Non végétalien', 'Non végétarien']",3,,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,,,,,,,,,,,
