,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,additives,nova_score,link,markets,allergens,generic_name,brand_owner,producer_info,palm_ingredients
0,Petit cake aux fruits,3277735225856,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Cakes aux fruits']",['France'],[],[],19 g,en quantité modérée,11 g,en quantité élevée,30 g,en quantité élevée,0.4 g,en quantité modérée,?,,472,+22%,1975 kj(472 kcal),+21%,19,+23%,11,+149%,54,-4%,30,-10%,"5,1",+5%,"0,4",-32%,"0,16",-32%,22,+32%,E,+32%,76.8%,12.1%,5.7%,2.8%,2.6%,0.0%,65,,,,,,,,,,,,,,,,
1,Gourmandises Griottes,3760133677049,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,
2,Cappucino,8003938007556,,,['France'],[],[],,,,,,,,,?,,239,,1000 kj(239 kcal),,"9,6",,"7,3",,30,,21,,"4,5",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Galettes fines de Bretagne,3760133673195,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cuisse de dinde,2245036003634,,,['France'],[],[],,,,,,,,,?,,15,,63 kj(15 kcal),,"8,5",,"2,5",,"0,5",,"0,5",,19,,"0,262",,"0,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Poire au cumin - L'Affineur Du Chef - 125g,3245310069089,,['Préparations'],['France'],"['poire', 'cumin en poudre', 'gélifiant', 'acide citrique', 'sucre de canne', 'pectine de fruit', 'acidifiant']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.2 g,en faible quantité,0 g,en faible quantité,47 g,en quantité élevée,0 g,en faible quantité,?,,199,,833 kj(199 kcal),,"0,2",,0,,48,,47,,"0,3",,0,,0,,11,,D,,,,,,,,,,125g,"['Pot', 'verre']","[""L'Affineur Du Chef""]",['France'],['France'],['133056'],"['E330 - Acide citrique', 'E440 - Pectines']",4,,,,,,,
6,Grains de sarrasins soufflés BIO - Selex,8003100896193,,,['France'],[],[],,,,,,,,,?,,371,,1552 kj(371 kcal),,"1,8",,"0,6",,77,,0,,"9,9",,"0,03",,"0,012",,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-009']",,,['Selex'],,,,,,,,,,,,
7,Baobab guarana citron - Matahi - 33cl,15203700,,"['Boissons', 'Boissons énergisantes']",['France'],"['45% pulpe de fruit de baobab bio rehydratée ', 'eau', ""pulpe de fruit sec de baobab' 2%"", 'jus de raisin issu de concentré', ""jus d'orange issu de concentré"", ""jus de citron' 1,5% jus de citron issu de concentré"", 'extrait naturel de baie de guarana ', '0,020%', 'arôme naturel de menthe']",[],0 g,en faible quantité,0 g,en faible quantité,7.9 g,en quantité élevée,0 g,en faible quantité,?,,35,-3%,146 kj(35 kcal),-2%,0,-100%,0,-100%,"8,1",+1%,"7,9",+9%,0,-100%,0,-100%,0,-100%,11,+2%,E,+2%,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique']",33 cl,,['Matahi'],['Afrique'],['France'],,,4,https://www.matahijuice.com/superfruit-boost-baobab-guarana-citron/,['Nature et découverte'],,,,,
8,Galette frangipane sans alcool,0202670041332,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],30 g,en quantité élevée,17 g,en quantité élevée,8.4 g,en quantité modérée,0.61 g,en quantité modérée,?,,430,+2%,1799 kj(430 kcal),+2%,30,+14%,17,+15%,32,-17%,"8,4",-35%,7,+10%,"0,61",-12%,"0,244",-12%,18,-6%,D,-6%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,,,
9,Nougat - Le Roy René,3102621001521,,,['France'],[],[],,,,,,,,,?,,494,,2067 kj(494 kcal),,25,,"2,5",,57,,50,,9,,"0,05",,"0,02",,,,,,,,,,,,,,,,['Le Roy René'],,,,,,,,,,,,
