,name,bar_code,generic_name,quantity,brand,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,traceability_code,packaging,labels,link,brand_owner,producer_info,origin_detail
0,Carambar - 470g,3664346304016,Confiseries aromatisées.,470 g,['Carambar'],['France'],"['Sirop de glucose ', 'origine UE', 'lait écrémé concentré sucré ', 'LAIT', 'sucre', 'sucre', 'huile de palme', 'cacao maigre en poudre', 'sel', 'émulsifiant ', 'E471', 'arômes', ' Peut contenir fruits à coque']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Huile de palme'],['Lait'],"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1682,398,1682 kj(398 kcal),"7,8",4,79,47,"3,1","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Regal'ad - Krema - 360g,3664346308861,Confiseries aromatisées - Parfums assortis.,360 g,"['Krema', 'La pie qui chante']",['France'],"['Sucre', 'sirop de glucose', 'huile de palme', 'gélatine', 'acidifiant ', 'acide citrique', 'arômes', 'jus de fruits concentrés', 'colorants ', 'E160c', 'E161b', 'émulsifiant ', 'lécithine de tournesol']","['E428 - Gélatine', 'E330 - Acide citrique', 'E160c - Extrait de paprika', 'E161b - Lutéine', 'E322i - Lécithine']",['Huile de palme'],,"['Huile de palme', 'Non végétalien', 'Non végétarien']",4,1691,400,1691 kj(400 kcal),"7,1","3,4",83,58,"0,5","0,04","0,016",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['Magasins U'],7.1 g,en quantité modérée,3.4 g,en quantité modérée,58 g,en quantité élevée,0.04 g,en faible quantité,+9%,+12%,+13%,+282%,+221%,-0%,0%,-76%,-67%,-67%,18,+25%,D,+25%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,
2,Brandade de morue parmentiere - Pecheries Basques - 700g,3760002340944,,700 g,['Pecheries Basques'],['France'],"['Pomme de terre 38%', 'morue ', 'gadus spp', ' 30%', 'eau', 'huile de colza ou de tournesol', 'flocons de pomme de terre ', 'pomme de terre', 'curcuma', 'oignon', 'sel', 'ail', 'fibre de blé', 'persil', 'épaississants: gomme de guar et de xanthane', 'poivre']","['E412 - Gomme de guar', 'E415 - Gomme xanthane']",,"['Poisson', 'Gluten']","['Non végétalien', 'Non végétarien']",4,?,153,640 kj(153 kcal),"9,8","1,1","8,9","0,5","6,6","0,8","0,32",D,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue', 'Brandades de morue parmentière', 'en:preparations-made-from-fish-meat']",['Intermarché'],9.8 g,en quantité modérée,1.1 g,en faible quantité,0.5 g,en faible quantité,0.8 g,en quantité modérée,,+5%,+5%,+14%,-34%,-7%,-45%,-3%,-3%,-3%,1,-43%,B,-43%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,['France'],['St per sur Nivelle'],"['FR 64.495.005 CE', 'Saint-Pée-sur-Nivelle (Pyrénées-Atlantiques, France)']",,,,,,
3,Tagliatelles Curcuma Citron - Jardin Bio - 250g e,3760020504700,Spécialité céréalière à base de blé dur aromatisée au curcuma et citron bio,250 g e,"['Jardin Bio', 'Léa Nature']",['France'],"['Semoule de blé dur*', 'poudre de curcuma*1,5%', 'huile essentielle de citron*', ""poudre d'œufs*""]",,,"['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,?,358,1498 kj(358 kcal),"1,1","0,2","74,1","3,3","11,1","0,022","0,009",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Pâtes aux œufs', 'Nouilles aux oeufs', 'Tagliatelles aux œufs', 'Pâtes sèches aromatisées et colorées', 'Tagliatelles']",['Auchan'],1.1 g,en faible quantité,0.2 g,en faible quantité,3.3 g,en faible quantité,0.022 g,en faible quantité,,+1%,-0%,-34%,-45%,+4%,-5%,-8%,-54%,-54%,-5,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,['Union Européenne et Non Union Européenne'],['FRance'],,"['Sachet', 'Plastique', 'Sec']","['Bio', 'Bio européen', 'Agriculture non UE', '1% pour la planète', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'AB Agriculture Biologique']",https://www.jardinbio-etic.fr/tagliatelles-curcuma-et-citron/,,,
4,Thon Piquant tartinable - Delicemer - 120g,3760036824656,Rillettes de thon,120 g,['Delicemer'],['France'],"['Thon 29 %', 'huile de colza', 'carotte', 'CELERI-RAVE', 'concentré de tomate', 'eau', ""jaune d'OEUF"", 'vinaigre', 'MOUTARDE ', 'vinaigre', 'graines de MOUTARDE', 'sel', 'épices', 'poivre de Cayenne 0,5%', 'sel', 'sucre CELERI', 'poivron', 'persil', ""extraits de plantes aromatiques et d'épices"", 'fibre alimentaire', 'maltodextrine', 'graisse de palme', 'LACTOSE', 'protéine de LAIT', 'arôme', 'conservateur : E202-E211', 'antioxydant : E300', 'acidifiant : E330', 'stabilisants : E412-E415', 'colorant : E160c']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E330 - Acide citrique', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E160c - Extrait de paprika']",['Huile de palme'],"['Céleri', 'Œufs', 'Poisson', 'Lait', 'Moutarde']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,1283,327,1283 kj(327 kcal),32,"2,3","2,1","2,1","8,5","1,4","0,56",D,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', ""Produits d'élevages"", 'Rillettes', 'Thons', 'Préparations de poisson', 'Plats préparés au poisson', 'Œufs', 'Rillettes de poissons', 'Rillettes de thon', 'Preparation-a-base-de-chair-de-poisson', 'Produit-de-la-mer-a-tartiner-sale', 'Produit-de-la-mer-ultratransforme']","['G20', 'Magasins U', 'E. Leclerc']",32 g,en quantité élevée,2.3 g,en quantité modérée,2.1 g,en faible quantité,1.4 g,en quantité modérée,+35%,+54%,+43%,+103%,-39%,-0%,+120%,-44%,+35%,+35%,10,+61%,C,+61%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,['Sté Import Produits de la mer'],['BE VE1093 EC'],"['Frais', 'Matière plastique type : 1 (PET ou PETE)']",['Point Vert'],https://www.delicemer.fr/m/,,,
5,8 Croissants pur beurre - La boulangère - 320g,3760049798210,,320 g,['La boulangère'],['France'],"['Farine de blé 50%', 'beurre AOP Charentes-Poitou 21', '5%', 'eau', 'sucre', 'levain ', 'eau', 'farines de blé 1,6%', 'de seigle et de blé malté', 'levure', 'oeufs entre frais 2,8%', 'levure', 'sel', 'poudre de lait écrémé', ""émulsifiants : mono - et diglycérides d'acides gras "", 'colza', ' - stéaroyl-2-lactylate de sodium ', 'colza', 'arôme naturel ', 'contient alcool', 'gluten de blé', 'antioxydant : acide ascorbique', 'colorant: carotènes']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E160 - Caroténoïdes']",,"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,?,387,1619 kj(387 kcal),18,12,48,8,"7,3","0,98","0,392",,"['Snacks', 'Snacks sucrés', 'Viennoiseries']",['Intermarché'],18 g,en quantité modérée,12 g,en quantité élevée,8 g,en quantité modérée,0.98 g,en quantité modérée,,+6%,+6%,+15%,+37%,0%,-50%,0%,+24%,+24%,17,-1%,D,-1%,,,,,,,,['France'],['Essarts en Bocage'],,['sachets individuels'],"['Plein air', 'Œufs de poules élevées en plein air', 'Agri-Éthique France']",,,,
6,Gambas décortiquées - Miti - 100g,3760070011913,,100 g,['Miti'],['France'],"['CREVETTES ', 'Penaeus vannamei', "" d'élevage d'Equateur entièrement décortiquées cuites au Sel de Noirmoutier"", 'sel', 'ferment lactique ', 'LAIT']",,,"['Crustacés', 'Lait']","['Non végétalien', 'Non végétarien']",3,?,78,326 kj(78 kcal),"0,7",0,0,0,18,"1,175","0,47",C,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Gambas']",,0.7 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.18 g,en quantité modérée,,-11%,-12%,-8%,-100%,-100%,-100%,-10%,+44%,+44%,0,,B,,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Équateur'],['France'],"['FR 44.109.206 CE', 'Nantes (Loire-Atlantique, France)', 'FR 44.143.005 CE', 'Rezé (Loire-Atlantique, France)']","['Barquette', 'Plastique']","['Bio', 'Bio européen', 'FR-BIO-10']",,,,
7,Tartinables confit de tomates séchées - Florelli - 190g,3760077533166,,190 g,['Florelli'],['France'],"['tomates séchées ', '34,6%', ' ', 'tomates séchées', 'sel', ""correcteur d'acidité: acide citrique"", 'antioxydant: acide ascorbique', 'huile de tournesol', 'pulpe de tomate', 'vinaigre de vin blanc', 'sucre', ""huile d'olive vierge extra"", 'betterave rouge', 'basilic', 'origan', 'ail']",['E300 - Acide ascorbique'],,,[],3,?,428,1791 kj(428 kcal),40,6,13,7,2,"3,8","1,52",,['Confit-de-tomates-sechees'],['Casino'],40 g,en quantité élevée,6 g,en quantité élevée,7 g,en quantité modérée,3.8 g,en quantité élevée,,,,,,,,,,,17,,D,,,,,,,,,,,,['Bocal'],,,,,
8,Farine de coco - Biosagesse - 400g,3760087360929,,400 g,['Biosagesse'],['France'],"['Farine de noix de coco ', 'cocos nucifera', ' 100 %']",,,,[],1,?,348,1456 kj(348 kcal),12,11,"22,2","21,5","16,1","0,1","0,04",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Farines', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Noix de coco sèches', 'Farine de noix de coco séchée']",,12 g,en quantité modérée,11 g,en quantité élevée,21.5 g,en quantité élevée,0.1 g,en faible quantité,,-7%,-7%,-10%,-6%,-20%,+49%,-2%,-19%,-19%,3,-38%,C,-38%,,,,,,,,['Philippines'],,,"['Sachet', 'Plastique']","['Bio', 'Bio européen', 'Commerce équitable', 'en:gluten-free', 'Agriculture non UE', 'AB Agriculture Biologique', 'DE-ÖKO-012']",,,,
9,Xylitol - Ecoidées - 250g,3760087361223,,250 g,['Ecoidées'],['France'],['Xylitol'],['E967 - Xylitol'],,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,240,1004 kj(240 kcal),0,0,"99,8","0,2",0,0,0,,"['Édulcorants', 'Additifs alimentaires', 'Succédanés du sucre', 'Édulcorants naturels', 'Xylitol']",['Botanic'],0 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,,+8%,+8%,-100%,-100%,+40%,+80%,-100%,-100%,-100%,,,,,,,,,,,,,,,"['Plastique', 'Sachet']","['Sans gluten', 'Sans OGM', 'Sans pesticides']",,,,
