,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,brand,labels,quantity,packaging,additives,allergens,ingredients_origins,traceability_code,markets,generic_name,manufacturing,brand_owner,link
0,serum Andrea sorti,6132001603547,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OVEN BAKED SWEET POTATO,5391528180004,['France'],[],[],?,140,"6,1",17,"1,6",586 kj(140 kcal),"1,1","7,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Anneaux d'encornet géant saumure,3250392602048,['France'],[],[],?,27,"0,5","0,2","6,8",113 kj(27 kcal),"0,2","0,2","1,21","0,484",['Encornet géant'],0.5 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,1.21 g,en quantité modérée,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chocolat lait amandes salées,05760501,['France'],[],[],?,530,30,57,"6,6",2218 kj(530 kcal),15,56,"0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Muffins blueberry,5600499518953,['France'],[],[],?,281,14,39,"6,2",1176 kj(281 kcal),"2,8","24,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tommette de yenne,0204911095777,['France'],[],[],?,373,31,23,22,1561 kj(373 kcal),24,0,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mayonnaise,7613036338325,['France'],[],[],?,739,81,"0,5","0,8",3092 kj(739 kcal),0,"0,2","0,2","0,08","['Epicerie', 'Sauces', 'Mayonnaises']",81 g,en quantité élevée,0 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,9,C,D,,+21%,+21%,+22%,-100%,-81%,-86%,-35%,-85%,-85%,-50%,-50%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,,,
7,Yaourt noix de coco -,8719638270953,['France'],"['Lait entier pasteurisé sucre 7%', 'arôme noix de coco <1%', 'ferments']",['Non végétalien'],?,?,?,?,?,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts au lait de vache']",,,,,,,,,,,B,,,,,,,,,,,,,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,1,,,,,,,,,,,,,
8,Croustade tradition,3286631400007,['France'],[],[],?,438,25,"46,61","5,24",1833 kj(438 kcal),2,"22,54",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tranche de rôti de porc,0293551007677,['France'],[],[],?,?,?,?,?,,,,,,"['Viandes', 'Porc', 'Rôtis de porc']",,,,,,,,,,,E,,,,,,,,,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
10,Tripes Provencale 500 G,3449480000020,['France'],[],[],?,102,"2,8","1,6","17,2",427 kj(102 kcal),"1,4","1,6","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Cocktail fruits tropicaux,6133018001753,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Roti de porc cuit superieur,2471236071566,['France'],[],[],?,156,7,"0,5","23,4",653 kj(156 kcal),"2,73","0,5","1,5","0,6","['Viandes', 'Porc', 'Rôtis de porc']",7 g,en quantité modérée,2.73 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité modérée,4,C,E,,+8%,+10%,+39%,+31%,-39%,-20%,+4%,-13%,-13%,-44%,-44%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,
13,Strawberry fresa,8410525241529,['France'],[],[],?,323,0,76,6,1351 kj(323 kcal),0,52,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Escalopes extra fines,0289054022569,['France'],[],[],?,?,?,?,?,,,,,,['Escalopes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pineau,3760216190021,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Terrine de dinde aux marrons - La Table d'Antan,3280950006568,['France'],[],[],?,254,20,"4,5",14,1063 kj(254 kcal),"7,6","0,9","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""La Table d'Antan""]",,,,,,,,,,,,
17,Spaghetti au légume,3700758501084,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Aiguillettes de poulet fermier bio,0200310057927,['France'],[],[],?,?,?,?,?,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,,,,,,,,,D,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Bio'],,,,,,,,,,,
19,Confiture,3439495106497,['France'],[],[],?,1033,"0,5",59,"0,7",4322 kj(1033 kcal),0,59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Fromage de Brebis Etorki - 0,180kg",0202170023357,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Etorki'],,"0,180 kg",,,,,,,,,,
21,Quiches lorraines,3700477660970,['France'],[],[],?,300,19,20,11,1255 kj(300 kcal),12,"3,3","1,5","0,6","['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",19 g,en quantité modérée,12 g,en quantité élevée,3.3 g,en faible quantité,1.5 g,en quantité modérée,19,E,C,,+14%,+14%,+17%,+38%,+4%,+43%,+19%,+44%,+44%,+34%,+34%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,
22,Roquette,3613460013304,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Pâte a tartiner noisette sans sucre,3437400000663,['France'],[],[],?,474,"32,23","8,03","11,26",1983 kj(474 kcal),"3,23","1,45","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Watermelon Strawberry Ade,0892809000219,['France'],[],[],?,6,0,17,0,25 kj(6 kcal),0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Crema al Pecorino Romano DOP & Tartufo Nero,8033993042476,['France'],[],[],?,343,"33,4","4,2","6,3",1435 kj(343 kcal),"7,6","0,7","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Escalopes Milanaises (fromage frais ail et fines herbes),2424536034571,['France'],[],[],?,165,6,11,16,690 kj(165 kcal),"3,2","1,9","1,4","0,56","['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise', 'Escalopes', 'Escalopes pânées']",6 g,en quantité modérée,3.2 g,en quantité modérée,1.9 g,en faible quantité,1.4 g,en quantité modérée,11,D,D,,+24%,+25%,+221%,+419%,+51%,+12%,-23%,+50%,+50%,+1668%,+1668%,78.1%,11.6%,2.2%,2.7%,1.1%,4.2%,37,,,,,,,,,,,,,,
27,Osso bucco de veau,2424271038506,['France'],[],[],?,109,2,"6,4",16,456 kj(109 kcal),"0,5","2,6","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fruits et graines du monde,3143110091623,['France'],[],[],?,572,46,28,21,2393 kj(572 kcal),5,"7,8","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Queues de crevettes decortiquees,2869864034044,['France'],[],[],?,95,"0,5","0,5",22,397 kj(95 kcal),"0,5",0,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Mogettes de Vendée,3559680076005,['France'],[],[],?,489,"0,35","15,9","9,08",2046 kj(489 kcal),0,0,"0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,03741119,03741119,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Jambon cuit italien roti aux herbes,2227143022500,['France'],[],[],?,171,9,"0,6",21,715 kj(171 kcal),"3,3","0,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
